check_key,section_id,frame,slot,call_identity_present,matrix_source_run,deficit_reason,sampled_row
68,Vm0FqeGo-8g_s1317,1056,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
69,Vm0FqeGo-8g_s1317,1056,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
70,Vm0FqeGo-8g_s1317,1056,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
71,Vm0FqeGo-8g_s1317,1056,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
72,Vm0FqeGo-8g_s1317,1080,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
73,Vm0FqeGo-8g_s1317,1080,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
74,Vm0FqeGo-8g_s1317,1080,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
75,Vm0FqeGo-8g_s1317,1080,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
76,Vm0FqeGo-8g_s1317,1080,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
77,Vm0FqeGo-8g_s1317,1080,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
78,X5w3V6rh26s_s90,1247,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
79,X5w3V6rh26s_s90,1247,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
80,X5w3V6rh26s_s90,1247,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
81,X5w3V6rh26s_s90,1247,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
82,X5w3V6rh26s_s90,1247,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
83,X5w3V6rh26s_s90,1247,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
84,Y1cgaIWW8gk_s2784,1340,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
85,Y1cgaIWW8gk_s2784,1340,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
86,Y1cgaIWW8gk_s2784,1424,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
87,Y1cgaIWW8gk_s2784,1424,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
88,Y1cgaIWW8gk_s2784,1424,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
89,Y1cgaIWW8gk_s2784,1424,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
90,Y1cgaIWW8gk_s2784,1424,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
91,tFnl0NVn6FA_s2774,1622,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
92,tFnl0NVn6FA_s2774,1622,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
93,tFnl0NVn6FA_s2774,1622,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
94,tFnl0NVn6FA_s2774,1622,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
95,tFnl0NVn6FA_s2774,1622,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
96,tFnl0NVn6FA_s2774,1622,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
97,tFnl0NVn6FA_s2774,1787,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
98,tFnl0NVn6FA_s2774,1787,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
99,tFnl0NVn6FA_s2774,1787,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
100,tFnl0NVn6FA_s2774,1787,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
101,tFnl0NVn6FA_s2774,1787,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
102,tFnl0NVn6FA_s2774,1787,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
103,tFnl0NVn6FA_s2774,1787,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
104,tFnl0NVn6FA_s90,1915,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
105,tFnl0NVn6FA_s90,1915,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
106,tZeqmc_-_sA_s2574,1938,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
107,tZeqmc_-_sA_s2574,1938,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
108,tZeqmc_-_sA_s2574,1938,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
109,tZeqmc_-_sA_s2574,1938,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
110,tZeqmc_-_sA_s2574,1938,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
111,tZeqmc_-_sA_s2574,1938,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
112,tZeqmc_-_sA_s2574,1938,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
113,tZeqmc_-_sA_s2574,1938,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
114,tZeqmc_-_sA_s2574,2088,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
115,tZeqmc_-_sA_s2574,2088,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
116,tZeqmc_-_sA_s2574,2088,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
117,tZeqmc_-_sA_s2574,2088,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
118,tZeqmc_-_sA_s2574,2088,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
119,yZ5u2sOpiNU_s5214,2113,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
120,yZ5u2sOpiNU_s5214,2113,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
121,yZ5u2sOpiNU_s5214,2113,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
122,yZ5u2sOpiNU_s5214,2113,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
123,yZ5u2sOpiNU_s90,2311,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
124,yZ5u2sOpiNU_s90,2311,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
125,yZ5u2sOpiNU_s90,2311,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
126,yZ5u2sOpiNU_s90,2311,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
127,yZ5u2sOpiNU_s90,2311,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
128,yZ5u2sOpiNU_s90,2311,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
129,yZ5u2sOpiNU_s90,2398,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
130,yZ5u2sOpiNU_s90,2398,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
131,yZ5u2sOpiNU_s90,2398,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
132,yZ5u2sOpiNU_s90,2398,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
133,yZ5u2sOpiNU_s90,2398,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
134,3gBeJyl7Szg_s2302,775,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
135,3gBeJyl7Szg_s2302,775,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
136,3gBeJyl7Szg_s2302,775,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
137,3gBeJyl7Szg_s2302,1171,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
138,3gBeJyl7Szg_s2302,1171,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
139,3gBeJyl7Szg_s2302,1171,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
140,3gBeJyl7Szg_s2302,1171,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
141,3gBeJyl7Szg_s2302,1171,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
142,3gBeJyl7Szg_s2302,1171,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
143,3gBeJyl7Szg_s2302,1171,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
144,3gBeJyl7Szg_s2302,1171,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
145,3gBeJyl7Szg_s2302,1171,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
146,3gBeJyl7Szg_s2302,1171,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
147,3gBeJyl7Szg_s90,1266,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
148,3gBeJyl7Szg_s90,1266,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
149,3gBeJyl7Szg_s90,1266,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
150,3gBeJyl7Szg_s90,1266,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
151,3gBeJyl7Szg_s90,1266,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
152,3gBeJyl7Szg_s90,1266,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
153,3gBeJyl7Szg_s90,1266,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
154,3gBeJyl7Szg_s90,1512,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
155,3gBeJyl7Szg_s90,1512,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
156,3gBeJyl7Szg_s90,1512,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
157,3gBeJyl7Szg_s90,1512,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
158,3gBeJyl7Szg_s90,1512,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
159,3gBeJyl7Szg_s90,1512,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
160,3gBeJyl7Szg_s90,1512,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
161,3gBeJyl7Szg_s90,1512,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
162,6rQ2sV4upfc_s1509,3096,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
163,6rQ2sV4upfc_s1509,3096,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
164,6rQ2sV4upfc_s1509,3096,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
165,6rQ2sV4upfc_s1509,3096,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
166,6rQ2sV4upfc_s1509,3096,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
167,6rQ2sV4upfc_s1509,3096,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
168,6rQ2sV4upfc_s1509,3108,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
169,6rQ2sV4upfc_s1509,3108,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
170,6rQ2sV4upfc_s1509,3108,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
171,6rQ2sV4upfc_s1509,3108,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
172,6rQ2sV4upfc_s1509,3108,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
173,6rQ2sV4upfc_s1509,3108,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
174,6rQ2sV4upfc_s90,3741,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
175,6rQ2sV4upfc_s90,3741,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
176,6rQ2sV4upfc_s90,3741,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
177,6rQ2sV4upfc_s90,3741,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
178,6rQ2sV4upfc_s90,3741,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
179,6rQ2sV4upfc_s90,3741,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
180,7blRl4zVfrY_s90,4110,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
181,7blRl4zVfrY_s90,4110,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
