section,arm,eval_index,reason,score,n_scored,n_hypotheses,n_fit_segments,n_heldout_segments,forward_px,n_forward,reverse_px,n_reverse,feet,feet_inside,nn_median_ft
S1,G334B,003993,implausible_scale,-1.000,000000,1396096,001779,001778,-,000000,-,000000,000013,000000,-
S1,ROUTEA,003993,valid,-,000000,000000,000968,000967,6.622,000398,472.597,051176,000013,000000,98.577
S1,ROUTEB,003993,valid,-,000000,000000,001779,001778,4.775,000398,463.397,072065,000013,000000,98.577
S1,G334A,004156,valid,0.666,000070,548588,000611,000611,2.324,000070,573.433,030372,000013,000001,7.445
S1,G334B,004156,no_valid_h,-1.000,000000,1793272,001337,001337,-,000000,-,000000,000013,000000,-
S1,ROUTEA,004156,valid,-,000000,000000,000611,000611,5.730,000398,345.934,030372,000013,000000,153.583
S1,ROUTEB,004156,valid,-,000000,000000,001337,001337,2.865,000398,374.360,048010,000013,000000,153.583
S1,G334A,004319,no_valid_h,-1.000,000000,501400,000737,000737,-,000000,-,000000,000013,000000,-
S1,G334B,004319,valid,0.783,000063,1715068,001547,001546,1.369,000063,612.314,056221,000013,000000,6.132
S1,ROUTEA,004319,valid,-,000000,000000,000737,000737,8.595,000398,373.137,037409,000013,000000,74.612
S1,ROUTEB,004319,valid,-,000000,000000,001547,001546,4.234,000398,399.407,056221,000013,000000,74.612
S1,G334A,004482,no_valid_h,0.272,000063,591732,000675,000675,-,000000,-,000000,000012,000000,-
S1,G334B,004482,no_valid_h,-1.000,000000,1662272,001420,001419,-,000000,-,000000,000012,000000,-
S1,ROUTEA,004482,valid,-,000000,000000,000675,000675,13.531,000398,480.035,033173,000012,000000,29.120
S1,ROUTEB,004482,valid,-,000000,000000,001420,001419,6.622,000398,467.605,050882,000012,000000,29.120
S1,G334A,004645,valid,0.375,000080,554356,000508,000507,2.117,000080,234.930,026269,000009,000000,12.441
S1,G334B,004645,no_valid_h,-1.000,000000,1605252,001177,001177,-,000000,-,000000,000009,000000,-
S1,ROUTEA,004645,valid,-,000000,000000,000508,000507,10.379,000398,448.049,026269,000009,000000,11.669
S1,ROUTEB,004645,valid,-,000000,000000,001177,001177,10.379,000398,462.987,041324,000009,000000,11.669
S1,G334A,004808,valid,0.842,000065,504452,000569,000569,0.955,000065,297.275,028496,000011,000000,6.461
S1,G334B,004808,valid,0.548,000066,1648484,001313,001312,2.324,000066,418.065,047399,000011,000000,8.046
S1,ROUTEA,004808,valid,-,000000,000000,000569,000569,45.587,000398,450.633,028496,000011,000000,4.367
S1,ROUTEB,004808,valid,-,000000,000000,001313,001312,5.477,000398,468.756,047399,000011,000000,4.367
S1,G334A,004971,valid,0.470,000082,572156,000346,000345,7.721,000082,571.005,015694,000005,000000,20.857
S1,G334B,004971,no_valid_h,-1.000,000000,1627364,000982,000982,-,000000,-,000000,000005,000000,-
S1,ROUTEA,004971,valid,-,000000,000000,000346,000345,18.342,000398,436.569,015694,000005,000000,15.513
S1,ROUTEB,004971,valid,-,000000,000000,000982,000982,4.775,000398,475.174,030056,000005,000000,15.513
S1,G334A,005134,valid,0.594,000088,546628,000543,000543,3.694,000088,677.267,027706,000012,000000,33.659
S1,G334B,005134,no_valid_h,-1.000,000000,1758584,001195,001194,-,000000,-,000000,000012,000000,-
S1,ROUTEA,005134,valid,-,000000,000000,000543,000543,23.531,000398,328.536,027706,000012,000000,23.754
S1,ROUTEB,005134,valid,-,000000,000000,001195,001194,2.865,000398,344.410,042831,000012,000000,23.754
S1,G334A,005297,implausible_scale,-1.000,000000,514204,000534,000533,-,000000,-,000000,000008,000000,-
S1,G334B,005297,no_valid_h,-1.000,000000,1448256,001227,001227,-,000000,-,000000,000008,000000,-
S1,ROUTEA,005297,valid,-,000000,000000,000534,000533,11.460,000398,395.515,028213,000008,000000,16.365
S1,ROUTEB,005297,valid,-,000000,000000,001227,001227,5.730,000398,384.466,043866,000008,000000,16.365
S1,G334A,005460,no_valid_h,0.227,000062,558348,000913,000913,-,000000,-,000000,000013,000000,-
S1,G334B,005460,no_valid_h,-1.000,000000,1613480,001762,001762,-,000000,-,000000,000013,000000,-
S1,ROUTEA,005460,valid,-,000000,000000,000913,000913,3.820,000398,491.627,048435,000013,000000,22.469
S1,ROUTEB,005460,valid,-,000000,000000,001762,001762,3.820,000398,475.365,068519,000013,000000,22.469
S1,G334A,005623,valid,0.302,000065,472496,000559,000559,25.279,000065,494.443,028531,000010,000000,29.800
S1,G334B,005623,valid,0.620,000080,1541204,001246,001246,1.640,000080,244.872,043659,000010,000002,12.094
S1,ROUTEA,005623,valid,-,000000,000000,000559,000559,8.054,000398,566.827,028531,000010,000000,6.984
S1,ROUTEB,005623,valid,-,000000,000000,001246,001246,4.775,000398,529.876,043659,000010,000000,6.984
S1,G334A,005786,valid,0.315,000064,592392,000498,000498,0.000,000064,491.133,025083,000011,000002,6.702
S1,G334B,005786,no_valid_h,-1.000,000018,1677584,001125,001125,-,000000,-,000000,000011,000000,-
S1,ROUTEA,005786,valid,-,000000,000000,000498,000498,10.315,000398,468.511,025083,000011,000000,27.503
S1,ROUTEB,005786,valid,-,000000,000000,001125,001125,2.865,000398,483.013,040589,000011,000000,27.503
S1,G334A,005949,no_valid_h,-1.000,000000,510344,000845,000844,-,000000,-,000000,000010,000000,-
S1,G334B,005949,implausible_scale,-1.000,000000,1572228,001551,001551,-,000000,-,000000,000010,000000,-
S1,ROUTEA,005949,valid,-,000000,000000,000845,000844,2.865,000398,482.758,046196,000010,000000,20.780
S1,ROUTEB,005949,valid,-,000000,000000,001551,001551,2.865,000398,488.375,063175,000010,000000,20.780
S1,G334A,006112,implausible_scale,-1.000,000000,565620,000487,000486,-,000000,-,000000,000006,000000,-
S1,G334B,006112,no_valid_h,-1.000,000000,1654388,001112,001112,-,000000,-,000000,000006,000000,-
S1,ROUTEA,006112,valid,-,000000,000000,000487,000486,20.919,000391,572.999,024446,000006,000000,21.591
S1,ROUTEB,006112,valid,-,000000,000000,001112,001112,14.325,000391,569.993,037981,000006,000000,21.591
S1,G334A,006275,valid,0.574,000080,549736,000807,000807,0.955,000080,265.490,040371,000010,000004,6.325
S1,G334B,006275,valid,0.351,000093,1564652,001671,001671,4.108,000093,140.385,062824,000010,000002,16.738
S1,ROUTEA,006275,valid,-,000000,000000,000807,000807,6.685,000391,515.854,040371,000010,000000,40.564
S1,ROUTEB,006275,valid,-,000000,000000,001671,001671,4.775,000391,512.086,062824,000010,000000,40.564
S1,G334A,006438,no_valid_h,-1.000,000000,574212,000394,000393,-,000000,-,000000,000003,000000,-
S1,G334B,006438,implausible_scale,-1.000,000000,1628472,000771,000770,-,000000,-,000000,000003,000000,-
S1,ROUTEA,006438,valid,-,000000,000000,000394,000393,13.658,000391,482.850,023259,000003,000000,23.760
S1,ROUTEB,006438,valid,-,000000,000000,000771,000770,14.901,000391,600.696,030738,000003,000000,23.760
S2,G334A,000049,valid,0.680,000069,513228,000170,000169,54.435,000069,486.092,008935,000001,000000,-
S2,G334B,000049,no_valid_h,-1.000,000000,1367816,000377,000377,-,000000,-,000000,000001,000000,-
S2,ROUTEA,000049,valid,-,000000,000000,000170,000169,18.594,000398,301.190,008935,000001,000000,-
S2,ROUTEB,000049,valid,-,000000,000000,000377,000377,12.289,000398,335.050,013394,000001,000000,-
S2,G334A,000147,no_valid_h,0.113,000077,509536,000178,000178,-,000000,-,000000,000000,000000,-
S2,G334B,000147,valid,0.568,000083,1575540,000299,000298,46.128,000083,193.991,016089,000000,000000,-
S2,ROUTEA,000147,valid,-,000000,000000,000178,000178,14.216,000398,268.046,014128,000000,000000,-
S2,ROUTEB,000147,valid,-,000000,000000,000299,000298,20.125,000398,290.628,016089,000000,000000,-
S2,G334A,000245,valid,0.553,000291,503988,000177,000177,8.469,000291,350.484,006972,000008,000000,13.124
S2,G334B,000245,valid,0.730,000091,1685396,000532,000531,0.955,000091,530.394,015530,000008,000000,97.011
S2,ROUTEA,000245,valid,-,000000,000000,000177,000177,18.559,000398,305.191,006972,000008,000000,10.925
S2,ROUTEB,000245,valid,-,000000,000000,000532,000531,10.523,000398,358.841,015530,000008,000000,10.925
S2,G334A,000343,no_valid_h,-1.000,000000,508748,000156,000155,-,000000,-,000000,000003,000000,-
S2,G334B,000343,no_valid_h,-1.000,000000,1510504,000317,000317,-,000000,-,000000,000003,000000,-
