draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,position_source,repeated_coordinate,rows,target_weight_1
720p60,dAy3tnlu3EQ_s4326,5570,6170,CLAMP,1,199,0
720p60,dAy3tnlu3EQ_s4326,5570,6170,DETECTION,0,102,102
720p60,dAy3tnlu3EQ_s4326,5570,6170,PREDICTION,0,153,0
720p60,dAy3tnlu3EQ_s4326,5570,6170,SUBPIXEL,0,1,0
720p60,dAy3tnlu3EQ_s4326,5570,6170,SUBPIXEL,1,35,0
720p60,qTXrSRHHR2M_s2262,5803,6403,CLAMP,0,17,0
720p60,qTXrSRHHR2M_s2262,5803,6403,CLAMP,1,54,0
720p60,qTXrSRHHR2M_s2262,5803,6403,DETECTION,0,126,126
720p60,qTXrSRHHR2M_s2262,5803,6403,PREDICTION,0,186,0
720p60,qTXrSRHHR2M_s2262,5803,6403,SUBPIXEL,1,8,0
720p60,qTXrSRHHR2M_s4434,6034,6634,CLAMP,0,27,0
720p60,qTXrSRHHR2M_s4434,6034,6634,CLAMP,1,93,0
720p60,qTXrSRHHR2M_s4434,6034,6634,DETECTION,0,61,61
720p60,qTXrSRHHR2M_s4434,6034,6634,PREDICTION,0,39,0
720p60,qTXrSRHHR2M_s4434,6034,6634,SUBPIXEL,1,6,0
720p60,s-0Y7aLxXgM_s1275,6266,6866,CLAMP,0,26,0
720p60,s-0Y7aLxXgM_s1275,6266,6866,CLAMP,1,109,0
720p60,s-0Y7aLxXgM_s1275,6266,6866,DETECTION,0,81,81
720p60,s-0Y7aLxXgM_s1275,6266,6866,PREDICTION,0,207,0
720p60,s-0Y7aLxXgM_s1275,6266,6866,SUBPIXEL,0,2,0
720p60,s-0Y7aLxXgM_s1275,6266,6866,SUBPIXEL,1,21,0
1080p30,J8pMOFvFlsU_s1384,3253,3553,CLAMP,0,25,0
1080p30,J8pMOFvFlsU_s1384,3253,3553,CLAMP,1,135,0
1080p30,J8pMOFvFlsU_s1384,3253,3553,DETECTION,0,38,38
1080p30,J8pMOFvFlsU_s1384,3253,3553,PREDICTION,0,124,0
1080p30,J8pMOFvFlsU_s1384,3253,3553,SUBPIXEL,0,1,0
1080p30,J8pMOFvFlsU_s1384,3253,3553,SUBPIXEL,1,15,0
720p60,s-0Y7aLxXgM_s4830,6499,7099,CLAMP,0,63,0
720p60,s-0Y7aLxXgM_s4830,6499,7099,CLAMP,1,314,0
720p60,s-0Y7aLxXgM_s4830,6499,7099,DETECTION,0,69,69
720p60,s-0Y7aLxXgM_s4830,6499,7099,PREDICTION,0,104,0
720p60,s-0Y7aLxXgM_s4830,6499,7099,SUBPIXEL,1,6,0
1080p30,J8pMOFvFlsU_s3972,3370,3670,CLAMP,0,16,0
1080p30,J8pMOFvFlsU_s3972,3370,3670,CLAMP,1,67,0
1080p30,J8pMOFvFlsU_s3972,3370,3670,DETECTION,0,31,31
1080p30,J8pMOFvFlsU_s3972,3370,3670,PREDICTION,0,69,0
1080p30,J8pMOFvFlsU_s3972,3370,3670,SUBPIXEL,0,1,0
1080p30,J8pMOFvFlsU_s3972,3370,3670,SUBPIXEL,1,34,0
720p60,xv0WyG7_99c_s1200,6731,7331,CLAMP,0,4,0
720p60,xv0WyG7_99c_s1200,6731,7331,CLAMP,1,13,0
720p60,xv0WyG7_99c_s1200,6731,7331,DETECTION,0,13,13
720p60,xv0WyG7_99c_s1200,6731,7331,PREDICTION,0,6,0
720p60,xv0WyG7_99c_s1200,6731,7331,SUBPIXEL,1,14,0
1080p30,J8pMOFvFlsU_s90,3486,3786,CLAMP,0,5,0
1080p30,J8pMOFvFlsU_s90,3486,3786,CLAMP,1,25,0
1080p30,J8pMOFvFlsU_s90,3486,3786,DETECTION,0,62,62
1080p30,J8pMOFvFlsU_s90,3486,3786,PREDICTION,0,70,0
1080p30,J8pMOFvFlsU_s90,3486,3786,SUBPIXEL,1,9,0
720p60,xv0WyG7_99c_s4530,6963,7563,CLAMP,0,56,0
720p60,xv0WyG7_99c_s4530,6963,7563,CLAMP,1,237,0
720p60,xv0WyG7_99c_s4530,6963,7563,DETECTION,0,32,32
720p60,xv0WyG7_99c_s4530,6963,7563,PREDICTION,0,55,0
720p60,xv0WyG7_99c_s4530,6963,7563,SUBPIXEL,1,28,0
720p60,6rQ2sV4upfc_s1509,3018,3618,CLAMP,0,46,0
720p60,6rQ2sV4upfc_s1509,3018,3618,CLAMP,1,293,0
720p60,6rQ2sV4upfc_s1509,3018,3618,DETECTION,0,15,15
720p60,6rQ2sV4upfc_s1509,3018,3618,PREDICTION,0,32,0
720p60,6rQ2sV4upfc_s1509,3018,3618,SUBPIXEL,0,1,0
720p60,6rQ2sV4upfc_s1509,3018,3618,SUBPIXEL,1,17,0
720p60,6rQ2sV4upfc_s90,3249,3849,CLAMP,0,24,0
720p60,6rQ2sV4upfc_s90,3249,3849,CLAMP,1,62,0
720p60,6rQ2sV4upfc_s90,3249,3849,DETECTION,0,43,43
720p60,6rQ2sV4upfc_s90,3249,3849,PREDICTION,0,166,0
720p60,6rQ2sV4upfc_s90,3249,3849,SUBPIXEL,0,1,0
720p60,6rQ2sV4upfc_s90,3249,3849,SUBPIXEL,1,31,0
720p60,7blRl4zVfrY_s3489,3481,4081,CLAMP,0,37,0
720p60,7blRl4zVfrY_s3489,3481,4081,CLAMP,1,126,0
720p60,7blRl4zVfrY_s3489,3481,4081,DETECTION,0,111,111
