draw_kind,draw_order,section_id,competition,game,source_tree,source_path,source_bytes,source_sha256,receiver_dir,receiver_path,receiver_bytes,receiver_sha256,bytes_equal,sha256_equal,source_status,usable_span_s,usable_start_s,width,height,avg_fps,codec_name
720p60,1,acb-jHcR5UxPGuE_s90,basketball,acb-jHcR5UxPGuE,footage_corpus,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s90.mp4,55642588,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\basketball__acb-jHcR5UxPGuE_s90.mp4,55642588,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,1,1,RETAINED,130.033,0.0,1280,720,60.0,h264
720p60,2,3gBeJyl7Szg_s2302,nba,3gBeJyl7Szg,footage_corpus,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s2302.mp4,50300132,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__3gBeJyl7Szg_s2302.mp4,50300132,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,1,1,RETAINED,130.016,0.0,1280,720,60.0,h264
720p60,3,3gBeJyl7Szg_s90,nba,3gBeJyl7Szg,footage_corpus,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s90.mp4,53285520,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__3gBeJyl7Szg_s90.mp4,53285520,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,1,1,RETAINED,130.117,0.0,1280,720,60.0,h264
720p60,4,Kh7Fj4ogPN4_s3606,nba,Kh7Fj4ogPN4,footage_corpus,/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s3606.mp4,54541208,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__Kh7Fj4ogPN4_s3606.mp4,54541208,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,1,1,RETAINED,130.049,0.0,1280,720,59.940065,h264
720p60,5,Kh7Fj4ogPN4_s5950,nba,Kh7Fj4ogPN4,footage_corpus,/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s5950.mp4,54056259,83fa214abc8f82813c17d35794bac5902578b0d74e12d943acde1b41e5675c23,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__Kh7Fj4ogPN4_s5950.mp4,54056259,83fa214abc8f82813c17d35794bac5902578b0d74e12d943acde1b41e5675c23,1,1,RETAINED,130.024,0.0,1280,720,59.940062,h264
720p60,6,Ktu6yFS9iMo_s2532,nba,Ktu6yFS9iMo,footage_corpus,/workspace/data/footage_corpus/nba__Ktu6yFS9iMo_s2532.mp4,46239769,b8a9ec95176c333ef6aa473c35b43a072f2c648efbb6d1a973c314b5c04a0e9c,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__Ktu6yFS9iMo_s2532.mp4,46239769,b8a9ec95176c333ef6aa473c35b43a072f2c648efbb6d1a973c314b5c04a0e9c,1,1,RETAINED,130.026,0.0,1280,720,59.940065,h264
720p60,7,Ktu6yFS9iMo_s6195,nba,Ktu6yFS9iMo,footage_corpus,/workspace/data/footage_corpus/nba__Ktu6yFS9iMo_s6195.mp4,45328752,dce9d31c4a8eec01d6c25d9121ef8ef5df2928241cad4634eedb5a1855d9c95a,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__Ktu6yFS9iMo_s6195.mp4,45328752,dce9d31c4a8eec01d6c25d9121ef8ef5df2928241cad4634eedb5a1855d9c95a,1,1,RETAINED,130.052,0.0,1280,720,59.940065,h264
720p60,8,L7o4UCIIqS4_s2656,nba,L7o4UCIIqS4,footage_corpus,/workspace/data/footage_corpus/nba__L7o4UCIIqS4_s2656.mp4,54975598,b1eebfff7d799fedb2a8f485ba98a6fa26021926e7da36bdb4b6a30f1e33d3b0,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__L7o4UCIIqS4_s2656.mp4,54975598,b1eebfff7d799fedb2a8f485ba98a6fa26021926e7da36bdb4b6a30f1e33d3b0,1,1,RETAINED,130.067,0.0,1280,720,59.940062,h264
720p60,9,L7o4UCIIqS4_s5222,nba,L7o4UCIIqS4,footage_corpus,/workspace/data/footage_corpus/nba__L7o4UCIIqS4_s5222.mp4,46736475,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__L7o4UCIIqS4_s5222.mp4,46736475,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,1,1,RETAINED,130.047,0.0,1280,720,59.940062,h264
720p60,10,oL9Uaie2v2A_s2438,nba,oL9Uaie2v2A,footage_corpus,/workspace/data/footage_corpus/nba__oL9Uaie2v2A_s2438.mp4,50026054,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__oL9Uaie2v2A_s2438.mp4,50026054,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,1,1,RETAINED,130.049,0.0,1280,720,59.940065,h264
