blind_id,source_frame,player_slot,verdict,marker_index,near_boundary
39,22808,6,UNMATCHED,,NO
39,22808,7,UNMATCHED,,NO
39,22808,8,UNMATCHED,,NO
39,22808,9,UNMATCHED,,NO
39,22808,10,UNMATCHED,,NO
40,20876,1,UNMATCHED,,NO
40,20876,2,UNMATCHED,,NO
40,20876,3,UNMATCHED,,NO
40,20876,4,UNMATCHED,,NO
40,20876,5,UNMATCHED,,NO
40,20876,6,UNMATCHED,,NO
40,20876,7,UNMATCHED,,NO
40,20876,8,UNMATCHED,,NO
40,20876,9,UNMATCHED,,NO
40,20876,10,UNMATCHED,,NO
41,21187,1,UNMATCHED,,NO
41,21187,2,UNMATCHED,,NO
41,21187,3,UNMATCHED,,NO
41,21187,4,UNMATCHED,,NO
41,21187,5,UNMATCHED,,NO
41,21187,6,UNMATCHED,,NO
41,21187,7,UNMATCHED,,NO
41,21187,8,UNMATCHED,,NO
41,21187,9,UNMATCHED,,NO
41,21187,10,UNMATCHED,,NO
42,21499,1,UNMATCHED,,NO
42,21499,2,UNMATCHED,,NO
42,21499,3,UNMATCHED,,NO
42,21499,4,UNMATCHED,,NO
42,21499,5,UNMATCHED,,NO
42,21499,6,UNMATCHED,,NO
42,21499,7,UNMATCHED,,NO
42,21499,8,UNMATCHED,,NO
42,21499,9,UNMATCHED,,NO
42,21499,10,UNMATCHED,,NO
43,22496,1,UNMATCHED,,NO
43,22496,2,UNMATCHED,,NO
43,22496,3,UNMATCHED,,NO
43,22496,4,UNMATCHED,,NO
43,22496,5,UNMATCHED,,NO
43,22496,6,UNMATCHED,,NO
43,22496,7,UNMATCHED,,NO
43,22496,8,UNMATCHED,,NO
43,22496,9,UNMATCHED,,NO
43,22496,10,UNMATCHED,,NO
44,22994,1,UNMATCHED,,NO
44,22994,2,UNMATCHED,,NO
44,22994,3,UNMATCHED,,NO
44,22994,4,UNMATCHED,,NO
44,22994,5,UNMATCHED,,NO
44,22994,6,UNMATCHED,,NO
44,22994,7,UNMATCHED,,NO
44,22994,8,UNMATCHED,,NO
44,22994,9,UNMATCHED,,NO
44,22994,10,UNMATCHED,,NO
45,20814,1,UNMATCHED,,NO
45,20814,2,UNMATCHED,,NO
45,20814,3,UNMATCHED,,NO
45,20814,4,UNMATCHED,,NO
45,20814,5,UNMATCHED,,NO
45,20814,6,UNMATCHED,,NO
45,20814,7,UNMATCHED,,NO
45,20814,8,UNMATCHED,,NO
45,20814,9,UNMATCHED,,NO
45,20814,10,UNMATCHED,,NO
47,20004,1,UNMATCHED,,NO
47,20004,2,UNMATCHED,,NO
47,20004,3,UNMATCHED,,NO
47,20004,4,UNMATCHED,,NO
47,20004,5,UNMATCHED,,NO
47,20004,6,UNMATCHED,,NO
47,20004,7,UNMATCHED,,NO
47,20004,8,UNMATCHED,,NO
47,20004,9,UNMATCHED,,NO
47,20004,10,UNMATCHED,,NO
48,20564,1,UNMATCHED,,NO
48,20564,2,UNMATCHED,,NO
48,20564,3,UNMATCHED,,NO
48,20564,4,UNMATCHED,,NO
48,20564,5,UNMATCHED,,NO
48,20564,6,UNMATCHED,,NO
48,20564,7,UNMATCHED,,NO
48,20564,8,UNMATCHED,,NO
48,20564,9,UNMATCHED,,NO
48,20564,10,UNMATCHED,,NO
49,20440,1,UNMATCHED,,NO
49,20440,2,UNMATCHED,,NO
49,20440,3,UNMATCHED,,NO
49,20440,4,UNMATCHED,,NO
49,20440,5,UNMATCHED,,NO
49,20440,6,UNMATCHED,,NO
49,20440,7,UNMATCHED,,NO
49,20440,8,UNMATCHED,,NO
49,20440,9,UNMATCHED,,NO
49,20440,10,UNMATCHED,,NO
50,22870,1,UNMATCHED,,NO
50,22870,2,UNMATCHED,,NO
50,22870,3,UNMATCHED,,NO
50,22870,4,UNMATCHED,,NO
50,22870,5,UNMATCHED,,NO
50,22870,6,UNMATCHED,,NO
50,22870,7,UNMATCHED,,NO
50,22870,8,UNMATCHED,,NO
50,22870,9,UNMATCHED,,NO
50,22870,10,UNMATCHED,,NO
51,20689,1,UNMATCHED,,NO
51,20689,2,UNMATCHED,,NO
51,20689,3,UNMATCHED,,NO
51,20689,4,UNMATCHED,,NO
51,20689,5,UNMATCHED,,NO
51,20689,6,UNMATCHED,,NO
51,20689,7,UNMATCHED,,NO
51,20689,8,UNMATCHED,,NO
51,20689,9,UNMATCHED,,NO
51,20689,10,UNMATCHED,,NO
52,21997,1,UNMATCHED,,NO
52,21997,2,UNMATCHED,,NO
52,21997,3,UNMATCHED,,NO
52,21997,4,UNMATCHED,,NO
52,21997,5,UNMATCHED,,NO
52,21997,6,UNMATCHED,,NO
52,21997,7,UNMATCHED,,NO
52,21997,8,UNMATCHED,,NO
52,21997,9,UNMATCHED,,NO
52,21997,10,UNMATCHED,,NO
53,21063,1,UNMATCHED,,NO
53,21063,2,UNMATCHED,,NO
53,21063,3,UNMATCHED,,NO
53,21063,4,UNMATCHED,,NO
53,21063,5,UNMATCHED,,NO
53,21063,6,UNMATCHED,,NO
53,21063,7,UNMATCHED,,NO
53,21063,8,UNMATCHED,,NO
53,21063,9,UNMATCHED,,NO
53,21063,10,UNMATCHED,,NO
54,20377,1,UNMATCHED,,NO
54,20377,2,UNMATCHED,,NO
54,20377,3,MATCHED,3,YES
54,20377,4,UNMATCHED,,NO
54,20377,5,UNMATCHED,,NO
54,20377,6,UNMATCHED,,NO
54,20377,7,UNMATCHED,,NO
54,20377,8,UNMATCHED,,NO
54,20377,9,UNMATCHED,,NO
54,20377,10,UNMATCHED,,NO
55,23244,1,UNMATCHED,,NO
55,23244,2,UNMATCHED,,NO
55,23244,3,UNMATCHED,,NO
55,23244,4,UNMATCHED,,NO
55,23244,5,UNMATCHED,,NO
55,23244,6,UNMATCHED,,NO
55,23244,7,UNMATCHED,,NO
55,23244,8,UNMATCHED,,NO
55,23244,9,UNMATCHED,,NO
55,23244,10,UNMATCHED,,NO
56,19754,1,UNMATCHED,,NO
56,19754,2,UNMATCHED,,NO
56,19754,3,UNMATCHED,,NO
56,19754,4,UNMATCHED,,NO
56,19754,5,UNMATCHED,,NO
56,19754,6,UNMATCHED,,NO
56,19754,7,UNMATCHED,,NO
56,19754,8,UNMATCHED,,NO
56,19754,9,UNMATCHED,,NO
56,19754,10,UNMATCHED,,NO
57,22683,1,UNMATCHED,,NO
57,22683,2,UNMATCHED,,NO
57,22683,3,UNMATCHED,,NO
57,22683,4,UNMATCHED,,NO
57,22683,5,UNMATCHED,,NO
57,22683,6,UNMATCHED,,NO
57,22683,7,UNMATCHED,,NO
57,22683,8,UNMATCHED,,NO
57,22683,9,UNMATCHED,,NO
57,22683,10,UNMATCHED,,NO
58,19692,1,UNMATCHED,,NO
58,19692,2,UNMATCHED,,NO
58,19692,3,UNMATCHED,,NO
58,19692,4,UNMATCHED,,NO
58,19692,5,UNMATCHED,,NO
58,19692,6,UNMATCHED,,NO
58,19692,7,UNMATCHED,,NO
58,19692,8,UNMATCHED,,NO
58,19692,9,UNMATCHED,,NO
58,19692,10,UNMATCHED,,NO
59,20627,1,UNMATCHED,,NO
59,20627,2,UNMATCHED,,NO
59,20627,3,UNMATCHED,,NO
59,20627,4,UNMATCHED,,NO
59,20627,5,UNMATCHED,,NO
59,20627,6,UNMATCHED,,NO
59,20627,7,UNMATCHED,,NO
59,20627,8,UNMATCHED,,NO
59,20627,9,UNMATCHED,,NO
59,20627,10,UNMATCHED,,NO
60,22122,1,UNMATCHED,,NO
60,22122,2,UNMATCHED,,NO
60,22122,3,UNMATCHED,,NO
60,22122,4,UNMATCHED,,NO
60,22122,5,UNMATCHED,,NO
60,22122,6,UNMATCHED,,NO
60,22122,7,UNMATCHED,,NO
60,22122,8,UNMATCHED,,NO
60,22122,9,UNMATCHED,,NO
60,22122,10,UNMATCHED,,NO
