blind_id,source_frame,marker_index,track_id,foot_x_px,foot_y_px
49,20440,5,1,697.125,841.5
49,20440,6,25,707.25,862.5
49,20440,7,24,816.0,864.0
49,20440,8,7,1253.25,763.5
50,22870,0,64,1596.0,825.75
50,22870,1,69,627.75,810.75
50,22870,2,80,151.4765625,753.75
50,22870,3,68,777.1875,775.5
50,22870,4,83,245.4375,733.5
50,22870,5,81,1045.5,681.0
50,22870,6,42,60.94921875,756.75
51,20689,0,35,1079.25,476.25
51,20689,1,7,157.59375,975.0
51,20689,2,34,945.0,514.125
51,20689,3,2,297.75,704.25
51,20689,4,33,294.375,971.25
51,20689,5,29,1800.0,955.5
51,20689,6,20,1279.5,691.125
51,20689,7,1,1241.25,466.5
51,20689,8,25,54.65625,973.5
51,20689,9,36,167.8125,610.5
52,21997,0,56,1497.0,597.75
52,21997,1,42,787.5,858.0
52,21997,2,47,786.75,646.875
52,21997,3,45,443.25,972.75
52,21997,4,57,31.125,967.5
52,21997,5,55,1115.25,847.5
53,21063,0,15,1659.375,843.0
53,21063,1,31,179.4375,449.25
53,21063,2,37,321.75,412.875
53,21063,3,32,1011.0,450.75
54,20377,0,29,1536.0,732.0
54,20377,1,25,1695.0,972.0
54,20377,2,18,196.6875,951.0
54,20377,3,1,919.5,606.0
54,20377,4,22,588.375,835.5
54,20377,5,24,844.5,526.125
54,20377,6,7,1828.5,970.5
54,20377,7,20,653.25,639.0
54,20377,8,31,1119.0,858.0
54,20377,9,33,837.0,868.5
54,20377,10,32,293.625,970.5
55,23244,0,42,1675.5,963.0
55,23244,1,83,962.25,883.5
56,19754,0,16,1422.0,768.0
56,19754,1,8,552.0,450.0
56,19754,2,2,1137.0,571.5
56,19754,3,11,1498.5,972.0
56,19754,4,10,1260.0,868.5
56,19754,5,15,1006.5,786.75
56,19754,6,5,313.875,973.5
57,22683,0,63,1473.75,969.0
57,22683,1,49,1114.5,881.25
57,22683,2,42,721.5,873.0
57,22683,3,70,245.625,966.75
57,22683,4,69,507.375,963.0
57,22683,5,71,385.875,972.0
58,19692,0,4,882.75,531.75
58,19692,1,5,597.75,456.75
58,19692,2,8,1101.0,501.75
58,19692,3,1,1410.0,856.5
58,19692,4,13,234.9375,966.75
58,19692,5,6,990.75,626.25
58,19692,6,7,1020.75,865.5
58,19692,7,2,46.546875,972.0
59,20627,0,7,477.375,713.25
59,20627,1,25,915.0,861.75
59,20627,2,2,126.75,659.25
59,20627,3,15,1392.0,659.25
59,20627,4,1,567.0,454.125
59,20627,5,31,1782.0,936.0
59,20627,6,18,1515.0,955.5
59,20627,7,36,417.09375,972.75
59,20627,8,32,92.625,972.0
59,20627,9,37,1111.5,543.75
59,20627,10,20,1084.5,452.25
59,20627,11,34,1035.75,867.0
60,22122,0,45,325.125,765.0
60,22122,1,57,295.5,444.0
60,22122,2,41,726.75,862.5
60,22122,3,44,1342.5,441.375
60,22122,4,49,1249.5,865.5
