case_id,kind,arm,gap_length,reconnect_correct,simultaneous_merges
000086,crossing,ARM_C,000000,,000000
000087,crossing,ARM_A,000000,,000000
000087,crossing,ARM_B,000000,,000000
000087,crossing,ARM_C,000000,,000000
000088,crossing,ARM_A,000000,,000000
000088,crossing,ARM_B,000000,,000000
000088,crossing,ARM_C,000000,,000000
000089,crossing,ARM_A,000000,,000000
000089,crossing,ARM_B,000000,,000000
000089,crossing,ARM_C,000000,,000000
000090,crossing,ARM_A,000000,,000000
000090,crossing,ARM_B,000000,,000000
000090,crossing,ARM_C,000000,,000000
000091,crossing,ARM_A,000000,,000000
000091,crossing,ARM_B,000000,,000000
000091,crossing,ARM_C,000000,,000000
000092,crossing,ARM_A,000000,,000000
000092,crossing,ARM_B,000000,,000000
000092,crossing,ARM_C,000000,,000000
000093,crossing,ARM_A,000000,,000000
000093,crossing,ARM_B,000000,,000000
000093,crossing,ARM_C,000000,,000000
000094,crossing,ARM_A,000000,,000000
000094,crossing,ARM_B,000000,,000000
000094,crossing,ARM_C,000000,,000000
000095,crossing,ARM_A,000000,,000000
000095,crossing,ARM_B,000000,,000000
000095,crossing,ARM_C,000000,,000000
000096,crossing,ARM_A,000000,,000000
000096,crossing,ARM_B,000000,,000000
000096,crossing,ARM_C,000000,,000000
000097,crossing,ARM_A,000000,,000000
000097,crossing,ARM_B,000000,,000000
000097,crossing,ARM_C,000000,,000000
000098,crossing,ARM_A,000000,,000000
000098,crossing,ARM_B,000000,,000000
000098,crossing,ARM_C,000000,,000000
000099,crossing,ARM_A,000000,,000000
000099,crossing,ARM_B,000000,,000000
000099,crossing,ARM_C,000000,,000000
