window_id,frame,state,source,age_frames,confidence,owner_id,abstention_reason,nearest_distance_px,motion_cosine,motion_ratio,prerequisite_available,join_source,ball_shift
eurocup-Y6POC6V1Y5E_s1221,000621,ABSENT,none,21,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000622,ABSENT,none,22,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000623,ABSENT,none,23,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000624,INFERRED,inferred,24,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000625,ABSENT,none,25,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000626,ABSENT,none,26,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000627,ABSENT,none,27,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000628,ABSENT,none,28,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000629,ABSENT,none,29,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000630,INFERRED,inferred,30,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000631,ABSENT,none,31,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000632,ABSENT,none,32,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000633,ABSENT,none,33,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000634,ABSENT,none,34,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000635,ABSENT,none,35,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000636,OBSERVED_VALID,detected,0,,,motion_disagreement,62.58437506790335,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000637,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000638,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000639,OBSERVED_VALID,detected,0,,,motion_disagreement,80.00156248474151,-0.992635554345568,54.314020898153196,1,px,0
eurocup-Y6POC6V1Y5E_s1221,000640,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000641,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000642,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000643,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000644,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000645,ABSENT,none,3,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000646,ABSENT,none,4,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000647,ABSENT,none,5,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000648,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000649,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000650,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000651,ABSENT,none,3,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000652,ABSENT,none,4,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000653,ABSENT,none,5,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000654,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000655,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000656,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000657,ABSENT,none,3,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000658,ABSENT,none,4,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000659,ABSENT,none,5,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000600,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000601,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000602,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000603,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000604,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000605,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000606,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000607,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000608,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000609,OBSERVED_VALID,detected,0,,,motion_disagreement,84.97452238031639,-0.9910906425956992,1.6627463718697009,1,px,0
eurocup-Y6POC6V1Y5E_s2352,000610,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000611,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s2352,000612,OBSERVED_VALID,detected,0,,3,,80.60727403371202,0.9598158629278636,1.3637141851204169,1,px,0
eurocup-Y6POC6V1Y5E_s2352,000613,ABSENT,none,1,,,no_ball,,,,0,px,0
