section_name,corpus,status,motion_share,motion_share_no_coast,coast_row_share,m1_rows_dropped,UNATTRIBUTED_KEPT,UNATTRIBUTED_REMOVED_TAIL,UNATTRIBUTED_SPLIT,COAST_LOST_KEPT,COAST_LOST_REMOVED_TAIL,COAST_LOST_SPLIT,BBOX_FROZEN_KEPT,BBOX_FROZEN_REMOVED_TAIL,BBOX_FROZEN_SPLIT,CLAMP_OR_SUBPIXEL_KEPT,CLAMP_OR_SUBPIXEL_REMOVED_TAIL,CLAMP_OR_SUBPIXEL_SPLIT
gLdwA_gHN8Y_s3603,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
gLdwA_gHN8Y_s4774,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
gLdwA_gHN8Y_s5945,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
gLdwA_gHN8Y_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
mJRz1DoW6VU_s1178,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
mJRz1DoW6VU_s2266,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
mJRz1DoW6VU_s3354,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
mJRz1DoW6VU_s4442,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
mJRz1DoW6VU_s5530,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
mJRz1DoW6VU_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
ouRk-j987wk_s1275,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
ouRk-j987wk_s2460,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
ouRk-j987wk_s3645,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
ouRk-j987wk_s4830,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
ouRk-j987wk_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
wptZj4SuFtE_s1344,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
wptZj4SuFtE_s2598,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
wptZj4SuFtE_s3852,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
wptZj4SuFtE_s5106,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
wptZj4SuFtE_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
1zPhldjbJnU_s1196,G358,PRESENT,0.029175,0.020228,0.619866,003948,000000,000000,000000,000000,000019,000000,000000,000000,000000,000000,000000,000000
1zPhldjbJnU_s3408,G358,PRESENT,0.467337,0.216958,0.616080,003548,000000,000000,000000,000000,000104,000000,000000,000014,000000,000000,000028,000000
1zPhldjbJnU_s5620,G358,PRESENT,0.060060,0.058291,0.282825,005471,000000,000000,000000,000000,000004,000000,000000,000000,000000,000000,000017,000000
3fT6aYz2N9w_s1339,G358,PRESENT,0.443309,0.274947,0.395114,004534,000000,000000,000000,000000,000038,000000,000000,000003,000000,000000,000043,000000
3fT6aYz2N9w_s5086,G358,PRESENT,0.160417,0.104027,0.462025,000207,000000,000000,000000,000000,000069,000000,000000,000003,000000,000000,000017,000000
50pp-OqYVok_s2750,G358,PRESENT,0.740481,0.550665,0.379326,003039,000000,000000,000000,000000,000080,000000,000000,000001,000000,000000,000108,000000
50pp-OqYVok_s5410,G358,PRESENT,0.686869,0.545929,0.329041,002973,000000,000000,000000,000000,000036,000000,000000,000011,000000,000000,000061,000000
7Ci3zQ5Vm4M_s2312,G358,PRESENT,0.665975,0.372727,0.588677,002807,000000,000000,000000,000000,000125,000000,000000,000000,000000,000000,000041,000000
UPco-jzOoEg_s2796,G358,PRESENT,0.263514,0.058642,0.657877,001334,000000,000000,000000,000000,000030,000000,000000,000000,000000,000000,000005,000000
acb-8Oh7-GrvKvE_s2630,G358,PRESENT,0.989339,0.959488,0.228860,000968,000000,000000,000000,000000,000033,000000,000000,000004,000000,000000,000090,000000
acb-8Oh7-GrvKvE_s6440,G358,PRESENT,0.933902,0.755011,0.319763,001125,000000,000000,000000,000000,000042,000000,000000,000003,000000,000000,000086,000000
