section_name,corpus,status,rows,tracks,unparsed_frame_rows,ticks,tick_pairs,moved_pairs,motion_share,ledger_evaluated_frames,sidecar_evaluated_frames,recorded_sha256,observed_sha256,sha256_check
3fT6aYz2N9w_s5086,G358,PRESENT,000632,000010,000000,000481,000480,000077,0.160417,1299,1000,f0b578b0af894d54519dfd8d27c5e84e2bba91b8c6195eafa2824fc86661f5ae,f0b578b0af894d54519dfd8d27c5e84e2bba91b8c6195eafa2824fc86661f5ae,MATCH
50pp-OqYVok_s2750,G358,PRESENT,004508,000010,000000,000999,000998,000739,0.740481,1301,1000,b8b93adfd66c3ee54cd240b86c20d4a1945c5fb3b6beaaa6793da44312968344,b8b93adfd66c3ee54cd240b86c20d4a1945c5fb3b6beaaa6793da44312968344,MATCH
50pp-OqYVok_s5410,G358,PRESENT,004194,000010,000000,000991,000990,000680,0.686869,1301,1000,f85f3b9e5ce9d3c68e434b563bb08b39da32eb8bd1aad0f3083335a0bdd63968,f85f3b9e5ce9d3c68e434b563bb08b39da32eb8bd1aad0f3083335a0bdd63968,MATCH
7Ci3zQ5Vm4M_s2312,G358,PRESENT,004257,000010,000000,000965,000964,000642,0.665975,1301,1000,075750ca973d43aa077d17e6961a2870b02118a1dca262718a93d8646438ac3a,075750ca973d43aa077d17e6961a2870b02118a1dca262718a93d8646438ac3a,MATCH
UPco-jzOoEg_s2796,G358,PRESENT,001517,000010,000000,000445,000444,000117,0.263514,1301,500,c4028d45bcda5005cabe931e4eab8619081b7bae1feafcc51287aa38896e51f7,c4028d45bcda5005cabe931e4eab8619081b7bae1feafcc51287aa38896e51f7,MATCH
acb-8Oh7-GrvKvE_s2630,G358,PRESENT,002578,000010,000000,000470,000469,000464,0.989339,1301,500,dcfc2b7d90ae9c55519b557bb366966038e2c95f8697558d6cef6d1149e500a2,dcfc2b7d90ae9c55519b557bb366966038e2c95f8697558d6cef6d1149e500a2,MATCH
acb-8Oh7-GrvKvE_s6440,G358,PRESENT,002530,000010,000000,000470,000469,000438,0.933902,1301,500,909178536fcf1fd139552837c563cd3ff2ac5178b6c3ab42ff7601d113e35f62,909178536fcf1fd139552837c563cd3ff2ac5178b6c3ab42ff7601d113e35f62,MATCH
eurocup-Y6POC6V1Y5E_s1221,G358,PRESENT,003927,000010,000000,000963,000962,000709,0.737006,1301,1000,f37d913a9baeb9d2a828be2260dd59536a0dffbb0ec2ca382da34332e115ba09,f37d913a9baeb9d2a828be2260dd59536a0dffbb0ec2ca382da34332e115ba09,MATCH
eurocup-Y6POC6V1Y5E_s3483,G358,PRESENT,003983,000010,000000,000892,000891,000452,0.507295,1301,1000,665eb1de9aa83c2fefc4ef7b4625f299c7aeed72c4a4a16443cc370b0940aa84,665eb1de9aa83c2fefc4ef7b4625f299c7aeed72c4a4a16443cc370b0940aa84,MATCH
eurocup-Y6POC6V1Y5E_s5745,G358,PRESENT,004170,000010,000000,001000,000999,000335,0.335335,1301,1000,a736b5ce3c0331638252e3f913302a3e7594674230e50e08dd68bb96643ba923,a736b5ce3c0331638252e3f913302a3e7594674230e50e08dd68bb96643ba923,MATCH
