table,sport,data_state,n_frames_when_needed,coordinate_spaces,usable_player_fields,unique_positive_modal_stride,first_blocker,rollup_bucket
0022500935,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500937,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500938,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500939,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500942,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500943,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500946,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500947,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500948,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500950,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500953,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500957,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500958,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500960,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500964,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500965,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500966.f136,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500966.f298,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500968,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500991,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500997,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500999,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501010,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501076,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501077,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501078,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501080,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501082,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501083,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501084,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501085,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501086,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501088,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501089,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501091,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501095,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501097,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501106,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501107,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501111,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501114,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501115,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501116,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501117,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501123,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501126,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501130,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501131,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501134,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501137,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501140,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501141,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501142,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501143,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501146,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501147,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501149,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501151,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501152,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501154,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501155,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501156,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501158,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501159,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501160,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501161,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501163,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501164,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501165,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501168,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501170,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501171,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501172,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501173,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501174,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501180,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501183,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501184,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501185,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501186,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501190,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501196,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501197,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501198,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022501199,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
failclosed_smoke,UNKNOWN,empty,,,,,unknown_sport_routing,other
G83_table_0022400625,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
G83_table_0022400687,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
G83_table_0022400690,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
G83_tennis_09,tennis,nonempty,38,court_feet,yes,2,reaches_gate,reaches_gate
lanetest2,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
mlb_2iosUkpL0Bc,baseball,nonempty,2955,image_px,yes,3,coordinate_contract_rejection,coordinate_contract_rejection
test_knicks,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
