section_identity,scope,measured_class,actual_rendition,held_pairs,shared_pairs,held_share,zero_output_evaluated_ticks,schedule_status
gleague-oA9IHkrPNws_s4490,FULL_ADMITTED,720p60,UNRESOLVED,1191,1653,0.720508,13,KNOWN
gleague-oA9IHkrPNws_s4490,SEALED_2S,720p60,UNRESOLVED,0,0,UNKNOWN,0,KNOWN
gleague-oA9IHkrPNws_s90,FULL_ADMITTED,720p60,UNRESOLVED,1751,2274,0.770009,9,KNOWN
gleague-oA9IHkrPNws_s90,SEALED_2S,720p60,UNRESOLVED,0,0,UNKNOWN,0,KNOWN
mn5dZWT3HBQ_s1785,FULL_ADMITTED,UNKNOWN,UNRESOLVED,4208,4314,0.975429,0,KNOWN
mn5dZWT3HBQ_s1785,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
mn5dZWT3HBQ_s3480,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2727,3762,0.724880,0,KNOWN
mn5dZWT3HBQ_s3480,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
mn5dZWT3HBQ_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3631,4622,0.785591,5,KNOWN
mn5dZWT3HBQ_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
