Season,Date,Match,Score,Odds_1,Odds_2
2022-2023,25.03.2023,Los Angeles Clippers - New Orleans Pelicans,110:131,1.51,2.64
2022-2023,25.03.2023,Miami Heat - Brooklyn Nets,100:129,1.44,2.86
2022-2023,25.03.2023,Phoenix Suns - Philadelphia 76ers,125:105,1.84,2.01
2022-2023,25.03.2023,Sacramento Kings - Utah Jazz,121:113,1.25,4.18
2022-2023,24.03.2023,Boston Celtics - Indiana Pacers,120:95,1.17,5.31
2022-2023,24.03.2023,Dallas Mavericks - Charlotte Hornets,109:117,1.07,9.00
2022-2023,24.03.2023,Golden State Warriors - Philadelphia 76ers,120:112,1.54,2.51
2022-2023,24.03.2023,Los Angeles Lakers - Oklahoma City Thunder,116:111,1.62,2.37
2022-2023,24.03.2023,Memphis Grizzlies - Houston Rockets,151:114,1.12,6.66
2022-2023,24.03.2023,Portland Trail Blazers - Chicago Bulls,96:124,3.33,1.34
2022-2023,24.03.2023,Sacramento Kings - Phoenix Suns,135:127,1.57,2.48
2022-2023,24.03.2023,Toronto Raptors - Detroit Pistons,118:97,1.11,7.16
2022-2023,24.03.2023,Utah Jazz - Milwaukee Bucks,116:144,4.41,1.23
2022-2023,24.03.2023,Washington Wizards - San Antonio Spurs,136:124,1.27,3.97
2022-2023,23.03.2023,Brooklyn Nets - Cleveland Cavaliers,114:116,2.35,1.62
2022-2023,23.03.2023,Los Angeles Clippers - Oklahoma City Thunder,127:105,1.50,2.63
2022-2023,23.03.2023,New Orleans Pelicans - Charlotte Hornets,115:96,1.25,4.13
2022-2023,23.03.2023,Orlando Magic - New York Knicks,111:106,2.22,1.69
2022-2023,22.03.2023,Chicago Bulls - Philadelphia 76ers,91:116,2.06,1.80
2022-2023,22.03.2023,Dallas Mavericks - Golden State Warriors,125:127,2.32,1.63
2022-2023,22.03.2023,Los Angeles Lakers - Phoenix Suns,122:111,1.85,1.99
2022-2023,22.03.2023,Memphis Grizzlies - Houston Rockets,130:125,1.13,6.31
