state_id,game_id,state_ts,stratum,check,verdict,reason
000017,401705112,2025-01-13T01:34:04+00:00,p1_m0_3_clt_60,settlement,ACCEPTED,final_tick_after_state
000018,401809774,2025-11-08T01:08:07+00:00,p1_m0_3_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000018,401809774,2025-11-08T01:08:07+00:00,p1_m0_3_clt_60,status,ACCEPTED,active_s309_mask
000018,401809774,2025-11-08T01:08:07+00:00,p1_m0_3_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000018,401809774,2025-11-08T01:08:07+00:00,p1_m0_3_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000018,401809774,2025-11-08T01:08:07+00:00,p1_m0_3_clt_60,settlement,ACCEPTED,final_tick_after_state
000019,401869414,2026-04-25T17:34:04+00:00,p1_m0_3_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000019,401869414,2026-04-25T17:34:04+00:00,p1_m0_3_clt_60,status,ACCEPTED,active_s309_mask
000019,401869414,2026-04-25T17:34:04+00:00,p1_m0_3_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000019,401869414,2026-04-25T17:34:04+00:00,p1_m0_3_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000019,401869414,2026-04-25T17:34:04+00:00,p1_m0_3_clt_60,settlement,ACCEPTED,final_tick_after_state
000020,401769742,2025-05-12T00:34:06+00:00,p1_m10_plus_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000020,401769742,2025-05-12T00:34:06+00:00,p1_m10_plus_c60_300,status,ACCEPTED,active_s309_mask
000020,401769742,2025-05-12T00:34:06+00:00,p1_m10_plus_c60_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000020,401769742,2025-05-12T00:34:06+00:00,p1_m10_plus_c60_300,duplicate,ACCEPTED,unique_game_id_state_ts
000020,401769742,2025-05-12T00:34:06+00:00,p1_m10_plus_c60_300,settlement,ACCEPTED,final_tick_after_state
000021,401809938,2025-10-23T00:35:03+00:00,p1_m10_plus_c60_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000021,401809938,2025-10-23T00:35:03+00:00,p1_m10_plus_c60_300,status,ACCEPTED,active_s309_mask
