"table","sport","source_present","retained_locations","source_files","committed_memo_paths"
"tennis_459iho5_AFs","tennis","True","data/footage_corpus","tennis__tennis_459iho5_AFs.mp4","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g44_ball_detectability_limit_2026-09-02.md;docs/evidence/tracking/g46_court_scale_premise_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md"
"tennis_nyYk2nPZAwY","tennis","True","data/footage_corpus","tennis__tennis_nyYk2nPZAwY.mp4;tennis__tennis_nyYk2nPZAwY_720p.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/corpus_sibling_variants_2026-09-04.md;docs/evidence/tracking/g107_jump_statistic_policy_2026-09-02.md;docs/evidence/tracking/g38b_jump_cause_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/ball_rows_absent.md;docs/evidence/tracking/gapfinder_2026-09-02/highres_copies_never_tracked.md;docs/evidence/tracking/reingest_720p_2026-09-02.md;docs/evidence/tracking/tennis_camera_lock_nyYk_720p_2026-09-01.md"
"test720_4MoMewm2j-o","UNKNOWN","True","data/videos","test720_4MoMewm2j-o.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g74_offframe_coast_measure_2026-09-02.md"
"wnba_01","wnba","True","data/footage_corpus","wnba__wnba_01.mp4;wnba__wnba_01_1080p.mp4","docs/evidence/tracking/HANDOFF_TRACKING_ACCOUNT2_2026-09-02.md;docs/evidence/tracking/TRACKING_DAY1_EXECUTION_PLAN_2026-09-04.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/TRACKING_LOOP_OPTIMIZATION_2026-09-02.md;docs/evidence/tracking/basketball_floor_gate_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_features_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_relabel_2026-09-01.md;docs/evidence/tracking/basketball_producer_fix_2026-09-01.md;docs/evidence/tracking/corpus_sibling_variants_2026-09-04.md;docs/evidence/tracking/g34_basketball_view_share_2026-09-02.md;docs/evidence/tracking/g87_paint_gate_perspective_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/highres_copies_never_tracked.md"
"wnba_02","wnba","True","data/footage_corpus","wnba__wnba_02.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/basketball_floor_gate_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_features_2026-09-02.md;docs/evidence/tracking/basketball_producer_fix_2026-09-01.md;docs/evidence/tracking/g87_paint_gate_perspective_2026-09-02.md"
"wnba_03","wnba","False","","","docs/evidence/tracking/basketball_imagepx_relabel_2026-09-01.md;docs/evidence/tracking/basketball_producer_fix_2026-09-01.md"
"wnba_04","wnba","True","data/footage_corpus","wnba__wnba_04.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/basketball_floor_gate_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_features_2026-09-02.md;docs/evidence/tracking/basketball_producer_fix_2026-09-01.md;docs/evidence/tracking/g74_offframe_coast_measure_2026-09-02.md;docs/evidence/tracking/g87_paint_gate_perspective_2026-09-02.md"
"wnba_05","wnba","True","data/footage_corpus","wnba__wnba_05.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/basketball_floor_gate_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_features_2026-09-02.md;docs/evidence/tracking/basketball_producer_fix_2026-09-01.md;docs/evidence/tracking/g87_paint_gate_perspective_2026-09-02.md"
"wnba_06","UNKNOWN","True","data/footage_bridge","wnba__wnba_06.mp4","docs/evidence/tracking/basketball_imagepx_relabel_2026-09-01.md"
"wnba_kangps_g1","wnba","False","","","docs/evidence/tracking/basketball_imagepx_relabel_2026-09-01.md;docs/evidence/tracking/basketball_producer_fix_2026-09-01.md"
"wnba_kangps_g2","wnba","False","","","docs/evidence/tracking/basketball_imagepx_relabel_2026-09-01.md;docs/evidence/tracking/basketball_producer_fix_2026-09-01.md;docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md"
