geometry,sigma_px,draw,seed,baseline_gap_px,a_gap_px,b_gap_px,a_improvement_px,b_improvement_px,n_supports,n_kept,rounds_run,n_fev,status
G1_SYNTH_QUAD,0.50,7,1381075766,0.257554,0.310139,0.282044,-0.052585,-0.024489,547,547,2,7,ok
G1_SYNTH_QUAD,0.50,8,906052596,0.479038,0.276873,0.307376,0.202165,0.171662,547,547,3,11,ok
G1_SYNTH_QUAD,0.50,9,650099999,0.546961,0.438002,0.391721,0.108959,0.155240,547,547,3,9,ok
G1_SYNTH_QUAD,0.50,10,763407204,0.493147,0.466872,0.475466,0.026275,0.017682,547,547,2,7,ok
G1_SYNTH_QUAD,0.50,11,328957021,0.808776,0.550496,0.586567,0.258280,0.222209,547,547,2,8,ok
G1_SYNTH_QUAD,0.50,12,2413263622,0.814264,0.372289,0.487008,0.441975,0.327256,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,13,3600782556,0.822794,0.378171,0.442333,0.444624,0.380461,546,546,3,12,ok
G1_SYNTH_QUAD,0.50,14,1350600263,0.454345,0.410234,0.410087,0.044110,0.044258,546,546,2,8,ok
G1_SYNTH_QUAD,0.50,15,1043533387,0.965843,0.636622,0.757512,0.329221,0.208331,547,547,3,9,ok
G1_SYNTH_QUAD,0.50,16,949296,0.519577,0.548700,0.539983,-0.029123,-0.020407,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,17,605222906,0.427932,0.411642,0.385905,0.016290,0.042027,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,18,1338759916,0.452441,0.416450,0.425650,0.035990,0.026791,547,547,2,8,ok
G1_SYNTH_QUAD,0.50,19,1248617690,0.472995,0.335454,0.327016,0.137542,0.145980,546,546,3,9,ok
G1_SYNTH_QUAD,0.50,20,4199933879,0.732174,0.534902,0.587886,0.197273,0.144289,548,548,3,9,ok
G1_SYNTH_QUAD,0.50,21,3720559422,0.606209,0.517833,0.538664,0.088376,0.067545,547,547,2,6,ok
G1_SYNTH_QUAD,0.50,22,1543583520,0.322180,0.357960,0.329790,-0.035780,-0.007611,547,547,2,7,ok
