section_identity,requested_format_id,fetch_receipt_status,pod_sha256,pc_sha256,digest_match,probe_agreement,measured_width,measured_height,measured_fps,avg_frame_rate_rational,r_frame_rate_rational,codec_name,itag_consistency,actual_format_id,actual_rendition,format_join_status,measured_class,measured_fps_bin,source_height,source_fps
gleague-TUXsofc3mgg_s90,270,BOUND,03e48d311cfbd0196681fbcf11c33b4b237fcfbebf32f8c925a1cabf6abca912,03e48d311cfbd0196681fbcf11c33b4b237fcfbebf32f8c925a1cabf6abca912,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-YuLn6qQVEv0_s1254,270,BOUND,7e7c966611d7fa9ee8c9aba450288ba33a9205b591e4d14cf5316ad6015e8e38,7e7c966611d7fa9ee8c9aba450288ba33a9205b591e4d14cf5316ad6015e8e38,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
gleague-YuLn6qQVEv0_s2418,270,BOUND,238ff433bae76ff35503d0a4718c0a1672e9180c1718eaed99f335417389ae13,238ff433bae76ff35503d0a4718c0a1672e9180c1718eaed99f335417389ae13,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
gleague-YuLn6qQVEv0_s3582,270,BOUND,17ab614f890baa434555241959905986200c3cfc916614c3545cdba703b3b2e0,17ab614f890baa434555241959905986200c3cfc916614c3545cdba703b3b2e0,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
gleague-YuLn6qQVEv0_s4746,270,BOUND,aa1ede5a907dff49ed2810b43e6a70dfe194e77cb4bd67a9059896453ec6d736,aa1ede5a907dff49ed2810b43e6a70dfe194e77cb4bd67a9059896453ec6d736,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
gleague-YuLn6qQVEv0_s90,270,BOUND,dd915c43f6cd3f76c7a779bbf82948ff5084d1bc2d1545becf28a4cb00014da1,dd915c43f6cd3f76c7a779bbf82948ff5084d1bc2d1545becf28a4cb00014da1,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
gleague-Z9LZwPvEMTU_s1877,270,BOUND,b0e6ac4fa90e918161be5809629ad5ddf796ca3ee5991d210af4d6a13521616c,b0e6ac4fa90e918161be5809629ad5ddf796ca3ee5991d210af4d6a13521616c,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-Z9LZwPvEMTU_s3664,270,BOUND,b9097b39ced39d1989869315d1fa4387e7b600f8cec213f215a8928d2d07062f,b9097b39ced39d1989869315d1fa4387e7b600f8cec213f215a8928d2d07062f,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-Z9LZwPvEMTU_s5451,270,BOUND,60e7aaad8204e119efd8884381a1c6d1fc2368c59dc41a535769f3a518033f92,60e7aaad8204e119efd8884381a1c6d1fc2368c59dc41a535769f3a518033f92,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-Z9LZwPvEMTU_s7238,270,BOUND,300d5a98fe17663f25c736d1d23a9b32596b8acff7d1758b525dd5f7690e7161,300d5a98fe17663f25c736d1d23a9b32596b8acff7d1758b525dd5f7690e7161,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-Z9LZwPvEMTU_s90,270,BOUND,d448f49d65edbe0cf468b1ae5b56459831c8ce29f0c5ce1a3c5f9070ddf933bb,d448f49d65edbe0cf468b1ae5b56459831c8ce29f0c5ce1a3c5f9070ddf933bb,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-Z9LZwPvEMTU_s9025,270,BOUND,955b85c36b0fb0e00a6834d658db4798002bae20d1c3654ad1dfb01c8ff0ac1d,955b85c36b0fb0e00a6834d658db4798002bae20d1c3654ad1dfb01c8ff0ac1d,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-a0FMMvE3B5k_s1722,270,BOUND,0af8bcb4010cee7f0b232e938ecde057494a9dcc5f7e1c9290d82e505b072eeb,0af8bcb4010cee7f0b232e938ecde057494a9dcc5f7e1c9290d82e505b072eeb,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-a0FMMvE3B5k_s3354,270,BOUND,33c0c53a396b5ce6e64ef22a68337ea78fe4a4cc83ebfe47004470a38fad2ca2,33c0c53a396b5ce6e64ef22a68337ea78fe4a4cc83ebfe47004470a38fad2ca2,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-a0FMMvE3B5k_s4986,270,BOUND,545010b709580cfd670292664e42636a1c98a24614a80967b9fb17353a6e4ff5,545010b709580cfd670292664e42636a1c98a24614a80967b9fb17353a6e4ff5,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-a0FMMvE3B5k_s6618,270,BOUND,a3e0e52d3f612ea373845e41b094576c7b7a00445dff1b3eac437be29f838f09,a3e0e52d3f612ea373845e41b094576c7b7a00445dff1b3eac437be29f838f09,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-a0FMMvE3B5k_s8250,270,BOUND,e2c37f73ee12fb1cb37558274a6f272bc5f56187b98397382e1603eeb43cfa42,e2c37f73ee12fb1cb37558274a6f272bc5f56187b98397382e1603eeb43cfa42,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-a0FMMvE3B5k_s90,270,BOUND,6f8c2bb727b6294ccb43d39845c130422ca751174e6574ec4a24c030ee41739b,6f8c2bb727b6294ccb43d39845c130422ca751174e6574ec4a24c030ee41739b,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-cl9uwvP1Fe8_s1659,270,BOUND,7840b7fe543d015228b39139d4be7ceffe96efe5e898188eef276b5c5cdbff40,7840b7fe543d015228b39139d4be7ceffe96efe5e898188eef276b5c5cdbff40,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-cl9uwvP1Fe8_s3228,270,BOUND,965fe40ba0611aaccf90ee7aa4fdd97a4d2a0f23993403f0a1175741f385f207,965fe40ba0611aaccf90ee7aa4fdd97a4d2a0f23993403f0a1175741f385f207,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-cl9uwvP1Fe8_s4797,270,BOUND,6234f71d093616f9d1114f305bf768b2b875cea5e8726df233e4588c3925291a,6234f71d093616f9d1114f305bf768b2b875cea5e8726df233e4588c3925291a,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-cl9uwvP1Fe8_s6366,270,BOUND,cc5e52b97bf1e6527b44b5eab3bd529b6c9da9367cde35da62bb17bc917d19f5,cc5e52b97bf1e6527b44b5eab3bd529b6c9da9367cde35da62bb17bc917d19f5,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-cl9uwvP1Fe8_s7935,270,BOUND,56c76f4b58341bb09b593d8b5a101de3defeb06e6b1aee2f32f522f0482949bc,56c76f4b58341bb09b593d8b5a101de3defeb06e6b1aee2f32f522f0482949bc,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-cl9uwvP1Fe8_s90,270,BOUND,3e72150600ba8df0201d2b9d4ec9739b3a1b88dcb945c470a761d226220a4b22,3e72150600ba8df0201d2b9d4ec9739b3a1b88dcb945c470a761d226220a4b22,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-dd_QSkmUWyU_s1675,270,BOUND,03c5e001a7f65aea661f1b5e5899499599e4ab5e9f7408d5b1e6e29fc1e47c73,03c5e001a7f65aea661f1b5e5899499599e4ab5e9f7408d5b1e6e29fc1e47c73,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
gleague-dd_QSkmUWyU_s3260,270,BOUND,bda586a7f7f126c5a89ab437933a5d0ff362c5eacbf7a359f0adb5a58c897ea3,bda586a7f7f126c5a89ab437933a5d0ff362c5eacbf7a359f0adb5a58c897ea3,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
gleague-dd_QSkmUWyU_s4845,270,BOUND,a912d38f53e38b2e40c03e608438b7934df7dff8cc7e11be783f765c0a826ffd,a912d38f53e38b2e40c03e608438b7934df7dff8cc7e11be783f765c0a826ffd,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
gleague-dd_QSkmUWyU_s6430,270,BOUND,a3b654f93e9e539ed3f38e77fc1c9b0ddd01c8684f5dc0a3366213e1000506c4,a3b654f93e9e539ed3f38e77fc1c9b0ddd01c8684f5dc0a3366213e1000506c4,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
gleague-dd_QSkmUWyU_s8015,270,BOUND,3b50dcaf26822bcff13f5c3abde63f2b4e5fd1796dba02cf89c3e9df8cff84b9,3b50dcaf26822bcff13f5c3abde63f2b4e5fd1796dba02cf89c3e9df8cff84b9,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
gleague-dd_QSkmUWyU_s90,270,BOUND,ee9914c2ae8a3a32e273d48be91963b9652877b70bd7298aed25fcc9ebe8c452,ee9914c2ae8a3a32e273d48be91963b9652877b70bd7298aed25fcc9ebe8c452,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
gleague-iUn3klfUOkM_s1390,270,BOUND,f691d0066e074ac7350d4e237d4d84b0cc5b2d7a0070a71a2ca2bfe490812a2b,f691d0066e074ac7350d4e237d4d84b0cc5b2d7a0070a71a2ca2bfe490812a2b,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
gleague-iUn3klfUOkM_s2690,270,BOUND,e9ed1c29e49c7785bc058d43c4a2169e8310b09fdfcb2baa368c207047450984,e9ed1c29e49c7785bc058d43c4a2169e8310b09fdfcb2baa368c207047450984,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
gleague-iUn3klfUOkM_s3990,270,BOUND,f5bf0e49f168cc1a1e07a33aefc7784b2f598388d7577600a4e3be2efc696eed,f5bf0e49f168cc1a1e07a33aefc7784b2f598388d7577600a4e3be2efc696eed,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
gleague-iUn3klfUOkM_s90,270,BOUND,8260899b69e3f2418f93633bcda697db5d9be93600efd2c31f72c5c3537f87f1,8260899b69e3f2418f93633bcda697db5d9be93600efd2c31f72c5c3537f87f1,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
gleague-oA9IHkrPNws_s1190,270,BOUND,94611f60eef92b558303c0d76a1eb2107594eed12836d3b9d937dafeeca33d3a,94611f60eef92b558303c0d76a1eb2107594eed12836d3b9d937dafeeca33d3a,1,AGREE,1280,720,59.940064878224604,1164096/19421,60000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p60,60,720,59.940064878224604
gleague-oA9IHkrPNws_s2290,270,BOUND,3e2b4770fccb3233aa95f4e9932f65f0e08222c1c4f9f640cbd9a03a2a2ac19e,3e2b4770fccb3233aa95f4e9932f65f0e08222c1c4f9f640cbd9a03a2a2ac19e,1,AGREE,1280,720,59.94006489538803,725040000/12096083,60000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p60,60,720,59.94006489538803
gleague-oA9IHkrPNws_s3390,270,BOUND,888453df7045eb31e4828bc8e529e4b358b6487ee125d8889b07da00e1b60509,888453df7045eb31e4828bc8e529e4b358b6487ee125d8889b07da00e1b60509,1,AGREE,1280,720,59.940062498058246,175567500/2929051,60000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p60,60,720,59.940062498058246
gleague-oA9IHkrPNws_s4490,270,BOUND,bff578ffb1ae17eea9a8058c409d049e5029ede84202121ab75c636b2461acd7,bff578ffb1ae17eea9a8058c409d049e5029ede84202121ab75c636b2461acd7,1,AGREE,1280,720,59.94006246953159,44386875/740521,60000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p60,60,720,59.94006246953159
gleague-oA9IHkrPNws_s90,270,BOUND,7c0599920fdcc0005fd7a9e9707864cb79187c8acfb2d89b2b3b6a1980ae29e5,7c0599920fdcc0005fd7a9e9707864cb79187c8acfb2d89b2b3b6a1980ae29e5,1,AGREE,1280,720,59.940064957672206,716040000/11945933,60000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p60,60,720,59.940064957672206
mn5dZWT3HBQ_s1785,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
mn5dZWT3HBQ_s3480,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
mn5dZWT3HBQ_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
