frame,evaluated,status,calibration_provenance,emitted_player_rows,camera_lock_id,fresh_solve_count,drift_residual_px,drift_evidence_count
230,True,calibration_unavailable,unavailable,0,60,0,,0
231,True,calibration_unavailable,unavailable,0,60,0,,0
232,True,calibration_unavailable,unavailable,0,60,0,,0
233,True,calibration_unavailable,unavailable,0,61,0,,0
234,True,calibration_unavailable,unavailable,0,61,0,,0
235,True,emitted_players,solved,2,61,1,0.0,4
236,True,emitted_players,solved,2,61,2,0.0,4
237,True,emitted_players,solved,2,61,3,1.706115484237671,4
238,True,emitted_players,camera_lock_drift_checked,2,61,3,4.426796197891235,6
239,True,unsolved_drift,unavailable,0,62,0,8.779537200927734,6
240,True,calibration_unavailable,unavailable,0,63,0,,0
241,True,calibration_unavailable,unavailable,0,64,0,,0
242,True,calibration_unavailable,unavailable,0,64,0,,0
243,True,calibration_unavailable,unavailable,0,64,0,,0
244,True,calibration_unavailable,unavailable,0,64,0,,0
245,True,calibration_unavailable,unavailable,0,64,0,,0
246,True,calibration_unavailable,unavailable,0,64,0,,0
247,True,calibration_unavailable,unavailable,0,64,0,,0
248,True,calibration_unavailable,unavailable,0,65,0,,0
249,True,calibration_unavailable,unavailable,0,65,0,,0
250,True,calibration_unavailable,unavailable,0,66,0,,0
251,True,calibration_unavailable,unavailable,0,66,0,,0
252,True,calibration_unavailable,unavailable,0,66,0,,0
253,True,emitted_players,solved,2,67,1,0.0,4
254,True,emitted_players,solved,2,67,2,0.0,4
255,True,emitted_players,solved,2,67,3,0.0,4
256,True,emitted_players,camera_lock_drift_checked,2,67,3,1.1818945705890656,6
257,True,emitted_players,solved,2,67,4,1.9008502960205078,4
258,True,emitted_players,solved,2,67,5,1.5422818660736084,4
259,True,emitted_players,solved,2,67,6,2.085397243499756,4
260,True,emitted_players,camera_lock_drift_checked,2,67,6,1.8022680282592773,6
261,True,emitted_players,solved,2,68,1,5.233713150024414,4
262,True,calibration_unavailable,unavailable,0,69,0,,0
263,True,calibration_unavailable,unavailable,0,69,0,,0
264,True,emitted_players,solved,2,70,1,0.0,4
265,True,emitted_players,solved,2,70,2,0.0,4
266,True,emitted_players,solved,2,70,3,1.633061408996582,4
267,True,calibration_unavailable,unavailable,0,71,0,,0
268,True,calibration_unavailable,unavailable,0,72,0,,0
269,True,calibration_unavailable,unavailable,0,73,0,,0
270,True,calibration_unavailable,unavailable,0,73,0,,0
271,True,calibration_unavailable,unavailable,0,74,0,,0
272,True,calibration_unavailable,unavailable,0,75,0,,0
273,True,calibration_unavailable,unavailable,0,75,0,,0
274,True,calibration_unavailable,unavailable,0,75,0,,0
275,True,calibration_unavailable,unavailable,0,75,0,,0
276,True,calibration_unavailable,unavailable,0,75,0,,0
277,True,calibration_unavailable,unavailable,0,75,0,,0
278,True,calibration_unavailable,unavailable,0,75,0,,0
279,True,calibration_unavailable,unavailable,0,75,0,,0
280,True,calibration_unavailable,unavailable,0,75,0,,0
281,True,calibration_unavailable,unavailable,0,75,0,,0
282,True,calibration_unavailable,unavailable,0,75,0,,0
283,True,calibration_unavailable,unavailable,0,76,0,,0
284,True,calibration_unavailable,unavailable,0,76,0,,0
285,True,calibration_unavailable,unavailable,0,76,0,,0
286,True,calibration_unavailable,unavailable,0,76,0,,0
287,True,calibration_unavailable,unavailable,0,76,0,,0
288,True,calibration_unavailable,unavailable,0,77,0,,0
289,True,calibration_unavailable,unavailable,0,77,0,,0
290,True,calibration_unavailable,unavailable,0,78,0,,0
291,True,calibration_unavailable,unavailable,0,79,0,,0
