frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration,source_fps,source_height,source_duration
2970,32,player,67.12055206298828,6.429457187652588,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
2979,31,player,5.237641334533691,20.935665130615234,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
2979,32,player,64.82210540771484,6.506890773773193,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3003,33,player,4.91145133972168,19.456270217895508,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3003,34,player,64.26458740234375,5.576851844787598,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3012,33,player,4.48151969909668,19.42987823486328,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3012,34,player,64.90742492675781,5.493579864501953,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3024,35,player,4.380579471588135,20.01299285888672,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3024,36,player,64.45645904541016,5.317094802856445,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3027,35,player,4.2222371101379395,20.502708435058594,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3027,36,player,64.46122741699219,5.144928932189941,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3039,37,player,3.9963769912719727,21.07465171813965,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3039,38,player,64.74899291992188,5.255275249481201,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3042,37,player,3.82035493850708,21.28422737121582,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3042,38,player,64.19985961914062,5.2013139724731445,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3051,37,player,3.245993137359619,21.32147789001465,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3051,38,player,64.75418853759766,5.218636989593506,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3063,39,player,3.248950242996216,20.991159439086914,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3063,40,player,65.99634552001953,5.313138008117676,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3072,39,player,3.099642276763916,21.08782386779785,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3072,40,player,66.49964904785156,5.2374067306518555,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3078,39,player,3.1275134086608887,21.108606338500977,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3078,40,player,66.65644836425781,5.539919376373291,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3081,39,player,3.252260684967041,21.033742904663086,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3081,40,player,66.47081756591797,5.807445526123047,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3087,39,player,3.041822910308838,21.096145629882812,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3087,40,player,66.15850067138672,5.875128269195557,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3108,41,player,3.080260753631592,21.12354278564453,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3108,42,player,64.48223876953125,5.4319305419921875,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3126,43,player,3.0977816581726074,21.05824851989746,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3126,44,player,65.01728057861328,5.812812805175781,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3141,45,player,3.2301089763641357,21.220760345458984,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3141,46,player,64.34294891357422,5.812070846557617,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3147,45,player,3.2302706241607666,21.022090911865234,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3147,46,player,65.41336822509766,5.909355163574219,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3153,45,player,3.297930955886841,20.86194610595703,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3153,46,player,65.87080383300781,5.883976459503174,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3156,45,player,3.2361793518066406,20.934206008911133,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3156,46,player,64.82898712158203,5.833970546722412,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3159,45,player,3.2301764488220215,20.922956466674805,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3159,46,player,65.1189956665039,5.778263568878174,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3162,45,player,3.2758145332336426,20.948074340820312,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3162,46,player,64.64478302001953,5.703123092651367,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
3165,45,player,3.267702102661133,20.924827575683594,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
