section_identity,competition,canonical_game,section_offset_s,terminal_utc,fetch_utc,status,requested_format_id,fetch_receipt_status,retained,retention_status,rows,decoded_frames,evaluated_frames,stride,source_height,source_fps,source_duration,probe_status,degenerate,resumed_partial,repeat_attempts_in_window,attempt_id
gleague-Z9LZwPvEMTU_s90,basketball,Z9LZwPvEMTU,90,2026-09-11T18:03:32Z,2026-09-11T17:59:29Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,60.0,135.01666666666668,OK,True,False,0,gleague-Z9LZwPvEMTU_s90@1789149812
gleague-Z9LZwPvEMTU_s9025,basketball,Z9LZwPvEMTU,9025,2026-09-11T18:07:54Z,2026-09-11T17:59:29Z,tracked,270,BOUND,1,RETAINED_OFF_POD,937,7801,1301,6,1080,60.0,135.01666666666668,OK,False,False,0,gleague-Z9LZwPvEMTU_s9025@1789150074
gleague-a0FMMvE3B5k_s1722,basketball,a0FMMvE3B5k,1722,2026-09-11T18:04:13Z,2026-09-11T17:55:19Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2513,7801,1301,6,1080,60.0,132.01666666666668,OK,False,False,0,gleague-a0FMMvE3B5k_s1722@1789149853
gleague-a0FMMvE3B5k_s3354,basketball,a0FMMvE3B5k,3354,2026-09-11T18:03:12Z,2026-09-11T17:55:19Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2064,7801,1301,6,1080,60.0,133.95,OK,False,False,0,gleague-a0FMMvE3B5k_s3354@1789149792
gleague-a0FMMvE3B5k_s4986,basketball,a0FMMvE3B5k,4986,2026-09-11T18:03:32Z,2026-09-11T17:55:19Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3351,7801,1301,6,1080,60.0,130.95,OK,False,False,0,gleague-a0FMMvE3B5k_s4986@1789149812
gleague-a0FMMvE3B5k_s6618,basketball,a0FMMvE3B5k,6618,2026-09-11T18:05:13Z,2026-09-11T17:55:19Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1661,7801,1301,6,1080,60.0,132.81666666666666,OK,False,False,0,gleague-a0FMMvE3B5k_s6618@1789149913
gleague-a0FMMvE3B5k_s8250,basketball,a0FMMvE3B5k,8250,2026-09-11T17:59:50Z,2026-09-11T17:55:19Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,60.0,134.95,OK,True,False,0,gleague-a0FMMvE3B5k_s8250@1789149590
gleague-a0FMMvE3B5k_s90,basketball,a0FMMvE3B5k,90,2026-09-11T18:00:11Z,2026-09-11T17:55:19Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,60.0,135.01666666666668,OK,True,False,0,gleague-a0FMMvE3B5k_s90@1789149611
gleague-cl9uwvP1Fe8_s1659,basketball,cl9uwvP1Fe8,1659,2026-09-11T18:12:16Z,2026-09-11T18:06:42Z,tracked,270,BOUND,1,RETAINED_OFF_POD,902,7801,1301,6,1080,60.0,134.01666666666668,OK,False,False,0,gleague-cl9uwvP1Fe8_s1659@1789150336
gleague-cl9uwvP1Fe8_s3228,basketball,cl9uwvP1Fe8,3228,2026-09-11T18:12:16Z,2026-09-11T18:06:42Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2603,7801,1301,6,1080,60.0,133.01666666666668,OK,False,False,0,gleague-cl9uwvP1Fe8_s3228@1789150336
gleague-cl9uwvP1Fe8_s4797,basketball,cl9uwvP1Fe8,4797,2026-09-11T18:09:35Z,2026-09-11T18:06:42Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,60.0,132.01666666666668,OK,True,False,0,gleague-cl9uwvP1Fe8_s4797@1789150175
gleague-cl9uwvP1Fe8_s6366,basketball,cl9uwvP1Fe8,6366,2026-09-11T18:12:56Z,2026-09-11T18:06:42Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1929,7801,1301,6,1080,60.0,131.01666666666668,OK,False,False,0,gleague-cl9uwvP1Fe8_s6366@1789150376
gleague-cl9uwvP1Fe8_s7935,basketball,cl9uwvP1Fe8,7935,2026-09-11T18:13:36Z,2026-09-11T18:06:42Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2568,7801,1301,6,1080,60.0,135.01666666666668,OK,False,False,0,gleague-cl9uwvP1Fe8_s7935@1789150416
gleague-cl9uwvP1Fe8_s90,basketball,cl9uwvP1Fe8,90,2026-09-11T18:10:35Z,2026-09-11T18:06:42Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,60.0,135.01666666666668,OK,True,False,0,gleague-cl9uwvP1Fe8_s90@1789150235
gleague-dd_QSkmUWyU_s1675,basketball,dd_QSkmUWyU,1675,2026-09-11T18:20:20Z,2026-09-11T18:09:49Z,tracked,270,BOUND,1,RETAINED_OFF_POD,6326,3901,1301,3,1080,30.0,133.03333333333333,OK,False,False,0,gleague-dd_QSkmUWyU_s1675@1789150820
gleague-dd_QSkmUWyU_s3260,basketball,dd_QSkmUWyU,3260,2026-09-11T18:20:40Z,2026-09-11T18:09:49Z,tracked,270,BOUND,1,RETAINED_OFF_POD,6828,3901,1301,3,1080,30.0,132.16666666666666,OK,False,False,0,gleague-dd_QSkmUWyU_s3260@1789150840
gleague-dd_QSkmUWyU_s4845,basketball,dd_QSkmUWyU,4845,2026-09-11T18:20:40Z,2026-09-11T18:09:49Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3946,3901,1301,3,1080,30.0,131.3,OK,False,False,0,gleague-dd_QSkmUWyU_s4845@1789150840
gleague-dd_QSkmUWyU_s6430,basketball,dd_QSkmUWyU,6430,2026-09-11T18:21:00Z,2026-09-11T18:09:49Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4880,3901,1301,3,1080,30.0,130.43333333333334,OK,False,False,0,gleague-dd_QSkmUWyU_s6430@1789150860
gleague-dd_QSkmUWyU_s8015,basketball,dd_QSkmUWyU,8015,2026-09-11T18:21:00Z,2026-09-11T18:09:49Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3421,3901,1301,3,1080,30.0,134.63333333333333,OK,False,False,0,gleague-dd_QSkmUWyU_s8015@1789150860
gleague-dd_QSkmUWyU_s90,basketball,dd_QSkmUWyU,90,2026-09-11T18:15:37Z,2026-09-11T18:09:49Z,thin,270,BOUND,1,RETAINED_OFF_POD,0,,,,1080,30.0,133.9,OK,True,False,0,gleague-dd_QSkmUWyU_s90@1789150537
gleague-iUn3klfUOkM_s1390,basketball,iUn3klfUOkM,1390,2026-09-11T18:19:39Z,2026-09-11T18:14:45Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4427,3897,1299,3,720,29.97002997002997,132.39893333333333,OK,False,False,0,gleague-iUn3klfUOkM_s1390@1789150779
gleague-iUn3klfUOkM_s2690,basketball,iUn3klfUOkM,2690,2026-09-11T18:19:39Z,2026-09-11T18:14:45Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4163,3897,1299,3,720,29.97002997002997,133.6335,OK,False,False,0,gleague-iUn3klfUOkM_s2690@1789150779
gleague-iUn3klfUOkM_s3990,basketball,iUn3klfUOkM,3990,2026-09-11T18:19:59Z,2026-09-11T18:14:45Z,tracked,270,BOUND,1,RETAINED_OFF_POD,5549,3897,1299,3,720,29.97002997002997,134.86806666666666,OK,False,False,0,gleague-iUn3klfUOkM_s3990@1789150799
gleague-iUn3klfUOkM_s90,basketball,iUn3klfUOkM,90,2026-09-11T18:24:01Z,2026-09-11T18:14:45Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3637,3897,1299,3,720,29.97002997002997,131.16436666666667,OK,False,False,0,gleague-iUn3klfUOkM_s90@1789151041
gleague-oA9IHkrPNws_s1190,basketball,oA9IHkrPNws,1190,2026-09-11T17:57:28Z,2026-09-11T17:52:50Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2034,7793,1299,6,720,59.940064878224604,134.86805555555554,OK,False,False,0,gleague-oA9IHkrPNws_s1190@1789149448
gleague-oA9IHkrPNws_s2290,basketball,oA9IHkrPNws,2290,2026-09-11T17:57:28Z,2026-09-11T17:52:50Z,tracked,270,BOUND,1,RETAINED_OFF_POD,3008,7793,1299,6,720,59.94006489538803,134.40092222222222,OK,False,False,0,gleague-oA9IHkrPNws_s2290@1789149448
gleague-oA9IHkrPNws_s3390,basketball,oA9IHkrPNws,3390,2026-09-11T17:59:50Z,2026-09-11T17:52:50Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1735,7794,1299,6,720,59.940062498058246,130.18004444444443,OK,False,False,0,gleague-oA9IHkrPNws_s3390@1789149590
gleague-oA9IHkrPNws_s4490,basketball,oA9IHkrPNws,4490,2026-09-11T17:59:50Z,2026-09-11T17:52:50Z,tracked,270,BOUND,1,RETAINED_OFF_POD,1935,7794,1299,6,720,59.94006246953159,131.64817777777776,OK,False,False,0,gleague-oA9IHkrPNws_s4490@1789149590
gleague-oA9IHkrPNws_s90,basketball,oA9IHkrPNws,90,2026-09-11T18:02:52Z,2026-09-11T17:52:50Z,tracked,270,BOUND,1,RETAINED_OFF_POD,2558,7793,1299,6,720,59.940064957672206,132.7325888888889,OK,False,False,0,gleague-oA9IHkrPNws_s90@1789149772
mn5dZWT3HBQ_s1785,wnba,mn5dZWT3HBQ,1785,2026-09-11T17:48:01Z,2026-09-11T17:42:42Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4991,3901,1301,3,720,30.0,133.26666666666668,SOURCE_NOT_RETAINED,False,False,0,mn5dZWT3HBQ_s1785@1789148881
mn5dZWT3HBQ_s3480,wnba,mn5dZWT3HBQ,3480,2026-09-11T17:48:01Z,2026-09-11T17:42:42Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4481,3901,1301,3,720,30.0,132.53333333333333,SOURCE_NOT_RETAINED,False,False,0,mn5dZWT3HBQ_s3480@1789148881
mn5dZWT3HBQ_s90,wnba,mn5dZWT3HBQ,90,2026-09-11T18:04:13Z,2026-09-11T17:42:42Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,5289,3901,1301,3,720,30.0,133.33333333333334,SOURCE_NOT_RETAINED,False,False,0,mn5dZWT3HBQ_s90@1789149853
