elapsed_min,attempt_id,pool,source_path,original_present,source_bytes
45,a15,retained_g364_val,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,1,68986280
45,a16,retained_g364_val,/workspace/g364_scratch/val/UzaYBYy3GZg_s1378.mp4,1,62843736
45,a17,retained_g364_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,1,65439426
45,a18,retained_g364_val,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,1,71367114
45,a19,retained_g364_val,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,1,73218045
45,a20,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,1,86508102
45,a21,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s2496.mp4,1,87504446
45,a22,retained_g364_val,/workspace/g364_scratch/val/d3_0714DiHo_s217.mp4,1,81000315
45,a23,retained_g364_val,/workspace/g364_scratch/val/i2y-_7B0IUg_s90.mp4,1,76518525
45,a24,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__iDogCL8td5Q_s2282.mp4,0,0
45,a25,retained_g364_val,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,1,60983970
45,a26,retained_g364_val,/workspace/g364_scratch/val/qrWmO434a0k_s1447.mp4,1,72031233
45,a27,retained_g364_val,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,1,65212592
45,a28,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,1,72183029
45,a29,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,1,75846958
45,a30,retained_g364_val,/workspace/g364_scratch/val/wHs1OssEcAw_s2276.mp4,1,100578787
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-31BodlgQOvg_s10474.mp4,1,35903230
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-31BodlgQOvg_s13070.mp4,1,29777423
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-31BodlgQOvg_s2686.mp4,1,71520047
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-31BodlgQOvg_s5282.mp4,1,29034464
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-31BodlgQOvg_s7878.mp4,1,66691227
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-31BodlgQOvg_s90.mp4,1,38456820
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-6sJXOThOUEY_s10205.mp4,1,21627598
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-6sJXOThOUEY_s2113.mp4,1,33928985
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-6sJXOThOUEY_s4136.mp4,1,66282396
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-6sJXOThOUEY_s6159.mp4,1,34337452
45,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-6sJXOThOUEY_s8182.mp4,1,54291016
