draw_j,source_name,source_path,sha256,bytes,codec_name,width,height,duration,r_frame_rate,avg_frame_rate,validated_fps,fps_basis,pts_count,valid_count,missing_count,duplicate_pts_steps,backwards_steps,gap_steps,dropped_frames,median_step_s,first_pts,last_pts,monotonic,frame_reader,packet_reader,packet_count,packet_negative_count,reader_exact_match,reader_max_abs_delta_s,reader_disagreeing_frames,packet_duplicate_pts_steps,packet_gap_steps,packet_dropped_frames,arm_c_admitted_frames,arm_c_packet_admitted_frames,arm_c_reader_admitted_delta,g401_digest_match
10,nba__Ktu6yFS9iMo_s1311.mp4,C:\Users\neelj\g401_receiver\sources\nba__Ktu6yFS9iMo_s1311.mp4,1197fcf502f403dc95fdc58b5e9b51dfac11c409e428c0660cdd07a5903a317f,50470689,h264,1280,720,60000/1001,357435000/5963207,130.057000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,1,2,0.0166889999999853,0.0,130.0299,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7943,150,False,0.016689000,88,26,27,28,5995,5995,0,True
11,nba__Ktu6yFS9iMo_s4974.mp4,C:\Users\neelj\g401_receiver\sources\nba__Ktu6yFS9iMo_s4974.mp4,591657277a6e8f9bfd9756af307fcad23a1c58ca6af1a0648311efebc1741ea4,52661744,h264,1280,720,60000/1001,721440000/12036023,130.049000,59.94005994005994,TWO_READER_AGREEMENT,7794,7794,0,0,0,1,1,0.0166889999999853,0.0,130.0299,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8016,222,False,0.016689000,120,26,27,27,5995,5995,0,True
12,nba__L7o4UCIIqS4_s1373.mp4,C:\Users\neelj\g401_receiver\sources\nba__L7o4UCIIqS4_s1373.mp4,e5303e583b81b2b91d62e352ccd67d548de3d5ea553b8a86a8e46994d99d37b5,57231693,h264,1280,720,60000/1001,355635000/5933177,130.035000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,1,1,0.0166889999999853,0.0,130.013222,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7903,110,True,0.000000000,0,0,1,1,5995,5995,0,True
13,nba__L7o4UCIIqS4_s5222.mp4,C:\Users\neelj\g401_receiver\sources\nba__L7o4UCIIqS4_s5222.mp4,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,46736475,h264,1280,720,60000/1001,708570000/11821309,130.047000,59.94005994005994,TWO_READER_AGREEMENT,7794,7794,0,0,0,1,1,0.0166889999999853,0.0,130.0299,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7873,79,True,0.000000000,0,0,1,1,5995,5995,0,True
14,nba__oL9Uaie2v2A_s2438.mp4,C:\Users\neelj\g401_receiver\sources\nba__oL9Uaie2v2A_s2438.mp4,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,50026054,h264,1280,720,60000/1001,360810000/6019513,130.049000,59.94005994005994,TWO_READER_AGREEMENT,7794,7794,0,0,0,1,1,0.0166889999999853,0.0,130.0299,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8018,224,True,0.000000000,0,0,1,1,5995,5995,0,True
15,ncaa_basketball__6rQ2sV4upfc_s90.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__6rQ2sV4upfc_s90.mp4,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,54041007,h264,1280,720,60000/1001,721800000/12042029,130.037000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,1,1,0.0166889999999853,0.0,130.013211,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8020,227,False,0.016689000,115,26,27,27,5995,5995,0,True
16,ncaa_basketball__6rQ2sV4upfc_s4347.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__6rQ2sV4upfc_s4347.mp4,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,52188825,h264,1280,720,60000/1001,704250000/11749237,130.023000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7825,32,False,0.016689000,102,25,25,25,5995,5995,0,True
17,ncaa_basketball__7blRl4zVfrY_s2356.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__7blRl4zVfrY_s2356.mp4,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,56478743,h264,1280,720,60000/1001,351450000/5863357,130.017000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7810,17,True,0.000000000,0,0,0,0,5995,5995,0,True
18,ncaa_basketball__FyMWTVsJvv8_s90.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__FyMWTVsJvv8_s90.mp4,99dcfaa96a4a419dc4df9c1eb80f5494c8b3fa8bd51be462570eb0b80a673957,58427269,h264,1280,720,60000/1001,726480000/12120107,130.019000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,8072,279,True,0.000000000,0,0,0,0,5995,5995,0,True
19,ncaa_basketball__FyMWTVsJvv8_s4332.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__FyMWTVsJvv8_s4332.mp4,378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80,57043679,h264,1280,720,60000/1001,719640000/12005993,130.024000,59.94005994005994,TWO_READER_AGREEMENT,7793,7793,0,0,0,0,0,0.0166889999999853,0.0,129.996533,True,ffprobe.frame.best_effort_timestamp_time,ffprobe.packet.pts_time,7996,203,True,0.000000000,0,0,0,0,5995,5995,0,True
