tick_key,baseline_loss,candidate_loss,n_train
wnba_5l4:198,0.1,0.1,000180
wnba_5l4:201,000000,000000,000180
wnba_5l4:204,000000,000000,000180
wnba_5l4:207,000000,000000,000180
wnba_5l4:210,000000,0.1,000180
wnba_5l4:213,0.1,0.1,000180
wnba_5l4:216,000000,000000,000180
wnba_5l4:219,0.1,0.1,000180
wnba_5l4:222,0.1,0.1,000180
wnba_5l4:225,0.2,0.1,000180
wnba_5l4:228,0.2,000000,000180
wnba_5l4:231,0.1,000000,000180
wnba_5l4:234,0.2,0.1,000180
wnba_5l4:237,0.1,0.1,000180
wnba_5l4:240,0.2,000000,000180
wnba_5l4:243,0.2,000000,000180
wnba_5l4:246,0.2,000000,000180
wnba_5l4:249,0.1,000000,000180
wnba_5l4:252,0.1,0.1,000180
wnba_5l4:255,000000,000000,000180
wnba_5l4:258,000000,000000,000180
wnba_5l4:261,000000,000000,000180
wnba_5l4:264,0.1,0.1,000180
wnba_5l4:267,000000,000000,000180
wnba_5l4:270,0.1,0.1,000180
wnba_5l4:273,000000,000000,000180
wnba_5l4:276,000000,000000,000180
wnba_5l4:279,000000,000000,000180
wnba_5l4:282,000000,000000,000180
wnba_5l4:285,0.2,0.2,000180
wnba_5l4:288,0.1,0.1,000180
wnba_5l4:291,000000,000000,000180
wnba_5l4:294,0.1,000000,000180
wnba_5l4:297,0.1,0.1,000180
wnba_5l4:300,0.1,0.1,000180
wnba_5l4:303,000000,0.1,000180
wnba_5l4:306,0.1,0.1,000180
wnba_5l4:309,000000,000000,000180
wnba_5l4:312,0.2,0.1,000180
wnba_5l4:315,000000,000000,000180
wnba_5l4:318,000000,000000,000180
wnba_5l4:321,0.1,000000,000180
wnba_5l4:324,000000,000000,000180
wnba_5l4:327,000000,000000,000180
wnba_5l4:330,000000,000000,000180
wnba_5l4:333,000000,000000,000180
wnba_5l4:336,0.1,0.2,000180
wnba_5l4:339,000000,000000,000180
wnba_5l4:342,000000,000000,000180
wnba_5l4:345,0.1,0.1,000180
wnba_5l4:348,0.1,0.1,000180
