section_id,set,file,present,bytes,sha256
GNjSxoeDT-E_s90,FRESH69,harness_verdict.json,0,,ABSENT
HUSo3PzP7lo_s246,FRESH69,tracking_data.csv,1,1176104,6c5eda57b49596a4b4ae7182103960ef442f91817e655ff94d5008a4de6673d4
HUSo3PzP7lo_s246,FRESH69,ball_tracking.csv,1,19293,e5357cb124d0f2e32765bac4e42f421850fcfcbf4d1728376067027a496592f6
HUSo3PzP7lo_s246,FRESH69,evaluated_frame_count.json,1,473,c4a9be0adf867bdf6a392ea7261a840a201ac2037000e5eca5ceddcf1c883e08
HUSo3PzP7lo_s246,FRESH69,harness_verdict.json,1,601,fc2c7f54891dbc7c0400d6a8efdae9c36ef8e9147e5503dfb1768c84ad70e8c1
HUSo3PzP7lo_s402,FRESH69,tracking_data.csv,1,493690,4e066b7d574e9380b95a4d60baf654a8226fb457bee5bfab0b5ebc810a95b70a
HUSo3PzP7lo_s402,FRESH69,ball_tracking.csv,1,18119,d0f8d1dc4f28ea0f7eebc2a899d629b836c73cfbc067dd1712f3c69437df1450
HUSo3PzP7lo_s402,FRESH69,evaluated_frame_count.json,1,473,aa15979f0f5349685dcb84c08dd253cb7afc8ed51355e531eee24d524b77cc9c
HUSo3PzP7lo_s402,FRESH69,harness_verdict.json,1,602,adc7d2617ee09333ca5b9bf4d7f26f1d5a2ba8b1c59913980d85d298ad2309c8
HUSo3PzP7lo_s90,FRESH69,tracking_data.csv,1,479722,7584add91191f34ee0ac9ce019810c66ddd735ab2a2f0ea9f7996611b9bc7d77
HUSo3PzP7lo_s90,FRESH69,ball_tracking.csv,1,34504,988c1ba37e99b5530e1654b0790e8b3ec3e34c3e0ace9b40cc7f2670413710ca
HUSo3PzP7lo_s90,FRESH69,evaluated_frame_count.json,1,471,7beca67ea25ba878a161d6608a8bf494d12a3c56358e8f6ade2b08453357e1e1
HUSo3PzP7lo_s90,FRESH69,harness_verdict.json,1,601,615cd5bfae119185572e3402a1bb9accc645de74a4d84476c7e8f4258895592b
N-eE7ZwTuno_s1308,FRESH69,tracking_data.csv,1,2419455,c5889d02391115a7ed09eb25e75175b37640f79cf1572a1a375241ffcf8f30c9
N-eE7ZwTuno_s1308,FRESH69,ball_tracking.csv,1,32511,4661f32df7c3c9de36306392a64c96f4b824485bdd92b05fbd0bb14c25508918
N-eE7ZwTuno_s1308,FRESH69,evaluated_frame_count.json,1,486,a171aa29773b9bf0593da943522fadac6b5bbb065300b2f51dcbd84cdbd3c026
N-eE7ZwTuno_s1308,FRESH69,harness_verdict.json,1,602,b01c2f07186fce2d274f71af9bf912101bcf5191fbc52d5b0318306b45d8e8e1
N-eE7ZwTuno_s2526,FRESH69,tracking_data.csv,1,1060945,502c49271a815ebc8a0de75572662fbf09e561e3b446d786b093d8a863dc8d44
N-eE7ZwTuno_s2526,FRESH69,ball_tracking.csv,1,36116,628b099cac81cd8049326eb56e002ad66d8f38b8a9adef00f7bc21e0e599ce8e
N-eE7ZwTuno_s2526,FRESH69,evaluated_frame_count.json,1,486,6405b5dfbc62861183fb8a1215a708cf8b21d5143b905d64e83ccbcd1ff667eb
N-eE7ZwTuno_s2526,FRESH69,harness_verdict.json,1,604,f6326ceff7e142ab0a2a8895eecd8d5da73a2fbac35b27c9242eaeced062910e
N-eE7ZwTuno_s3744,FRESH69,tracking_data.csv,1,1739471,cbcf9dac90d7f28e1d66f7694bed2d82a144578eae09c661b7b51d0004fc1aa9
N-eE7ZwTuno_s3744,FRESH69,ball_tracking.csv,1,32224,75d859bba98301305bdaf66e2bb97d860ceb0fab9da1f4193b5c468227d04f37
N-eE7ZwTuno_s3744,FRESH69,evaluated_frame_count.json,1,486,a4c438d42003743fe0f5f2717dd98e093a501eb2c8ecfc5b930c2755c9d09e21
N-eE7ZwTuno_s3744,FRESH69,harness_verdict.json,1,604,800067c4b62c2e76e0712ea6811b98a2cb56c2bc9127a0cf1d31712bc2ae9332
N-eE7ZwTuno_s4962,FRESH69,tracking_data.csv,1,1536619,295474e72bbde76f79f4faa6d410fa4e97662f5f0db9964d3487237e0616d2e3
N-eE7ZwTuno_s4962,FRESH69,ball_tracking.csv,1,31441,5d819abf285e26e65a162def08c870292d480c0959b5a3de349af255ca335983
N-eE7ZwTuno_s4962,FRESH69,evaluated_frame_count.json,1,486,ffb88febeb02e8581549c46d50f1a0f5998db684f4edae89bdf953dc568ac2f5
N-eE7ZwTuno_s4962,FRESH69,harness_verdict.json,1,602,ec6e0789497afa7c51256f00fe3eecb48ff13b2b8ae73627afbf18b8a5ff65c2
N-eE7ZwTuno_s90,FRESH69,tracking_data.csv,1,1568169,c1afb2aa572fec55c08a65a684f0847859467d4df01660506ee3f5184780187c
N-eE7ZwTuno_s90,FRESH69,ball_tracking.csv,1,33411,c068d14e26feca9a1b5ce001c38996838acff89fa255779cb0dcd0aef8b39801
N-eE7ZwTuno_s90,FRESH69,evaluated_frame_count.json,1,484,27292dda009ae20beb0da1f8ee3090081b294d3beb965c8caf075fa0065ccafd
N-eE7ZwTuno_s90,FRESH69,harness_verdict.json,1,602,12ce2d0e41925eb9ca3a275f9eb3814aba3d73443b4ab18cddeccd5ff71fa561
RIrGQJ_jsGQ_s1410,FRESH69,tracking_data.csv,1,2043893,df7792cc0099549820df2e5ccda5ad7466a9eff7ab3e3e3f11af1d162271256c
RIrGQJ_jsGQ_s1410,FRESH69,ball_tracking.csv,1,33462,aa5aa077b23b9ee9aa9eb8bcdefcd6a4a5899e705033558ab2067789f64798e4
RIrGQJ_jsGQ_s1410,FRESH69,evaluated_frame_count.json,0,,ABSENT
