section_id,set,frame,tick_class,sub_reason
1zPhldjbJnU_s1196,SEALED34,561,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,564,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,567,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,570,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,573,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,576,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,579,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,582,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,585,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,588,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,591,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,594,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,597,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,600,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,603,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,606,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,609,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,612,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,615,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,618,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,621,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,624,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,627,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,630,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,633,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,636,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,639,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,642,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,645,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,648,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,651,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,654,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,657,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,660,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,663,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,666,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,669,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,672,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,675,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,678,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,681,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,684,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,687,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,690,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,693,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,696,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,699,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,702,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,705,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,708,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,711,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,714,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,717,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,720,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,723,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,726,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,729,OBSERVED,
1zPhldjbJnU_s1196,SEALED34,732,OBSERVED,
