section_id,set,pin,live_sha256,g370_sha256,tables_from,sidecars_from,pin_check
HUSo3PzP7lo_s402,FRESH69,4e066b7d574e9380b95a4d60baf654a8226fb457bee5bfab0b5ebc810a95b70a,4e066b7d574e9380b95a4d60baf654a8226fb457bee5bfab0b5ebc810a95b70a,4e066b7d574e9380b95a4d60baf654a8226fb457bee5bfab0b5ebc810a95b70a,/workspace/data/tracking/HUSo3PzP7lo_s402,/workspace/data/tracking/HUSo3PzP7lo_s402,MATCH
HUSo3PzP7lo_s90,FRESH69,7584add91191f34ee0ac9ce019810c66ddd735ab2a2f0ea9f7996611b9bc7d77,7584add91191f34ee0ac9ce019810c66ddd735ab2a2f0ea9f7996611b9bc7d77,7584add91191f34ee0ac9ce019810c66ddd735ab2a2f0ea9f7996611b9bc7d77,/workspace/data/tracking/HUSo3PzP7lo_s90,/workspace/data/tracking/HUSo3PzP7lo_s90,MATCH
N-eE7ZwTuno_s1308,FRESH69,c5889d02391115a7ed09eb25e75175b37640f79cf1572a1a375241ffcf8f30c9,c5889d02391115a7ed09eb25e75175b37640f79cf1572a1a375241ffcf8f30c9,c5889d02391115a7ed09eb25e75175b37640f79cf1572a1a375241ffcf8f30c9,/workspace/data/tracking/N-eE7ZwTuno_s1308,/workspace/data/tracking/N-eE7ZwTuno_s1308,MATCH
N-eE7ZwTuno_s2526,FRESH69,502c49271a815ebc8a0de75572662fbf09e561e3b446d786b093d8a863dc8d44,502c49271a815ebc8a0de75572662fbf09e561e3b446d786b093d8a863dc8d44,502c49271a815ebc8a0de75572662fbf09e561e3b446d786b093d8a863dc8d44,/workspace/data/tracking/N-eE7ZwTuno_s2526,/workspace/data/tracking/N-eE7ZwTuno_s2526,MATCH
N-eE7ZwTuno_s3744,FRESH69,cbcf9dac90d7f28e1d66f7694bed2d82a144578eae09c661b7b51d0004fc1aa9,cbcf9dac90d7f28e1d66f7694bed2d82a144578eae09c661b7b51d0004fc1aa9,cbcf9dac90d7f28e1d66f7694bed2d82a144578eae09c661b7b51d0004fc1aa9,/workspace/data/tracking/N-eE7ZwTuno_s3744,/workspace/data/tracking/N-eE7ZwTuno_s3744,MATCH
N-eE7ZwTuno_s4962,FRESH69,295474e72bbde76f79f4faa6d410fa4e97662f5f0db9964d3487237e0616d2e3,295474e72bbde76f79f4faa6d410fa4e97662f5f0db9964d3487237e0616d2e3,295474e72bbde76f79f4faa6d410fa4e97662f5f0db9964d3487237e0616d2e3,/workspace/data/tracking/N-eE7ZwTuno_s4962,/workspace/data/tracking/N-eE7ZwTuno_s4962,MATCH
N-eE7ZwTuno_s90,FRESH69,c1afb2aa572fec55c08a65a684f0847859467d4df01660506ee3f5184780187c,c1afb2aa572fec55c08a65a684f0847859467d4df01660506ee3f5184780187c,c1afb2aa572fec55c08a65a684f0847859467d4df01660506ee3f5184780187c,/workspace/data/tracking/N-eE7ZwTuno_s90,/workspace/data/tracking/N-eE7ZwTuno_s90,MATCH
RIrGQJ_jsGQ_s1410,FRESH69,df7792cc0099549820df2e5ccda5ad7466a9eff7ab3e3e3f11af1d162271256c,b53d26619bd00e2646e7e1d5b0f76234852ba64a770e679bf56de8f3523ab30f,df7792cc0099549820df2e5ccda5ad7466a9eff7ab3e3e3f11af1d162271256c,/workspace/g370_snapshot/RIrGQJ_jsGQ_s1410,NONE,MATCH
RIrGQJ_jsGQ_s2730,FRESH69,2232f7ad54c4c25cba85f01d2b3ed3f060e0bb3ae65bf1681e11bd45fba2b2b8,ca063f2c3c5d91d0c2378ca9b904045eb9df8141bffada7575352f82174bda88,2232f7ad54c4c25cba85f01d2b3ed3f060e0bb3ae65bf1681e11bd45fba2b2b8,/workspace/g370_snapshot/RIrGQJ_jsGQ_s2730,NONE,MATCH
RIrGQJ_jsGQ_s4050,FRESH69,ba5f193240258c0014d6837e8457b9fe28076dc2daa48106f5ca869acb387286,22b1aed32333360e3ef7af6e546400672aea0e7d99075d460d3539f400f34e2e,ba5f193240258c0014d6837e8457b9fe28076dc2daa48106f5ca869acb387286,/workspace/g370_snapshot/RIrGQJ_jsGQ_s4050,NONE,MATCH
RIrGQJ_jsGQ_s5370,FRESH69,0a2c535876870f66697c81ad1b3236a5892d8d1d30586eefcb2def7235d17270,fc46fecae906be24108bd224a8e6d0f24e18d4dbc50271efa531d4661af5e5f3,0a2c535876870f66697c81ad1b3236a5892d8d1d30586eefcb2def7235d17270,/workspace/g370_snapshot/RIrGQJ_jsGQ_s5370,NONE,MATCH
RIrGQJ_jsGQ_s90,FRESH69,5ace180f0dae6e954811e02c8f6f451027f1b3cfe02028cb8b09830f01ab28cc,5ace180f0dae6e954811e02c8f6f451027f1b3cfe02028cb8b09830f01ab28cc,5ace180f0dae6e954811e02c8f6f451027f1b3cfe02028cb8b09830f01ab28cc,/workspace/data/tracking/RIrGQJ_jsGQ_s90,/workspace/data/tracking/RIrGQJ_jsGQ_s90,MATCH
UPco-jzOoEg_s2796,SEALED34,c4028d45bcda5005cabe931e4eab8619081b7bae1feafcc51287aa38896e51f7,c4028d45bcda5005cabe931e4eab8619081b7bae1feafcc51287aa38896e51f7,ABSENT,/workspace/data/tracking/UPco-jzOoEg_s2796,/workspace/data/tracking/UPco-jzOoEg_s2796,MATCH
XCaGht2GmPg_s1416,FRESH69,465b725e1c805aabe3cca05e4765f0afa39ba792e7976db0fcb365578a5e4bfa,80f5bfd95b78648b2193b4dd50171950947500833bbb4f7ca24b208355271aee,465b725e1c805aabe3cca05e4765f0afa39ba792e7976db0fcb365578a5e4bfa,/workspace/g370_snapshot/XCaGht2GmPg_s1416,NONE,MATCH
XCaGht2GmPg_s2742,FRESH69,66f66e0eda0a4205da8775d94f9b8252dc6ff9e3e4d9e5033c21fd77b49d812a,66f66e0eda0a4205da8775d94f9b8252dc6ff9e3e4d9e5033c21fd77b49d812a,66f66e0eda0a4205da8775d94f9b8252dc6ff9e3e4d9e5033c21fd77b49d812a,/workspace/data/tracking/XCaGht2GmPg_s2742,/workspace/data/tracking/XCaGht2GmPg_s2742,MATCH
XCaGht2GmPg_s4068,FRESH69,acf5677c3bf2dfa53ed4b2bf7634ebee0ddf9f6068ffe7b9f5a38daeeb98c560,6fb6a377e9ef02a1fb77f7b2339310efdd88c814470f1103236fadf9495c6569,acf5677c3bf2dfa53ed4b2bf7634ebee0ddf9f6068ffe7b9f5a38daeeb98c560,/workspace/g370_snapshot/XCaGht2GmPg_s4068,NONE,MATCH
XCaGht2GmPg_s5394,FRESH69,e88f02b4db1883a48811591cc4598c36ebd14ed6ae285acab0d226b0553e8d40,fe204001c4252a8adb4c7f492316997fdcfab85f79bb484dcb1965f054915e07,e88f02b4db1883a48811591cc4598c36ebd14ed6ae285acab0d226b0553e8d40,/workspace/g370_snapshot/XCaGht2GmPg_s5394,NONE,MATCH
XCaGht2GmPg_s90,FRESH69,a80523182927b2eea0be802a484ffb541e5b5740ed068973f0c7513f330fb6ec,ba955e39cfcd6977b25c64d9b596e7bb2bfd13ee8119709bb94db9301e52b643,a80523182927b2eea0be802a484ffb541e5b5740ed068973f0c7513f330fb6ec,/workspace/g370_snapshot/XCaGht2GmPg_s90,NONE,MATCH
XzIzQZBrPBY_s244,FRESH69,eedc430cbf774cb9800a8599357dd12601ee22c46d51d3bb27c4fea739e43cb0,eedc430cbf774cb9800a8599357dd12601ee22c46d51d3bb27c4fea739e43cb0,eedc430cbf774cb9800a8599357dd12601ee22c46d51d3bb27c4fea739e43cb0,/workspace/data/tracking/XzIzQZBrPBY_s244,/workspace/data/tracking/XzIzQZBrPBY_s244,MATCH
XzIzQZBrPBY_s398,FRESH69,371703e53f5b4f3127686ef7a9e87e565cc4f852502bba4fb56b8a35d39e9b17,371703e53f5b4f3127686ef7a9e87e565cc4f852502bba4fb56b8a35d39e9b17,371703e53f5b4f3127686ef7a9e87e565cc4f852502bba4fb56b8a35d39e9b17,/workspace/data/tracking/XzIzQZBrPBY_s398,/workspace/data/tracking/XzIzQZBrPBY_s398,MATCH
