game_id,eligible,table_readable,video_id_parsed,run_start_known
atl_ind_2025,0,0,0,1
b00bP6hM95Q_s1384,1,1,1,1
b00bP6hM95Q_s2678,1,1,1,1
b00bP6hM95Q_s3972,1,1,1,1
b00bP6hM95Q_s5266,1,1,1,1
b00bP6hM95Q_s90,1,1,1,1
bleague-oW8psSa2hf4_s1344,1,1,1,1
bleague-oW8psSa2hf4_s2598,1,1,1,1
bleague-oW8psSa2hf4_s3852,1,1,1,1
bleague-oW8psSa2hf4_s5106,1,1,1,1
bleague-oW8psSa2hf4_s6360,1,1,1,1
bleague-oW8psSa2hf4_s90,1,1,1,1
bos_mia_2025,0,0,0,1
bos_mia_playoffs,0,1,0,1
bt3NwN7k8bY_s1701,0,0,1,1
bt3NwN7k8bY_s3312,0,0,1,1
bt3NwN7k8bY_s90,1,1,1,1
bzahHiNvCUE_s430,1,1,1,1
bzahHiNvCUE_s60,1,1,1,1
bzahHiNvCUE_s800,1,1,1,1
cavs_broadcast_2025,0,1,0,1
cavs_vs_celtics_2025,0,1,0,1
cba-8R8t7v2N-zQ_s1452,1,1,1,1
cba-8R8t7v2N-zQ_s2814,0,0,1,1
cba-8R8t7v2N-zQ_s4176,1,1,1,1
cba-8R8t7v2N-zQ_s5538,1,1,1,1
cba-8R8t7v2N-zQ_s6900,1,1,1,1
cba-8R8t7v2N-zQ_s90,1,1,1,1
cba-FaMCJR6tFm0_s1333,1,1,1,1
cba-FaMCJR6tFm0_s2576,1,1,1,1
cba-FaMCJR6tFm0_s3819,1,1,1,1
cba-FaMCJR6tFm0_s5062,1,1,1,1
cba-FaMCJR6tFm0_s6305,1,1,1,1
cba-FaMCJR6tFm0_s90,1,1,1,1
cba-ZVdR8Q9AE0Q_s1437,1,1,1,1
cba-ZVdR8Q9AE0Q_s2784,1,1,1,1
cba-ZVdR8Q9AE0Q_s4131,1,1,1,1
cba-ZVdR8Q9AE0Q_s5478,1,1,1,1
cba-ZVdR8Q9AE0Q_s6825,1,1,1,1
cba-ZVdR8Q9AE0Q_s90,1,1,1,1
den_phx_2025,0,1,0,1
eaKqXq9dfig_s244,1,1,1,1
eaKqXq9dfig_s428,1,1,1,1
eaKqXq9dfig_s60,1,1,1,1
eurocup-DyCvYr221F8_s1333,1,1,1,1
eurocup-DyCvYr221F8_s2576,1,1,1,1
eurocup-DyCvYr221F8_s3819,1,1,1,1
eurocup-DyCvYr221F8_s5062,1,1,1,1
eurocup-DyCvYr221F8_s6305,1,1,1,1
eurocup-DyCvYr221F8_s90,1,1,1,1
eurocup-RuYvEezE47Y_s1423,1,1,1,1
eurocup-RuYvEezE47Y_s2756,1,1,1,1
eurocup-RuYvEezE47Y_s4089,1,1,1,1
eurocup-RuYvEezE47Y_s5422,1,1,1,1
eurocup-RuYvEezE47Y_s6755,1,1,1,1
