game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss
0022500035,171,MIL,41223,41309,87,2.9,595.1,539.4,12.14,5,0,,0,transition,,,7,3,0,9,488,0,187.8,21.2,3pt_arc,,0
0022500035,172,CHI,41310,42440,1131,37.74,177.3,822.8,6.79,15,0,,0,fast_break,,,14,7,2,55,190,0,549.5,0.0,backcourt,,0
0022500035,173,MIL,42441,42506,66,2.2,,,-82.71,0,0,,0,transition,,,1,0,0,7,443,0,187.1,21.9,3pt_arc,,0
0022500035,174,CHI,42507,43340,833,27.77,183.9,1105.2,48.53,26,0,,0,fast_break,,,4,0,0,6,336,0,813.6,21.9,backcourt,,0
0022500035,179,MIL,43341,44168,827,27.57,448.0,,,0,0,,0,cut,,,0,1,0,25,631,0,,14.6,3pt_arc,,0
0022500035,270,CHI,44334,44642,309,10.31,44.1,1116.7,17.27,3,0,,0,transition,,,1,0,0,0,878,1,,13.8,3pt_arc,,0
0022500035,271,MIL,44643,45335,692,23.07,,1163.3,-13.49,2,0,,0,cut,,,1,1,1,7,259,1,293.7,16.5,3pt_arc,,0
0022500035,290,CHI,45378,45917,539,17.97,,245.8,-3.16,0,0,,0,cut,,,0,1,0,22,654,1,36.6,14.1,3pt_arc,,0
0022500035,297,MIL,45918,46031,114,3.8,530.8,769.3,,0,0,,0,transition,,,2,0,0,15,496,0,64.0,20.3,corner_3,,0
0022500035,298,CHI,46032,46574,542,18.07,112.3,776.2,,4,0,,0,transition,,,3,5,0,9,659,0,340.1,17.3,backcourt,,0
0022500035,303,MIL,46575,46841,266,8.87,544.6,756.8,5.71,14,0,,0,transition,,,3,1,0,8,260,0,206.0,21.1,mid_range,,0
0022500035,306,CHI,46842,46943,102,3.4,322.1,643.7,9.78,3,0,,0,transition,,,2,0,0,10,509,0,91.0,20.7,backcourt,,0
0022500035,307,MIL,46944,47084,141,4.7,901.9,920.9,-5.24,3,0,,0,fast_break,,,4,2,0,8,513,0,233.4,19.4,3pt_arc,,0
0022500035,308,CHI,47085,47657,573,19.12,169.9,882.8,15.83,8,0,,0,fast_break,,,14,0,0,15,891,4,392.9,5.0,backcourt,,0
0022500035,309,MIL,47658,47723,66,2.2,,702.6,-9.73,0,0,,0,cut,,,2,0,0,2,312,0,25.4,21.9,3pt_arc,,0
0022500035,310,CHI,47724,47849,126,4.2,178.9,530.1,,0,0,,0,fast_break,,,0,0,0,3,721,0,665.4,19.9,mid_range,,0
0022500035,311,MIL,47850,48566,716,23.87,284.1,986.9,-1.91,14,0,,0,fast_break,,,1,0,0,21,722,2,85.2,17.5,3pt_arc,,0
0022500035,316,CHI,48567,48773,207,6.91,,,,0,0,,0,fast_break,,,0,0,0,0,193,0,69.0,17.2,corner_3,,0
0022500035,317,MIL,48774,48857,84,2.8,490.3,967.6,-8.64,0,0,,0,fast_break,,,0,1,0,10,752,0,142.4,21.3,corner_3,,0
0022500035,318,CHI,48858,49253,395,13.17,153.0,882.2,7.09,5,0,,0,fast_break,,,0,1,1,31,596,0,737.6,15.1,backcourt,,0
0022500035,321,MIL,49254,49316,63,2.1,391.5,1241.2,,0,0,,0,transition,,,0,0,0,7,552,0,131.2,22.0,3pt_arc,,0
0022500035,322,CHI,49317,49388,72,2.4,133.3,1171.1,,0,0,,0,fast_break,,,0,0,0,4,158,0,31.1,21.7,backcourt,,0
0022500035,323,MIL,49389,49661,272,9.07,671.2,739.4,-29.12,3,0,,0,transition,,,0,0,0,3,477,0,111.1,19.9,backcourt,,0
0022500035,326,CHI,49662,49781,120,4.0,177.3,601.9,-5.7,0,0,,0,off_screen,,,0,1,0,4,522,0,235.3,20.1,backcourt,,0
0022500035,327,MIL,49782,49850,69,2.3,671.6,680.0,-1.71,2,0,,0,transition,,,0,0,0,4,492,0,527.0,21.8,3pt_arc,,0
0022500035,328,CHI,49851,49991,141,4.7,259.1,889.0,,0,0,,0,fast_break,,,0,2,0,15,475,0,46.7,19.4,backcourt,,0
0022500035,331,MIL,50070,50630,560,18.67,488.0,1047.8,,2,0,,0,fast_break,,,2,0,0,13,475,0,181.8,21.3,3pt_arc,,0
0022500035,334,CHI,50631,50867,236,7.87,337.8,829.1,,0,0,,0,fast_break,,,0,1,0,10,152,0,196.9,21.7,backcourt,,0
0022500035,337,MIL,50868,50972,105,3.5,1165.4,663.6,-21.75,0,0,,0,transition,,,5,1,0,4,411,0,4.0,20.6,backcourt,,0
0022500035,338,CHI,50973,51236,264,8.81,190.1,901.5,8.47,4,0,,0,transition,,,7,1,0,19,52,0,164.8,15.3,backcourt,,0
0022500035,339,MIL,51237,51332,96,3.2,730.8,729.6,34.38,1,0,,0,transition,,,2,0,0,7,247,0,80.4,20.9,backcourt,,0
0022500035,342,CHI,51384,51689,306,10.21,157.7,718.2,2.61,8,0,,0,fast_break,,,1,0,0,6,824,0,102.6,13.9,3pt_arc,,0
0022500035,343,MIL,51690,51824,135,4.5,454.3,476.5,3.89,5,0,,0,transition,,,0,1,0,8,227,0,722.9,19.6,3pt_arc,,0
0022500035,344,CHI,51825,51962,138,4.6,206.4,1053.5,5.01,2,0,,0,fast_break,,,1,1,0,5,603,1,638.8,19.5,backcourt,,0
0022500035,345,MIL,51963,52124,162,5.41,565.5,857.7,-1.5,3,0,,0,hand_off,,,0,1,0,3,509,1,41.5,18.7,3pt_arc,,0
0022500035,346,CHI,52125,52187,63,2.1,316.2,848.2,,0,0,,0,transition,,,0,0,0,4,227,0,42.9,22.0,backcourt,,0
0022500035,347,MIL,52188,52322,135,4.5,571.5,856.5,8.5,2,0,,0,transition,,,0,2,0,7,479,0,701.4,19.6,corner_3,,0
0022500035,348,CHI,52323,52415,93,3.1,203.5,523.3,,0,0,,0,fast_break,,,0,1,0,7,233,0,34.7,21.0,3pt_arc,,0
0022500035,349,MIL,52416,52679,264,8.81,378.5,740.4,6.31,9,0,,0,cut,,,8,3,0,24,779,0,388.7,15.3,3pt_arc,,0
0022500035,352,CHI,52776,53084,309,10.31,247.6,1222.6,,0,0,,0,hand_off,,,2,3,0,24,249,0,84.2,13.8,3pt_arc,,0
0022500035,353,MIL,53085,53312,227,7.57,457.0,898.3,,0,0,,0,cut,,,0,0,0,7,497,1,,20.3,backcourt,,0
0022500035,356,CHI,53313,53450,138,4.6,350.2,1143.9,14.69,3,0,,0,fast_break,,,0,0,0,4,442,1,467.6,19.5,backcourt,,0
0022500035,357,MIL,53451,53654,203,6.77,461.6,895.5,-0.48,5,0,,0,off_screen,,,0,0,0,0,209,0,86.8,21.6,3pt_arc,,0
0022500035,360,CHI,53655,53720,66,2.2,272.8,694.6,-0.03,1,0,,0,transition,,,0,2,0,2,665,0,82.4,21.9,3pt_arc,,0
0022500035,361,MIL,53721,54053,332,11.07,677.7,940.6,67.09,8,0,,0,hand_off,,,0,1,0,16,483,0,604.4,21.7,corner_3,,0
0022500035,366,CHI,54054,54584,530,17.67,216.6,924.3,,12,0,,0,fast_break,,,0,0,0,9,241,0,110.3,22.1,backcourt,,0
0022500035,371,MIL,54624,54833,210,7.01,538.1,876.2,-7.05,1,0,,0,transition,,,2,1,0,9,517,0,146.0,17.1,3pt_arc,,0
0022500035,372,CHI,54834,55091,257,8.57,188.4,909.1,22.13,1,0,,0,transition,,,1,0,0,10,722,1,78.1,20.3,backcourt,,0
0022500035,375,MIL,55092,55334,243,8.11,445.5,1454.3,-6.79,1,0,,0,cut,,,6,0,0,7,788,1,205.2,16.0,3pt_arc,,0
0022500035,376,CHI,55335,55415,81,2.7,,,,0,0,,0,cut,,,0,0,0,0,401,0,,21.4,backcourt,,0
0022500035,377,MIL,55416,55526,111,3.7,315.3,1057.6,-2.7,1,0,,0,transition,,,3,0,0,0,828,2,144.2,20.4,corner_3,,0
0022500035,378,CHI,55527,55607,81,2.7,,,,0,0,,0,off_screen,,,2,0,0,0,3,0,,21.4,backcourt,,0
0022500035,379,MIL,55608,56189,581,19.37,,1400.8,,0,0,,0,off_screen,,,0,0,0,0,96,0,,21.3,corner_3,,0
0022500035,384,CHI,56262,56321,60,2.0,138.7,1092.9,,0,1,56280,0,transition,,,0,0,0,0,897,0,,22.1,3pt_arc,,0
0022500035,385,MIL,56322,56771,449,14.97,835.1,759.6,,4,0,,0,pick_and_roll,,,0,0,0,0,418,0,590.5,20.9,corner_3,,0
0022500035,390,CHI,56844,57191,347,11.57,163.9,1452.9,16.08,1,0,,0,fast_break,,,0,0,0,0,107,0,106.0,16.3,backcourt,,0
0022500035,393,MIL,57192,57698,507,16.92,597.6,1303.1,-33.93,0,0,,0,off_screen,,,8,6,0,29,703,1,366.5,7.2,3pt_arc,,0
0022500035,394,CHI,57699,58010,312,10.41,101.7,478.7,-61.36,0,0,,0,transition,,,0,3,0,9,668,0,97.0,13.7,corner_3,,0
0022500035,395,MIL,58011,58547,537,17.92,695.8,1073.2,-14.65,2,0,,0,hand_off,,,2,6,0,44,823,1,218.0,6.2,corner_3,,0
0022500035,396,CHI,58548,58613,66,2.2,,1286.7,15.08,4,0,,0,fast_break,,,3,0,0,0,316,0,200.9,21.9,backcourt,,0
0022500035,397,MIL,58614,58970,357,11.91,,,-7.72,3,0,,0,cut,,,2,0,0,3,192,1,203.3,12.2,mid_range,,0
0022500035,398,CHI,58971,59312,342,11.41,83.8,1068.1,-1.5,8,0,,0,fast_break,,,4,0,0,0,192,0,343.2,12.7,backcourt,,0
0022500035,399,MIL,59313,59696,384,12.81,807.6,744.8,1.61,2,0,,0,transition,,,5,0,0,9,227,0,355.9,11.3,mid_range,,0
0022500035,400,CHI,59697,59915,219,7.31,,,57.33,2,0,,0,cut,,,0,1,0,1,137,1,37.0,16.8,mid_range,,0
0022500035,401,MIL,59916,60305,389,12.97,583.5,863.9,1.13,5,0,,0,transition,,,1,2,0,17,826,2,518.5,13.9,corner_3,,0
0022500035,404,CHI,60306,60380,75,2.5,151.4,804.6,,0,0,,0,fast_break,,,0,0,0,0,358,1,304.3,21.6,mid_range,,0
0022500035,405,MIL,60381,60464,84,2.8,695.0,1209.2,,0,0,,0,transition,,,0,1,0,2,675,1,159.9,21.3,3pt_arc,,0
0022500035,406,CHI,60465,60755,291,9.71,459.4,1005.1,14.5,6,0,,0,transition,,,0,0,0,25,473,1,132.5,14.4,backcourt,,0
0022500035,407,MIL,60756,61223,467,15.57,444.6,1406.1,,0,0,,0,fast_break,,,0,0,0,8,411,1,451.7,20.2,3pt_arc,,0
0022500035,412,CHI,61224,62363,1139,37.97,,,1.99,14,0,,0,fast_break,,,4,0,0,2,600,1,558.3,21.0,3pt_arc,,0
0022500035,417,MIL,62364,62483,120,4.0,,,,0,0,,0,fast_break,,,3,0,0,1,344,0,180.8,20.1,backcourt,,0
