frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
18,0.3,4,green,1025,1059,0.0,0.0,0.0,mid_range,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,670,184,748,316,,,0.0,895.3,0.0,0,0,19,0,1.0
18,0.3,5,green,816,1235,0.0,-7.21,0.0,3pt_arc,0,,,273.2,none,423788.0,751.6,1157.8,2,0,,0.0,145,128,203,236,,,0.0,763.8,0.0,0,0,19,0,1.0
18,0.3,6,green,1077,1335,0.0,-2.83,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,474,187,542,330,,,0.0,1040.8,0.0,0,0,19,0,1.0
18,0.3,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,404,551,484,670,,,0.0,452.5,0.0,0,0,19,0,1.0
18,0.3,9,green,406,1442,0.0,0.0,0.0,3pt_arc,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,337,111,393,167,,,0.0,638.7,0.0,0,0,19,0,1.0
18,0.3,10,green,404,963,0.0,0.0,0.0,paint,0,,,265.1,none,423788.0,751.6,1157.8,2,0,,0.0,620,597,698,675,,,0.0,272.9,0.0,0,0,19,0,1.0
19,0.317,1,green,1053,1546,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,237,231,294,384,,,0.0,1134.2,0.0,0,0,20,0,1.0
19,0.317,2,green,944,957,0.0,0.0,0.0,3pt_arc,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,729,190,807,331,,,0.0,797.3,0.0,0,0,20,0,1.0
19,0.317,3,green,629,655,0.0,-3.16,0.0,3pt_arc,0,,,381.4,none,423788.0,751.6,1157.8,2,0,,0.0,866,232,926,380,,,0.0,516.3,0.0,0,0,20,0,1.0
19,0.317,4,green,1025,1059,0.0,0.0,0.0,mid_range,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,670,184,749,317,,,0.0,895.3,0.0,0,0,20,0,1.0
19,0.317,5,green,816,1235,0.0,0.0,0.0,3pt_arc,0,,,273.2,none,423788.0,751.6,1157.8,2,0,,0.0,633,269,735,417,,,0.0,763.8,0.0,0,0,20,0,1.0
19,0.317,6,green,1077,1335,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,473,187,543,330,,,0.0,1040.8,0.0,0,0,20,0,1.0
19,0.317,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,401,551,483,672,,,0.0,452.5,0.0,0,0,20,0,1.0
19,0.317,9,green,406,1442,0.0,0.0,0.0,3pt_arc,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,-15,572,49,674,,,0.0,638.7,0.0,0,0,20,0,1.0
19,0.317,10,green,404,963,0.0,0.0,0.0,paint,0,,,265.1,none,423788.0,751.6,1157.8,2,0,,0.0,620,598,699,675,,,0.0,272.9,0.0,0,0,20,0,1.0
20,0.334,1,green,1053,1546,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,236,232,293,384,,,0.0,1134.2,0.0,0,0,21,0,1.0
20,0.334,2,green,944,957,0.0,0.0,0.0,3pt_arc,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,728,190,807,331,,,0.0,797.3,0.0,0,0,21,0,1.0
20,0.334,3,green,629,655,0.0,0.0,0.0,3pt_arc,0,,,381.4,none,423788.0,751.6,1157.8,2,0,,0.0,866,232,927,380,,,0.0,516.3,0.0,0,0,21,0,1.0
20,0.334,4,green,1025,1059,0.0,0.0,0.0,mid_range,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,670,183,749,317,,,0.0,895.3,0.0,0,0,21,0,1.0
20,0.334,5,green,816,1235,0.0,0.0,0.0,3pt_arc,0,,,273.2,none,423788.0,751.6,1157.8,2,0,,0.0,331,502,403,617,,,0.0,763.8,0.0,0,0,21,0,1.0
20,0.334,6,green,1077,1335,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,472,187,543,331,,,0.0,1040.8,0.0,0,0,21,0,1.0
20,0.334,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,401,552,484,673,,,0.0,452.5,0.0,0,0,21,0,1.0
20,0.334,9,green,406,1442,0.0,0.0,0.0,3pt_arc,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,-15,574,48,674,,,0.0,638.7,0.0,0,0,21,0,1.0
20,0.334,10,green,404,963,0.0,0.0,0.0,paint,0,,,265.1,none,423788.0,751.6,1157.8,2,0,,0.0,620,599,699,675,,,0.0,272.9,0.0,0,0,21,0,1.0
21,0.35,1,green,1053,1546,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,235,232,292,384,,,0.0,1134.2,0.0,0,0,22,0,1.0
21,0.35,2,green,944,957,0.0,0.0,0.0,3pt_arc,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,729,190,808,332,,,0.0,797.3,0.0,0,0,22,0,1.0
21,0.35,3,green,629,655,0.0,0.0,0.0,3pt_arc,0,,,381.4,none,423788.0,751.6,1157.8,2,0,,0.0,867,232,928,381,,,0.0,516.3,0.0,0,0,22,0,1.0
21,0.35,4,green,1025,1059,0.0,0.0,0.0,mid_range,0,,,130.2,none,423788.0,751.6,1157.8,2,0,,0.0,671,183,749,317,,,0.0,895.3,0.0,0,0,22,0,1.0
21,0.35,5,green,816,1235,0.0,0.0,0.0,3pt_arc,0,,,273.2,none,423788.0,751.6,1157.8,2,0,,0.0,329,504,403,618,,,0.0,763.8,0.0,0,0,22,0,1.0
21,0.35,6,green,1077,1335,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,471,186,542,331,,,0.0,1040.8,0.0,0,0,22,0,1.0
21,0.35,8,green,410,1228,0.0,0.0,0.0,paint,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,401,552,484,672,,,0.0,452.5,0.0,0,0,22,0,1.0
21,0.35,9,green,406,1442,0.0,0.0,0.0,3pt_arc,0,,,214.0,none,423788.0,751.6,1157.8,2,0,,0.0,-15,566,45,674,,,0.0,638.7,0.0,0,0,22,0,1.0
21,0.35,10,green,404,963,0.0,0.0,0.0,paint,0,,,265.1,none,423788.0,751.6,1157.8,2,0,,0.0,620,600,700,675,,,0.0,272.9,0.0,0,0,22,0,1.0
22,0.367,1,green,1053,1546,0.0,0.0,0.0,mid_range,0,,,212.4,none,423788.0,751.6,1157.8,2,0,,0.0,235,232,291,385,,,0.0,1134.2,0.0,0,0,23,0,1.0
