game_id,shot_id,frame,timestamp,player_id,player_name,team,x_position,y_position,x_norm,y_norm,court_zone,defender_distance,defender_dist_norm,team_spacing,possession_id,possession_duration,made,shot_clock,contest_arm_angle,closeout_speed,fatigue_proxy,dribble_count,ball_shot_arc_angle,catch_and_shoot,shot_distance,second_chance,shot_creation,shots_pbp_coverage,team_abbrev,pbp_game_clock
22400430,136,96111,1601.85,7,LaVine,MIL,718,102,0.609,0.1182,mid_range,,0.3081,25.1,18022,30,0.0,5.0,0.3086675239961911,,339877.3,0,-87.28741618633293,1,,0,catch_and_shoot,0.3798,CHI,1605.0
22400430,139,96759,1612.65,8,,MIL,578,222,0.4902,0.2572,backcourt,,0.2109,0.0,18023,42,,5.0,0.0144304573344259,,345167.9,0,88.84517520430892,1,,0,catch_and_shoot,0.3798,CHI,
22400430,142,97413,1623.55,4,,CHI,1005,203,0.8524,0.2352,3pt_arc,,0.2181,0.0,18027,24,,5.0,0.0,,378383.8,0,88.55558876816347,1,,0,catch_and_shoot,0.3798,MIL,
22400430,145,98076,1634.6,3,Lopez,CHI,243,150,0.2061,0.1738,3pt_arc,,0.1471,0.0,18027,245,0.0,5.0,0.1233066033222988,,389212.6,0,81.95152140222412,1,,1,catch_and_shoot,0.3798,MIL,1633.0
22400430,147,98577,1642.95,2,Portis,CHI,30,390,0.0254,0.4519,paint,,0.4883,227.7,18028,18,0.0,5.0,0.5448827801965415,,434848.1,1,-83.82621716156433,0,47.5,0,post_up,0.3798,MIL,1642.0
22400430,149,107526,1792.1,9,Ball,MIL,589,441,0.4996,0.511,backcourt,,0.202,223.4,20641,0,0.0,2.0,0.1701244783159151,,378705.1,0,20.1848802930126,1,,0,catch_and_shoot,0.3798,CHI,1791.0
22400430,152,108195,1803.25,4,Portis,CHI,68,461,0.0577,0.5342,paint,,0.2275,924.8,20644,221,1.0,2.0,0.0,,408700.7,0,88.14850176455683,1,33.1,1,catch_and_shoot,0.3798,MIL,1803.0
22400430,154,108714,1811.9,2,,CHI,64,190,0.0543,0.2202,3pt_arc,,0.0584,0.0,20644,394,,2.0,0.0159638551139497,,459989.3,0,-86.32266700006686,1,,1,catch_and_shoot,0.3798,MIL,
22400430,157,109362,1822.7,7,Portis,MIL,747,402,0.6336,0.4658,mid_range,,0.3645,0.0,20645,152,0.0,2.0,0.0,,383336.3,0,-83.85898638257778,1,,1,catch_and_shoot,0.3798,MIL,1821.0
22400430,160,110025,1833.75,1,,CHI,587,572,0.4979,0.6628,backcourt,,0.6623,0.0,20647,134,,2.0,0.1201991437792513,,470568.0,0,82.90804101508117,1,,1,catch_and_shoot,0.3798,MIL,
22400430,163,110703,1845.05,1,Ball,CHI,3,172,0.0025,0.1993,3pt_arc,,0.2087,0.0,20648,144,1.0,2.0,0.0001804402701017,,475029.9,0,82.46067080471923,1,,1,catch_and_shoot,0.3798,CHI,1846.0
22400430,165,111186,1853.1,7,,MIL,741,499,0.6285,0.5782,mid_range,,0.1895,0.0,20650,53,,2.0,0.5446685778504932,,393840.5,0,89.19390125197145,1,,0,catch_and_shoot,0.3798,CHI,
22400430,168,111858,1864.3,8,Prince,MIL,1103,132,0.9355,0.153,3pt_arc,,0.0911,0.0,20651,45,1.0,2.0,0.0,,384338.0,0,87.46944587421162,1,,0,catch_and_shoot,0.3798,MIL,1867.0
22400430,171,112506,1875.1,4,Vučević,CHI,25,129,0.0212,0.1495,3pt_arc,,0.7133,0.0,20652,84,0.0,2.0,0.0,,426263.9,0,85.90167558614833,1,,1,catch_and_shoot,0.3798,CHI,1879.0
