frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid
3888,64.865,2,green,3073,1701,0.9028,0.9942,0.0,0.0,0.0,corner_3,0,106.6,,20.2,none,0.0,0.0,0.0,0.0,0,0,,0.0,645,-5,1041,524,3062,1807,2.24,864.0,0.0,0,84.86,49.71,25.01,0,1,34,1.0,hand_off,0,0.0,16.1922,,,,,0.0,0.1,half_court,,,0.0,0,unknown,-10.598633755110676,582.6966360662739,0.16666666666666666,,,,0,1,0
3894,64.965,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,219.3,,69.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,596,-13,1086,512,3061,1809,2.24,753.2,0.0,0,85.96,46.64,21.82,0,1,35,1.0,hand_off,0,0.0,16.092100000000002,,,,,0.0,0.2,half_court,,,0.0,0,unknown,-6.928011187667058,582.6929520693376,0.16666666666666666,,,,0,4,0
3900,65.065,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,219.3,,65.5,none,0.0,0.0,0.0,0.0,0,0,,0.0,596.0,-13.0,1086.0,512.0,3061,1809,0.0,753.2,0.0,0,85.96,46.64,21.82,0,1,36,0.933,hand_off,0,0.0,15.991999999999999,,,,,0.0,0.3,half_court,,,0.0,0,unknown,-2.801443841700666,582.7674667815853,0.0,,,,0,4,0
3906,65.165,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,217.1,,55.7,none,0.0,0.0,0.0,0.0,0,0,,0.0,596.0,-13.0,1086.0,512.0,3062,1807,2.24,753.2,0.0,0,85.96,46.64,21.82,0,1,37,0.867,hand_off,0,0.0,15.8919,,,,,0.0,0.4,half_court,,,0.0,0,unknown,-2.321855378346707,582.6598354341735,0.16666666666666666,,,,0,4,0
3912,65.265,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,219.3,,32.3,none,0.0,0.0,0.0,0.0,0,0,,0.0,596.0,-13.0,1086.0,512.0,3061,1809,2.24,753.2,0.0,0,85.96,46.64,21.82,0,1,38,0.8,hand_off,0,0.0,15.7918,,,,,0.0,0.5,half_court,,,0.0,0,unknown,6.0999411599031665,582.5342829670328,0.16666666666666666,,,,0,4,0
3918,65.365,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,219.3,,96.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,596.0,-13.0,1086.0,512.0,3061,1809,0.0,753.2,0.0,0,85.96,46.64,21.82,0,1,39,0.733,hand_off,0,0.0,15.691699999999999,,,,,0.0,0.6,half_court,,,0.0,0,unknown,5.279404476976449,582.5321428204152,0.0,,,,0,4,0
3924,65.465,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,217.1,,96.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,596.0,-13.0,1086.0,512.0,3062,1807,2.24,753.2,0.0,0,85.96,46.64,21.82,0,1,40,0.667,hand_off,0,0.0,15.5916,,,,,0.0,0.7,half_court,,,0.0,0,unknown,-1.943680958839601,582.6452488687787,0.23570226039551587,,,,0,4,0
3930,65.566,4,green,3331,1589,0.9786,0.9287,45.18,45.18,340.2,corner_3,0,348.3,,218.1,none,0.0,0.0,0.0,0.0,0,0,,0.0,682,4,1293,667,3061,1809,2.24,737.9,10.62,0,91.98,46.43,21.68,0,1,41,1.0,hand_off,0,0.0,15.4915,,,,,0.0,0.8,half_court,,,0.0,0,unknown,-4.330584303490619,582.7019964043316,0.23570226039551587,,7,,0,6,0
3930,65.566,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,219.3,,96.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,596.0,-13.0,1086.0,512.0,3061,1809,2.24,753.2,0.0,0,85.96,46.64,21.82,0,1,41,0.6,hand_off,0,0.0,15.4915,,,,,0.0,0.8,half_court,,,0.0,0,unknown,-4.330584303490619,582.7019964043316,0.23570226039551587,,,,0,6,0
3936,65.666,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,217.1,,96.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,596.0,-13.0,1086.0,512.0,3062,1807,2.24,753.2,0.0,0,85.96,46.64,21.82,0,1,42,0.533,hand_off,0,0.0,15.391399999999999,,,,,0.0,0.9,half_court,,,0.0,0,unknown,-3.0775646008962183,582.6922040536862,0.16666666666666666,,,,0,4,0
3942,65.766,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,0,219.3,,96.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,596.0,-13.0,1086.0,512.0,3061,1809,2.24,753.2,0.0,0,85.96,46.64,21.82,0,1,43,0.467,hand_off,0,0.0,15.2913,,,,,0.0,1.0,half_court,,,0.0,0,unknown,-4.300202029938787,582.692204053686,0.16666666666666666,,,,0,4,0
3948,65.866,3,green,3078,1686,0.9042,0.9854,3.22,2.85,158.7,corner_3,1,87.0,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,339.0,131.0,1076.0,570.0,3078,1773,39.81,848.3,-1.75,0,85.0,49.27,24.56,0,1,44,0.6,hand_off,0,0.0,15.1912,,,,,0.0,0.0,drive,,,0.0,0,unknown,-55.14393151850788,584.3508308584862,5.918426968188235,,,,0,2,0
3954,65.966,4,green,3340,1596,0.9812,0.9328,1.9,-43.28,37.9,corner_3,0,283.8,,277.0,none,0.0,0.0,0.0,0.0,0,0,,0.0,727.3853759765625,20.975433349609375,1346.3853759765625,675.3504333496094,3092,1734,41.44,745.9,-1.34,0,92.23,46.64,21.92,0,1,45,0.733,fast_break,0,0.0,15.091099999999999,,,,,0.0,0.1,fast_break,,,0.0,0,unknown,-74.1103182743807,586.6038881660814,2.838231060987734,,7,,0,7,0
3954,65.966,3,green,3078,1686,0.9042,0.9854,0.0,-3.22,0.0,corner_3,1,50.0,,277.0,dribble,0.0,0.0,0.0,0.0,0,0,,0.0,339.0,131.0,1076.0,570.0,3092,1734,41.44,848.3,0.0,0,85.0,49.27,24.56,0,1,45,0.533,fast_break,0,0.0,15.091099999999999,,,,,0.0,0.1,fast_break,,,0.0,0,unknown,-74.1103182743807,586.6038881660814,2.838231060987734,,,,0,7,0
3960,66.066,4,green,3378,1540,0.9924,0.9001,11.28,9.38,304.2,corner_3,0,271.5,,250.3,none,0.0,0.0,0.0,0.0,0,0,,0.0,739.7569580078125,24.14764404296875,1358.7569580078125,678.5226440429688,3124,1636,103.09,696.2,8.02,0,93.28,45.0,20.51,0,1,46,0.667,fast_break,0,67.7,14.991,,,,,0.0,0.2,fast_break,,,0.0,0,unknown,-81.58637301525016,590.1724616295344,8.252945602093298,,7,,0,7,0
3960,66.066,3,green,3128,1553,0.9189,0.9077,23.68,23.68,290.6,corner_3,1,83.1,,250.3,none,0.0,0.0,0.0,0.0,0,0,,0.0,339.0,131.0,1076.0,570.0,3124,1636,103.09,708.2,23.28,1,86.38,45.38,20.52,0,1,46,0.467,fast_break,0,67.7,14.991,,,,,0.0,0.2,fast_break,,,0.0,0,unknown,-81.58637301525016,590.1724616295344,8.252945602093298,,5,,0,7,0
3978,66.366,2,green,3074,1567,0.9031,0.9158,22.33,22.33,270.4,corner_3,0,117.9,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,745,465,837,589,3104,1681,78.92,733.1,21.71,0,84.89,45.79,21.15,0,1,49,1.0,hand_off,0,0.0,14.6907,,,,,0.0,0.2,half_court,,,0.0,0,unknown,-66.26531024757892,585.8182979082035,6.066758241067099,,,,0,1,0
3984,66.466,1,green,3340,1669,0.9812,0.9755,39.74,39.74,17.8,corner_3,1,229.3,,305.3,none,0.0,0.0,0.0,0.0,0,0,,0.0,652,-11,1293,654,3111,1657,25.0,818.4,-16.22,0,92.23,48.77,24.03,0,1,50,1.0,fast_break,0,0.0,14.5906,,,,,0.0,0.0,fast_break,,,0.0,0,unknown,67.41337243262092,596.8457170813525,3.2360813064912666,,,,0,9,0
3984,66.466,5,green,3073,1521,0.9028,0.889,26.64,26.64,261.4,corner_3,0,141.2,,305.3,none,0.0,0.0,0.0,0.0,0,0,,0.0,763,453,854,590,3111,1657,25.0,688.8,24.41,0,84.86,44.45,19.83,0,1,50,1.0,fast_break,0,0.0,14.5906,,,,,0.0,0.0,fast_break,,,0.0,0,unknown,67.41337243262092,596.8457170813525,3.2360813064912666,,,,0,9,0
3990,66.567,1,green,3387,1509,0.995,0.8819,27.79,-11.95,286.4,corner_3,1,275.2,,385.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,652.0,-11.0,1293.0,654.0,3128,1602,57.57,667.5,24.51,1,93.53,44.1,19.69,0,1,51,0.933,fast_break,0,127.8,14.490499999999999,,,,,0.0,0.1,fast_break,,,0.0,0,unknown,80.22170763082545,3075.120848421031,4.1163630117428225,,,,0,9,0
3990,66.567,5,green,3024,1639,0.8884,0.9579,21.29,-5.35,112.6,corner_3,0,110.4,,385.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,763.0,453.0,854.0,590.0,3128,1602,57.57,815.7,-21.16,0,83.51,47.9,23.49,0,1,51,0.933,fast_break,0,127.8,14.490499999999999,,,,,0.0,0.1,fast_break,,,0.0,0,unknown,80.22170763082545,3075.120848421031,4.1163630117428225,,,,0,9,0
3996,66.667,1,green,3387,1509,0.995,0.8819,0.0,-27.79,0.0,corner_3,1,318.2,,385.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,652.0,-11.0,1293.0,654.0,3108,1662,63.25,667.5,0.0,0,93.53,44.1,19.69,0,1,52,0.867,fast_break,0,127.8,14.3904,,,,,0.0,0.2,fast_break,,,0.0,0,unknown,84.59313570108665,523.92339068826,3.890872509976251,,,,0,9,0
3996,66.667,5,green,3024,1639,0.8884,0.9579,0.0,-21.29,0.0,corner_3,0,87.1,,385.6,none,0.0,0.0,0.0,0.0,0,0,,0.0,763.0,453.0,854.0,590.0,3108,1662,63.25,815.7,0.0,0,83.51,47.9,23.49,0,1,52,0.867,fast_break,0,127.8,14.3904,,,,,0.0,0.2,fast_break,,,0.0,0,unknown,84.59313570108665,523.92339068826,3.890872509976251,,,,0,9,0
