frame_key,game,section,frame_index,width,height,n_calls,call_cx,call_cy,call_w,call_h,call_score,n_person,contained,person_index
22ad77b6ab07710801d256744d791c4c776b1e13d18bc72ac9de4f6d3f7ec1b1,EqseleqhpTk,EqseleqhpTk_s5310,30,1920,1080,2,1474.0,16.109,92.0,32.219,0.065613,8,0,
22f94007fe87d43066ce590c24226f25bb44b8f63d8fc016ccff35f04ee17d10,850xnW8BoAU,850xnW8BoAU_s1358,460,1920,1080,0,,,,,,10,0,
22fb1eb7d39c52dda5f2f75ea5ad04b92a1ee4bf3be6929fe9c57dbf0376b54d,XCaGht2GmPg,XCaGht2GmPg_s4068,3753,1920,1080,1,1470.0,32.625,100.0,65.25,0.131226,11,0,
22fde2ad8dae19fe11bd842cdc77fa0f4dbe70df814483f6ccd4bf1d3d0aec7a,hLv8cwl0asQ,hLv8cwl0asQ_s3705,2674,1920,1080,1,1835.0,16.031,82.0,32.062,0.187134,14,1,9
230132ff8c1244b0183d12cc3faeceef7416928085664c20b1954162ff1f88f7,bt3NwN7k8bY,bt3NwN7k8bY_s90,3678,1920,1080,0,,,,,,7,0,
237f9ae5889173780ca212bb646f15cd06fb33377b9671ae6d83dd663c423079,EqseleqhpTk,EqseleqhpTk_s5310,2446,1920,1080,0,,,,,,0,0,
23cca1abd53a7a1bb7dd13b7e6b754b9c78ba99cb28f1f8824d7a7cd6fc27f8f,3fT6aYz2N9w,3fT6aYz2N9w_s5086,1456,1920,1080,3,1425.0,766.5,82.0,62.0,0.20813,11,1,0
24188290937e25df89ed4ca740c029339641e55c11add15a7e961abe0cd00339,EqseleqhpTk,EqseleqhpTk_s5310,3454,1920,1080,0,,,,,,5,0,
2643efedef7defc035734cf4ea032d9f4c78e21e93a7506423b386aaaba62890,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,3311,1920,1080,1,267.5,9.859,77.5,19.719,0.172729,2,1,1
26c23880e4b88d8afcb2ef1d2a98b59936edf4b59fd6a8fd502ca371ca1febd5,3eeaJz1PJTM,3eeaJz1PJTM_s2572,2185,1920,1080,0,,,,,,4,0,
26e4e8a6a82a9f29fe40f8eae8b54936b08e64d386cac1689fbc9337e3792b77,h5pTl8fOM2U,h5pTl8fOM2U_s3399,3075,1920,1080,0,,,,,,2,0,
272146cdabd84db38e62b179407344f2a021d62649e61591d52e5690eee717f1,QXFM3hlaDAk,QXFM3hlaDAk_s5230,160,1920,1080,0,,,,,,4,0,
27316d5c1509ae5d55313299818365cfd9e12721ac12787084d9583ad22a4e7a,EqseleqhpTk,EqseleqhpTk_s5310,2782,1920,1080,0,,,,,,0,0,
29a5e8320a7051398a643a2c629e0f5895c9eea8748f00d76377e34fb01b6522,XCaGht2GmPg,XCaGht2GmPg_s4068,4404,1920,1080,1,1374.0,8.484,60.0,16.969,0.117554,9,0,
29ccca429264302ed21a7332229f6c74423ce51fba86305c3e803e49aa6a4bf5,wJSOHbeQcg4,wJSOHbeQcg4_s5540,3203,1920,1080,0,,,,,,5,0,
2a9a710a92da095192e9795585a50a80d61c7f3471f09b3269df86592db3d0ba,h5pTl8fOM2U,h5pTl8fOM2U_s3399,2559,1920,1080,1,111.062,35.75,97.125,71.5,0.062805,5,1,1
2b468df5ce6c86aa325c22dfed9bdc49baa92d9d2ebc10c1cd897cd35690f1f8,bt3NwN7k8bY,bt3NwN7k8bY_s90,698,1920,1080,0,,,,,,11,0,
2bc7de97f2df859121e943dd70dad64e0642761ad877bc2f0b33f064bd2ddb51,5PNHcMafoX8,5PNHcMafoX8_s4128,1159,1920,1080,0,,,,,,0,0,
2c33de198f97a0df8296f52e64f4764ad67119714571851d2303a78d708290af,6FlZaoWSfFw,6FlZaoWSfFw_s337,738,1920,1080,0,,,,,,5,0,
2e0b72280994946d59aa37cb37eef81a89e3ead8e763fa672bdb82177d6e7810,eaKqXq9dfig,eaKqXq9dfig_s428,581,1920,1080,0,,,,,,7,0,
2f04941c7a03abe8fea239a8e6e6e1cc31256fa8b44169e458712516ee768627,1zPhldjbJnU,1zPhldjbJnU_s5620,2309,1920,1080,0,,,,,,10,0,
303ac8d28eeb70d76f501c2db26c060116a2737673e2e628fe09f29d9abc4764,wptZj4SuFtE,wptZj4SuFtE_s2598,1134,1920,1080,5,1621.0,19.234,94.0,38.469,0.221313,5,1,2
315d330ad2e84f970593f55b624cb724c72a9887311c205623918ffcb5b3bf27,QXFM3hlaDAk,QXFM3hlaDAk_s5230,1788,1920,1080,0,,,,,,1,0,
317d256f149e36248a493d318c6b59a1437930a24a0954ea952f893a423e01d7,GNjSxoeDT-E,GNjSxoeDT-E_s2244,1724,1920,1080,2,1772.0,14.281,88.0,28.562,0.129883,18,0,
3278c817c1812b66e6fc6802d4a90402611d71a6cc3cbd145a3881f521ccc5a1,6FlZaoWSfFw,6FlZaoWSfFw_s337,3348,1920,1080,0,,,,,,8,0,
337dffa84db68e917d9f0ced9c72c7650a3db8eee3fe55c0038651887b1ac28b,1zPhldjbJnU,1zPhldjbJnU_s5620,2026,1920,1080,0,,,,,,11,0,
33dc23e5492f0b49d19cb87f93aeff6e83e1fa811076128357352f6835141c6e,wJSOHbeQcg4,wJSOHbeQcg4_s5540,3795,1920,1080,0,,,,,,7,0,
34e078170dd86fea4833478ded5958f46cc0028b71a0539ee011d4a12c8efb07,850xnW8BoAU,850xnW8BoAU_s1358,22,1920,1080,0,,,,,,0,0,
34f5ff54a594e23930cb5188ff48a571f56df5ed74a70381f06435bcc2d5e7a0,X5w3V6rh26s,X5w3V6rh26s_s5234,2677,1920,1080,2,1144.0,13.688,92.0,27.375,0.100159,7,0,
3522f413dafd1bb6a298d6f8718c4dc246d8c217f350fd9eb9569242e0dc0301,X5w3V6rh26s,X5w3V6rh26s_s5234,548,1920,1080,0,,,,,,11,0,
35d8cfec5e3d2be8057c87714074fcb3af31eba724c5264f08a3a78448135c47,X5w3V6rh26s,X5w3V6rh26s_s5234,3888,1920,1080,0,,,,,,10,0,
35f276b00a439ed1eea2aa8645aaf8755130076546540f2c2141ee7340cb32f3,X5w3V6rh26s,X5w3V6rh26s_s5234,3121,1920,1080,0,,,,,,7,0,
37ddcd54a212f5bd44c9297f951790baca7a60ce93caadff8f02033328388aff,X5w3V6rh26s,X5w3V6rh26s_s5234,3861,1920,1080,0,,,,,,14,0,
3864d1ca30ded08cdcf04b94b7e4137f4a5ff3bb1a5dd4bbcbbe7038d7e49989,bt3NwN7k8bY,bt3NwN7k8bY_s90,102,1920,1080,0,,,,,,17,0,
38c098db1bc3f3c5f71a4eb7c3c8bdc3760bc5f32fc28c216b8fcff5f250c1f8,5PNHcMafoX8,5PNHcMafoX8_s4128,2181,1920,1080,1,1635.0,325.438,90.0,150.125,0.129395,3,1,0
3aaaf6bfdbfbeb595e0da7896cb956ab3379d33ec96fb5d0c00dc7d0a3561b98,VEUJpELt_yA,VEUJpELt_yA_s1212,930,1920,1080,0,,,,,,2,0,
3b21a9c341ad55473c99f0960d21c190b064d6cf8d801844ba2add045bf0fbd3,hLv8cwl0asQ,hLv8cwl0asQ_s3705,2529,1920,1080,0,,,,,,4,0,
3c5a0b1d845314489bee6450f7087c68ffab706d8c5af7cda3ecf1ce1cb15a46,GNjSxoeDT-E,GNjSxoeDT-E_s2244,2600,1920,1080,0,,,,,,4,0,
3c5e603d0fe97cc0671851cde0bf87449d2557e79859d5206a985af840a19ce5,X5w3V6rh26s,X5w3V6rh26s_s5234,1049,1920,1080,0,,,,,,12,0,
3e0b4956d16c69707c7f3a9216eb8540d88f43eb3a0cdb2a41cf0134a12db341,g7dzEFLiemQ,g7dzEFLiemQ_s90,4587,1920,1080,0,,,,,,11,0,
3e6c6f7d3eaacef6721f5a337e4abd015b285c691eca8aadf40e3f4a235335d3,EqseleqhpTk,EqseleqhpTk_s5310,2563,1920,1080,0,,,,,,0,0,
3f35e95e476d062086abee57576e602cd1cc6dff7d1483cc5ce824886eadb1d1,X5w3V6rh26s,X5w3V6rh26s_s5234,1884,1920,1080,0,,,,,,2,0,
3fac7667dfa4f79f231fac3b79b5ce60f2865aa75300e45a10eba7b34c747741,3eeaJz1PJTM,3eeaJz1PJTM_s2572,2606,1920,1080,0,,,,,,13,0,
3ff2c2140c264bc6a70a18d23564d6b9a101fc9a87ee698d3c27a57683f6dd73,XCaGht2GmPg,XCaGht2GmPg_s4068,5145,1920,1080,12,451.5,16.859,78.0,33.719,0.351318,12,1,8
405f6ff09dd4cde149dcc93bf1a9fa543ddc1e955e6ab3abbd23f301b45a62a1,0SQ709_N0Yg,0SQ709_N0Yg_s90,6473,1920,1080,1,1603.0,30.531,102.0,61.062,0.063721,4,1,2
4113b53db47602bdf560056315eb3af78164e2f93090bed0f6035c9f8635cdac,EqseleqhpTk,EqseleqhpTk_s5310,2265,1920,1080,7,1572.0,1065.0,68.0,30.0,0.236572,22,0,
4176dd6ad3b7763cca0f3eee0b4344e15d8f031ec8ffdc164f6d7374d274ddfa,wJSOHbeQcg4,wJSOHbeQcg4_s5540,2907,1920,1080,0,,,,,,6,0,
41c64faa79ad331fe08f9a5aa350bd0ece5d41ece11c76ac01cac1a881296020,eaKqXq9dfig,eaKqXq9dfig_s428,1466,1920,1080,0,,,,,,2,0,
427befa9c7545871f55642f08b37075bbd2ba9bfab766fad599da3fd11f6c70a,EqseleqhpTk,EqseleqhpTk_s5310,626,1920,1080,0,,,,,,1,0,
428a37d10f3e3351827523edcebbae3eb15f459cd1130070961da8ec691bcc03,bt3NwN7k8bY,bt3NwN7k8bY_s90,2784,1920,1080,0,,,,,,14,0,
42a2541be991b0049a38b68ec8f1ac28501c950793e300803a11c820ee027eca,EqseleqhpTk,EqseleqhpTk_s5310,3159,1920,1080,0,,,,,,7,0,
43838ce60bcdc53c1a4f6c05824c67bf1e80831100bc569c8e29790ddcf94bf6,X5w3V6rh26s,X5w3V6rh26s_s5234,2825,1920,1080,0,,,,,,14,0,
4433c39d5da92ee7786f63058d6b00c2a3e84671fae8797514e15e39e9d1b8c3,jKoEJNdiRyI,jKoEJNdiRyI_s3429,3199,1920,1080,0,,,,,,4,0,
45111e3bd05a056536ae5c1b25c08c0753f8f2eddf80b6a1f27d1d8b0692a537,wJSOHbeQcg4,wJSOHbeQcg4_s5540,533,1920,1080,0,,,,,,3,0,
45926cdb573cba3b61704085067ea133edde6dabb8a0c1a4b28921e1d2626a50,VEUJpELt_yA,VEUJpELt_yA_s1212,795,1920,1080,0,,,,,,3,0,
47a7d4a4ad1d01b7fdb65cb84e77a61fd77bb033887106b8eb65f8d752dfb857,QXFM3hlaDAk,QXFM3hlaDAk_s5230,456,1920,1080,1,787.5,14.938,94.0,29.875,0.057709,15,0,
47ae619aa0c3d592c1b644717ecb11b527b49febe471a78d5c61b4f0b501ce34,E-5WuXXdGSA,E-5WuXXdGSA_s3993,76,1920,1080,0,,,,,,8,0,
485e4097b5822df2e42c8f0e7532977e39f7f0ae533d3b9eb91798ba30742ce2,fXLNra4sjjU,fXLNra4sjjU_s90,1277,1920,1080,1,1626.0,9.547,80.0,19.094,0.133911,2,0,
48677dce980b2ebefe4f6e89934dff13249dff41ecc700a91cd6cc5c3b7212ff,wJSOHbeQcg4,wJSOHbeQcg4_s5540,835,1920,1080,0,,,,,,3,0,
4889cdbaf5f0bfd4d8604fc02c8283283f60e7074fe90ded3d571cc87f953139,XCaGht2GmPg,XCaGht2GmPg_s4068,4278,1920,1080,1,1594.0,17.188,80.0,34.375,0.05603,12,0,
494ea1aa0b7e7830b8774347564901470f8b7d9f0618ddc7eb7c183dc8d7f9eb,h5pTl8fOM2U,h5pTl8fOM2U_s3399,447,1920,1080,0,,,,,,0,0,
49ebeb1b5fcd0c75034c9ab69c14996a774984edb2c435b960b081e9008506d0,X5w3V6rh26s,X5w3V6rh26s_s5234,3565,1920,1080,0,,,,,,6,0,
4a4d42a5cf72a295de2a1642845b6ea02226e7002ea8bdcec9c46851ae76091a,1zPhldjbJnU,1zPhldjbJnU_s5620,3320,1920,1080,0,,,,,,14,0,
4a66870b97d6f459546a8e225f48301e920d8f36a191f29921910408edaf1b54,QXFM3hlaDAk,QXFM3hlaDAk_s5230,2421,1920,1080,1,162.25,636.5,33.5,32.0,0.182373,5,1,3
4bd2281bab76852367e2ab7c6b4d41e33758104e5839e832d47f0779f097e1ee,EqseleqhpTk,EqseleqhpTk_s5310,3790,1920,1080,1,161.0,509.0,93.75,94.0,0.124207,10,1,0
4cef1965dc2a8cccdd6f06998b0c891ff48bd3f1ad989123c25442fa989e7a56,3eeaJz1PJTM,3eeaJz1PJTM_s2572,546,1920,1080,0,,,,,,11,0,
4d3fe0a8562ef869ac077c83929ad4ad7ba7b3606f35ea7f7bc76be8e32e1477,5PNHcMafoX8,5PNHcMafoX8_s4128,2327,1920,1080,0,,,,,,3,0,
4d6bb9251d880b966cf02434b9eb7e8779c3407ff54612b00797cc889392829f,EqseleqhpTk,EqseleqhpTk_s5310,1818,1920,1080,0,,,,,,2,0,
4de1c405885f132d8c5747f9b392d626708dfe6306316130cb3da21aada3db45,850xnW8BoAU,850xnW8BoAU_s1358,2504,1920,1080,0,,,,,,3,0,
4eec503af9ec7f77d51a259288512e01cb2f71d296c931c3221890de2cdda0d6,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,450,1920,1080,0,,,,,,2,0,
5034f723871938bdca9740e94f20d5efcd1aaa066ea592364b8a9e20c8b7fbe9,QXFM3hlaDAk,QXFM3hlaDAk_s5230,3087,1920,1080,0,,,,,,4,0,
505346cd0c51baffc068e89c64a82ec028cca507bff84f09db3bc0f5032bfe5c,jKoEJNdiRyI,jKoEJNdiRyI_s3429,319,1920,1080,0,,,,,,4,0,
50a748002cec335dfa43ca6d723e400db08da0e9df4b4ab8854a846126d341ac,7Ci3zQ5Vm4M,7Ci3zQ5Vm4M_s3423,2566,1920,1080,0,,,,,,9,0,
50dce783ae7ae345214a010555d5d9d0b30790d484a84d0595c999a45c11eb09,X5w3V6rh26s,X5w3V6rh26s_s5234,2529,1920,1080,1,1846.0,18.25,92.0,36.5,0.060516,7,1,5
526cb2d97693555a47823c5a92253f8661596cbedbc6f62753dd5b025f6a5f29,ql7kzzTRo4M,ql7kzzTRo4M_s5610,3507,1920,1080,0,,,,,,3,0,
52bf5ee4997d267f0dda861eb1a58401d5b87ee8fd6bcd27e6d15624377469c8,QXFM3hlaDAk,QXFM3hlaDAk_s5230,1492,1920,1080,0,,,,,,10,0,
547a4769bd1de21dae9961c4a08fd6394c56e15930507b48ed1ecbab8cf323a9,bt3NwN7k8bY,bt3NwN7k8bY_s90,2704,1920,1080,0,,,,,,13,0,
55390fa05f2076b45fd19050207232f8a5313a587f9c21111e3d61cb4a1fc7df,hLv8cwl0asQ,hLv8cwl0asQ_s3705,354,1920,1080,0,,,,,,0,0,
56997ebd089474fc1247a6cab916ffa044bc3032750246befc4e08f9911c2435,GNjSxoeDT-E,GNjSxoeDT-E_s2244,1144,1920,1080,0,,,,,,4,0,
582edf9bf2107782543d4f8a5885620f78d829e419ae726379d51ca14a16326c,g7dzEFLiemQ,g7dzEFLiemQ_s90,3377,1920,1080,0,,,,,,6,0,
586f43f02e6722a56069b594d137e4b6dd2e1f8bc14bdd6d597df107dc2ee809,hLv8cwl0asQ,hLv8cwl0asQ_s3705,1224,1920,1080,0,,,,,,4,0,
590883b213c756d582bbf34b1b18cd1dee4947100f04718bffbc48dad712e726,3fT6aYz2N9w,3fT6aYz2N9w_s5086,2891,1920,1080,0,,,,,,1,0,
5cef26d811dec7c7c727c2e65de49d701ef8e637fe11a72ded88a58b5513f8f2,EqseleqhpTk,EqseleqhpTk_s5310,924,1920,1080,0,,,,,,10,0,
5d166f69fa8d84fc031becc44371761c7add798113397e15e0bd518c64507a9a,q9kHoUZvxik,q9kHoUZvxik_s3681,2947,1920,1080,0,,,,,,14,0,
5d2d3a04affea28b7679036af5b174a65f3c6fa87f2e9b13b866219baa1c8e6b,X5w3V6rh26s,X5w3V6rh26s_s5234,2886,1920,1080,0,,,,,,16,0,
