attempt_id,ledger_line,section_id,competition,video,source_start,status,terminal,route_identity,declared_kind,declared_resolution,declared_height,declared_fps,declared_duration,rows,decoded_frames,evaluated_frames,stride,passed,finished_at,probe_status,measured_kind,measured_width,measured_height,measured_fps,source_sha256,source_filename,outputs_present,draw_kind,draw_order,population
L01950:3gBeJyl7Szg_s90,1950,3gBeJyl7Szg_s90,nba,3gBeJyl7Szg,000000090,tracked,1,ORIGINAL,720p60,1280x720,720,60.0,133.88333333333333,2417,7801,1301,6,False,1789128622,OK,720p60,1280,720,60.0,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,nba__3gBeJyl7Szg_s90.mp4,1,720p60,0,41
L01946:3gBeJyl7Szg_s1196,1946,3gBeJyl7Szg_s1196,nba,3gBeJyl7Szg,000001196,tracked,1,ORIGINAL,720p60,1280x720,720,60.0,130.28333333333333,2304,7801,1301,6,False,1789128521,OK,720p60,1280,720,60.0,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,nba__3gBeJyl7Szg_s1196.mp4,1,720p60,1,41
L01948:3gBeJyl7Szg_s3408,1948,3gBeJyl7Szg_s3408,nba,3gBeJyl7Szg,000003408,tracked,1,ORIGINAL,720p60,1280x720,720,60.0,133.21666666666667,2295,7801,1301,6,False,1789128582,OK,720p60,1280,720,60.0,e7e73bb3cefc28d8fb5e4a4dd184e69f261460a90eee5128d7ef79c564147277,nba__3gBeJyl7Szg_s3408.mp4,1,720p60,2,41
L01949:3gBeJyl7Szg_s4514,1949,3gBeJyl7Szg_s4514,nba,3gBeJyl7Szg,000004514,tracked,1,ORIGINAL,720p60,1280x720,720,60.0,134.68333333333334,2502,7801,1301,6,False,1789128582,OK,720p60,1280,720,60.0,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,nba__3gBeJyl7Szg_s4514.mp4,1,720p60,3,41
L00054:bos_mia_2025,54,bos_mia_2025,nba,bos_mia_2025,000000000,thin,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,908.45755,0,,,,,1788824046,ABSENT,UNKNOWN,,,,,nba__bos_mia_2025.mp4,0,720p60,4,41
L00024:bos_mia_playoffs,24,bos_mia_playoffs,nba,bos_mia_playoffs,000000000,tracked,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,920.1358833333334,1941,55153,9193,6,False,1788818362,ABSENT,UNKNOWN,,,,,nba__bos_mia_playoffs.mp4,1,720p60,5,41
L00037:cavs_broadcast_2025,37,cavs_broadcast_2025,nba,cavs_broadcast_2025,000000000,tracked,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,937.0527833333333,1273,56167,9362,6,False,1788820846,ABSENT,UNKNOWN,,,,,nba__cavs_broadcast_2025.mp4,1,720p60,6,41
L00019:den_phx_2025,19,den_phx_2025,nba,den_phx_2025,000000000,tracked,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,587.7037833333334,2972,35227,5872,6,False,1788817781,ABSENT,UNKNOWN,,,,,nba__den_phx_2025.mp4,1,720p60,7,41
L00021:gsw_lakers_2025,21,gsw_lakers_2025,nba,gsw_lakers_2025,000000000,tracked,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,696.3957,717,41742,6957,6,False,1788817901,ABSENT,UNKNOWN,,,,,nba__gsw_lakers_2025.mp4,1,720p60,8,41
L00023:mem_nop_2025,23,mem_nop_2025,nba,mem_nop_2025,000000000,tracked,1,ORIGINAL,720p60,1280x720,720,59.94005994005994,792.54175,2192,47505,7918,6,False,1788818142,ABSENT,UNKNOWN,,,,,nba__mem_nop_2025.mp4,1,720p60,9,41
