path,probe_status,bytes,width,height,avg_frame_rate,r_frame_rate,time_base,codec_name,nb_frames,duration,start_time,format_duration,format_name,avg_fps,r_fps,fps,sha256,format_kind,directory,filename
/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s2822.mp4,OK,75623391,1920,1080,712890000/11893381,60000/1001,1/90000,h264,7921,130.099000,0.000000,130.099000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006245995146,59.94005994005994,59.94006245995146,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,OTHER,/workspace/data/footage_corpus,nba__FnbFGnX4Qgo_s2822.mp4
/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s4188.mp4,OK,64231792,1920,1080,361035000/6023267,60000/1001,1/90000,h264,8023,130.031000,0.000000,130.031000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006242791495,59.94005994005994,59.94006242791495,a2c076df3e05622055556d0454cb3cf8234a85727ef92f8754341a3f0fa7a270,OTHER,/workspace/data/footage_corpus,nba__FnbFGnX4Qgo_s4188.mp4
/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s5554.mp4,OK,90266002,1920,1080,703890000/11743231,60000/1001,1/90000,h264,7821,130.029000,0.000000,130.029000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006249217102,59.94005994005994,59.94006249217102,348ea7aac3a3a4929ad6e6cf8f5fbc5e6807808d9c3f58f894902f2f4d14ef9b,OTHER,/workspace/data/footage_corpus,nba__FnbFGnX4Qgo_s5554.mp4
/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s90.mp4,OK,85302949,1920,1080,721800000/12042029,60000/1001,1/90000,h264,8020,130.020000,0.000000,130.020000,"mov,mp4,m4a,3gp,3g2,mj2",59.9400649176314,59.94005994005994,59.9400649176314,c01e1905efa5ec6eb3f82eed8f835839fab108ea86c7a8bf043e9d5a4c10d6ff,OTHER,/workspace/data/footage_corpus,nba__FnbFGnX4Qgo_s90.mp4
/workspace/data/footage_corpus/nba__GG2f11NYjKw_s1507.mp4,OK,82345801,1920,1080,176287500/2941063,60000/1001,1/90000,h264,7835,130.085000,0.000000,130.085000,"mov,mp4,m4a,3gp,3g2,mj2",59.940062487610774,59.94005994005994,59.940062487610774,f37c2463560714d1f9e22b5b3522c87691cce7a44e351adf5cc2e146e8900f7d,OTHER,/workspace/data/footage_corpus,nba__GG2f11NYjKw_s1507.mp4
/workspace/data/footage_corpus/nba__GG2f11NYjKw_s2924.mp4,OK,81336414,1920,1080,71586000/1194293,60000/1001,1/90000,h264,7954,130.051000,0.000000,130.051000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006495893386,59.94005994005994,59.94006495893386,99f1373291acf706d348c0876a029eb33aaa595ab974594332355646ea532297,OTHER,/workspace/data/footage_corpus,nba__GG2f11NYjKw_s2924.mp4
/workspace/data/footage_corpus/nba__GG2f11NYjKw_s4341.mp4,OK,75759264,1920,1080,72666000/1212311,60000/1001,1/90000,h264,8074,130.050000,0.000000,130.050000,"mov,mp4,m4a,3gp,3g2,mj2",59.940064884340735,59.94005994005994,59.940064884340735,beb4c9b59824bf95ed0268b355f45a58f048a47775c91481c30b774a1a3a6401,OTHER,/workspace/data/footage_corpus,nba__GG2f11NYjKw_s4341.mp4
/workspace/data/footage_corpus/nba__GG2f11NYjKw_s5758.mp4,OK,82379324,1920,1080,710010000/11845333,60000/1001,1/90000,h264,7889,130.066000,0.000000,130.066000,"mov,mp4,m4a,3gp,3g2,mj2",59.940062470172855,59.94005994005994,59.940062470172855,fd9f2459e408814467b7233a14268aa01b34541afdb3874072ae730a1ccd68f2,OTHER,/workspace/data/footage_corpus,nba__GG2f11NYjKw_s5758.mp4
/workspace/data/footage_corpus/nba__H1-Ns9IU-JM_s1498.mp4,OK,79709513,1920,1080,142272000/2373571,60000/1001,1/90000,h264,7904,130.027000,0.000000,130.027000,"mov,mp4,m4a,3gp,3g2,mj2",59.940064990682814,59.94005994005994,59.940064990682814,8b0a6c13b1e67180a2a908e62517358f977a5525a6fe9c40b2b9dbca793f8e9d,OTHER,/workspace/data/footage_corpus,nba__H1-Ns9IU-JM_s1498.mp4
/workspace/data/footage_corpus/nba__H1-Ns9IU-JM_s2906.mp4,OK,81490546,1920,1080,728280000/12150137,60000/1001,1/90000,h264,8092,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006487334258,59.94005994005994,59.94006487334258,779d531cb4563290d6379dc09296d97c76f8d4eaa26bb7d419370155a3593bd5,OTHER,/workspace/data/footage_corpus,nba__H1-Ns9IU-JM_s2906.mp4
/workspace/data/footage_corpus/nba__H1-Ns9IU-JM_s4314.mp4,OK,82140964,1920,1080,358875000/5987231,60000/1001,1/90000,h264,7975,130.023000,0.000000,130.023000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006244288887,59.94005994005994,59.94006244288887,f5deecf1dd3524771c6e4bbb432d11a9cebaf8b1769ff547f469946398319ae4,OTHER,/workspace/data/footage_corpus,nba__H1-Ns9IU-JM_s4314.mp4
/workspace/data/footage_corpus/nba__H1-Ns9IU-JM_s5722.mp4,OK,68891654,1920,1080,44206875/737518,60000/1001,1/90000,h264,7859,130.063000,0.000000,130.063000,"mov,mp4,m4a,3gp,3g2,mj2",59.940062479831,59.94005994005994,59.940062479831,30f9b7f8566878acad32de4f97eda3195cac47d22ed16a9d4ed04b02864223d1,OTHER,/workspace/data/footage_corpus,nba__H1-Ns9IU-JM_s5722.mp4
/workspace/data/footage_corpus/nba__H1-Ns9IU-JM_s90.mp4,OK,69118919,1920,1080,721800000/12042029,60000/1001,1/90000,h264,8020,130.020000,0.000000,130.020000,"mov,mp4,m4a,3gp,3g2,mj2",59.9400649176314,59.94005994005994,59.9400649176314,1493b3cb648cb243df4cde0eaa7660c288ba5c8d9841c21da4917037a3d7e0a2,OTHER,/workspace/data/footage_corpus,nba__H1-Ns9IU-JM_s90.mp4
/workspace/deploy/nba-ai-system/data/footage_bridge/nba__Kh7Fj4ogPN4_s1262.mp4,OK,52342554,1280,720,177435000/2960207,60000/1001,1/90000,h264,7886,130.058000,0.000000,130.058000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006500221099,59.94005994005994,59.94006500221099,67dc1cdf87df3b49f408acd4d1ba819004df73123ed12d88dbbe78bfb9d90ccc,720p60,/workspace/deploy/nba-ai-system/data/footage_bridge,nba__Kh7Fj4ogPN4_s1262.mp4
/workspace/deploy/nba-ai-system/data/footage_bridge/nba__Kh7Fj4ogPN4_s2434.mp4,OK,54189024,1280,720,28742400/479519,60000/1001,1/90000,h264,7984,130.045000,0.000000,130.045000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006494007537,59.94005994005994,59.94006494007537,5d5b0cb46579d50cdf55a42cf21efc8e4e1f204d9e1530ae54d84da849ce1aa8,720p60,/workspace/deploy/nba-ai-system/data/footage_bridge,nba__Kh7Fj4ogPN4_s2434.mp4
/workspace/deploy/nba-ai-system/data/footage_bridge/nba__Kh7Fj4ogPN4_s3606.mp4,OK,54541208,1280,720,177075000/2954201,60000/1001,1/90000,h264,7870,130.049000,0.000000,130.049000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006501250254,59.94005994005994,59.94006501250254,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,720p60,/workspace/deploy/nba-ai-system/data/footage_bridge,nba__Kh7Fj4ogPN4_s3606.mp4
/workspace/deploy/nba-ai-system/data/footage_bridge/nba__Kh7Fj4ogPN4_s4778.mp4,OK,56755801,1280,720,147546000/2461559,60000/1001,1/90000,h264,8197,130.036000,0.000000,130.036000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006237510456,59.94005994005994,59.94006237510456,0dc93ea6b35313f3be5f2e596996661b3c1d2e1d0675e97c808b9c98eb1fb611,720p60,/workspace/deploy/nba-ai-system/data/footage_bridge,nba__Kh7Fj4ogPN4_s4778.mp4
/workspace/deploy/nba-ai-system/data/footage_bridge/nba__Kh7Fj4ogPN4_s5950.mp4,OK,54056259,1280,720,353475000/5897141,60000/1001,1/90000,h264,7855,130.024000,0.000000,130.024000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006248112433,59.94005994005994,59.94006248112433,83fa214abc8f82813c17d35794bac5902578b0d74e12d943acde1b41e5675c23,720p60,/workspace/deploy/nba-ai-system/data/footage_bridge,nba__Kh7Fj4ogPN4_s5950.mp4
/workspace/deploy/nba-ai-system/data/footage_bridge/nba__Kh7Fj4ogPN4_s90.mp4,OK,55862107,1280,720,181035000/3020267,60000/1001,1/90000,h264,8046,130.036000,0.000000,130.036000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006490154678,59.94005994005994,59.94006490154678,d3ca9ac7fa07f99e31292e96a31dbcebd76192c929e917da537a8a83b29b7d33,720p60,/workspace/deploy/nba-ai-system/data/footage_bridge,nba__Kh7Fj4ogPN4_s90.mp4
/workspace/data/footage_corpus/nba__T1d3VxVnDUo_s1725.mp4,OK,61398413,1920,1080,30000/1001,30000/1001,1/90000,h264,3916,130.053000,0.000000,130.053000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,c4ff5536726407675af458ff9b713a6c5ce3819549206a326cce38ead5bb1e55,1080p30,/workspace/data/footage_corpus,nba__T1d3VxVnDUo_s1725.mp4
/workspace/data/footage_corpus/nba__T1d3VxVnDUo_s3360.mp4,OK,64247199,1920,1080,30000/1001,30000/1001,1/90000,h264,3957,130.053000,0.000000,130.053000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,e7f1dde14a2e234c8b6f7048197650e338034006b7acbe484087c7ef6a513df5,1080p30,/workspace/data/footage_corpus,nba__T1d3VxVnDUo_s3360.mp4
/workspace/data/footage_corpus/nba__T1d3VxVnDUo_s4995.mp4,OK,55831728,1920,1080,30000/1001,30000/1001,1/90000,h264,3998,130.053000,0.000000,130.053000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,663f09c2bf95e53d0b91bc1079644d8427d995560bcef12e03f8d46034476c7d,1080p30,/workspace/data/footage_corpus,nba__T1d3VxVnDUo_s4995.mp4
/workspace/data/footage_corpus/nba__T1d3VxVnDUo_s6630.mp4,OK,57765179,1920,1080,30000/1001,30000/1001,1/90000,h264,4039,130.053000,0.000000,130.053000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,cc2db390a066ecc9172ba52a26493e051bb6e2d6fe3f21706ed17da5a59c552e,1080p30,/workspace/data/footage_corpus,nba__T1d3VxVnDUo_s6630.mp4
/workspace/data/footage_corpus/nba__T1d3VxVnDUo_s8265.mp4,OK,22098163,1920,1080,30000/1001,30000/1001,1/90000,h264,3920,130.087000,0.000000,130.087000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,3c292534ccf9acf58ad88830428287f5be1aee7ea446b13152597b4647579058,1080p30,/workspace/data/footage_corpus,nba__T1d3VxVnDUo_s8265.mp4
/workspace/data/footage_corpus/nba__T1d3VxVnDUo_s90.mp4,OK,67438807,1920,1080,30000/1001,30000/1001,1/90000,h264,4035,130.053000,0.000000,130.053000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,93537b0551d31a27d044410a2c08781c43d916dc20b3f1d79b7cd118eaa91581,1080p30,/workspace/data/footage_corpus,nba__T1d3VxVnDUo_s90.mp4
/workspace/data/footage_corpus/nba__pGrVjtS7Xqg_s1609.mp4,OK,89052892,1920,1080,708210000/11815303,60000/1001,1/90000,h264,7869,130.087000,0.000000,130.087000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006247660344,59.94005994005994,59.94006247660344,9710e8b5de8b58b20c5cbc757ce5e3ea71ed096ee5aa87c11bbe596d12b8d7a5,OTHER,/workspace/data/footage_corpus,nba__pGrVjtS7Xqg_s1609.mp4
/workspace/data/footage_corpus/nba__pGrVjtS7Xqg_s3128.mp4,OK,92970734,1920,1080,90247500/1505629,60000/1001,1/90000,h264,8022,130.071000,0.000000,130.071000,"mov,mp4,m4a,3gp,3g2,mj2",59.940064916390426,59.94005994005994,59.940064916390426,53ec8b2eb45ba11ca26a55b5269d3c2857f38beae8760e900798e66a45900911,OTHER,/workspace/data/footage_corpus,nba__pGrVjtS7Xqg_s3128.mp4
/workspace/data/footage_corpus/nba__pGrVjtS7Xqg_s4647.mp4,OK,81738001,1920,1080,354195000/5909153,60000/1001,1/90000,h264,7871,130.022000,0.000000,130.022000,"mov,mp4,m4a,3gp,3g2,mj2",59.940062475958904,59.94005994005994,59.940062475958904,d1430369a807d45d4e5f837a33a419a53fde16fe848fa597043eface3f9fed4c,OTHER,/workspace/data/footage_corpus,nba__pGrVjtS7Xqg_s4647.mp4
/workspace/data/footage_corpus/nba__pGrVjtS7Xqg_s6166.mp4,OK,96813022,1920,1080,144432000/2409607,60000/1001,1/90000,h264,8024,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006491515007,59.94005994005994,59.94006491515007,3dc917299a588a3fba938ebba76016123ab5708556bb239caa640a5990db972e,OTHER,/workspace/data/footage_corpus,nba__pGrVjtS7Xqg_s6166.mp4
/workspace/data/footage_corpus/nba__pGrVjtS7Xqg_s90.mp4,OK,47776640,1920,1080,721800000/12042029,60000/1001,1/90000,h264,8020,130.070000,0.000000,130.070000,"mov,mp4,m4a,3gp,3g2,mj2",59.9400649176314,59.94005994005994,59.9400649176314,95d7080f36add3bda049cf69e99ed99efc17da2ce6a0a348d691fd750dbb956e,OTHER,/workspace/data/footage_corpus,nba__pGrVjtS7Xqg_s90.mp4
/workspace/data/footage_corpus/nba__vcWKSPlGCO0_s1643.mp4,OK,49776177,1920,1080,30/1,30/1,1/90000,h264,3911,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,e79c268d1ffe09e3b3d5f753c7cf6a43dae1aa67c1227d57298e4ee40978215d,1080p30,/workspace/data/footage_corpus,nba__vcWKSPlGCO0_s1643.mp4
/workspace/data/footage_corpus/nba__vcWKSPlGCO0_s3196.mp4,OK,40517240,1920,1080,30/1,30/1,1/90000,h264,3941,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,6e8390f9fa17830a4e43b8f73fd70b613a4a024cdd3c2aa6fe8ac51747900731,1080p30,/workspace/data/footage_corpus,nba__vcWKSPlGCO0_s3196.mp4
/workspace/data/footage_corpus/nba__vcWKSPlGCO0_s4749.mp4,OK,59725511,1920,1080,30/1,30/1,1/90000,h264,3971,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,936ed2fe2bf7cb43df7891c86a964bf2605bd739bf51178ed839c8fa5c9dd342,1080p30,/workspace/data/footage_corpus,nba__vcWKSPlGCO0_s4749.mp4
/workspace/data/footage_corpus/nba__vcWKSPlGCO0_s6302.mp4,OK,57525243,1920,1080,30/1,30/1,1/90000,h264,4001,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,ed30fe2f73ba34e2c7e5f417312ab6a24d0963dced642947ca5ac50f890ea0f0,1080p30,/workspace/data/footage_corpus,nba__vcWKSPlGCO0_s6302.mp4
/workspace/data/footage_corpus/nba__vcWKSPlGCO0_s7855.mp4,OK,21625544,1920,1080,30/1,30/1,1/90000,h264,4031,130.100000,0.000000,130.100000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,0fd98bd86d510a3217cbfa26e625c697d793f023ed382815c10e06d44947efba,1080p30,/workspace/data/footage_corpus,nba__vcWKSPlGCO0_s7855.mp4
/workspace/data/footage_corpus/nba__vcWKSPlGCO0_s90.mp4,OK,66713878,1920,1080,30/1,30/1,1/90000,h264,4041,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,2825b3358744994ea8e98a1bf1beed758bd5da13f5646d6ee1c444827b52a0c5,1080p30,/workspace/data/footage_corpus,nba__vcWKSPlGCO0_s90.mp4
/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s1371.mp4,OK,69403189,1920,1080,30000/1001,30000/1001,1/90000,h264,4052,130.066000,0.000000,130.066000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,aca1476c9b90f46dd527f54447fb0820950ee644880bd6f6eb87bfec2abb0aad,1080p30,/workspace/data/footage_corpus,nba__yZ5u2sOpiNU_s1371.mp4
/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s2652.mp4,OK,61348353,1920,1080,30000/1001,30000/1001,1/90000,h264,3990,130.079000,0.000000,130.079000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,f01606979d06d5cef38c67b5ac78dd4d25fefd7f3f041fddbd2ba399a0ceae06,1080p30,/workspace/data/footage_corpus,nba__yZ5u2sOpiNU_s2652.mp4
/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s3933.mp4,OK,64267541,1920,1080,30000/1001,30000/1001,1/90000,h264,3903,130.092000,0.000000,130.092000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,352e09fc2a2ea29bd9b42ccb32d9c944d26de241880a7d7a9aa37cec0dbb6eed,1080p30,/workspace/data/footage_corpus,nba__yZ5u2sOpiNU_s3933.mp4
/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s5214.mp4,OK,62680969,1920,1080,30000/1001,30000/1001,1/90000,h264,3916,130.072000,0.000000,130.072000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,2ed233becd5ae41aa1762008c279fbbd66977741ee00dbe3e00405deb9b42f10,1080p30,/workspace/data/footage_corpus,nba__yZ5u2sOpiNU_s5214.mp4
/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s90.mp4,OK,74361691,1920,1080,30000/1001,30000/1001,1/90000,h264,4060,130.087000,0.000000,130.087000,"mov,mp4,m4a,3gp,3g2,mj2",29.97002997002997,29.97002997002997,29.97002997002997,1c98e777689a974d4fff1fa6f68f7c57cbfb072f293200e063d0b8173fc1b732,1080p30,/workspace/data/footage_corpus,nba__yZ5u2sOpiNU_s90.mp4
/workspace/data/footage_corpus/ncaa_basketball__6rQ2sV4upfc_s1509.mp4,OK,50953115,1280,720,44746875/746527,60000/1001,1/90000,h264,7955,130.070000,0.000000,130.070000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006244918134,59.94005994005994,59.94006244918134,d10e7b95e85fbad71589d18da9098e31dfa312df913c1b701396038528056c0a,720p60,/workspace/data/footage_corpus,ncaa_basketball__6rQ2sV4upfc_s1509.mp4
/workspace/data/footage_corpus/ncaa_basketball__6rQ2sV4upfc_s2928.mp4,OK,52460899,1280,720,355050000/5923417,60000/1001,1/90000,h264,7890,130.022000,0.000000,130.022000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006499964463,59.94005994005994,59.94006499964463,48797240284ab6b9869d00fc56579276c39fa5207b50172801e4b87c1bdf5142,720p60,/workspace/data/footage_corpus,ncaa_basketball__6rQ2sV4upfc_s2928.mp4
/workspace/data/footage_corpus/ncaa_basketball__6rQ2sV4upfc_s4347.mp4,OK,52188825,1280,720,704250000/11749237,60000/1001,1/90000,h264,7825,130.023000,0.000000,130.023000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006249086643,59.94005994005994,59.94006249086643,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,720p60,/workspace/data/footage_corpus,ncaa_basketball__6rQ2sV4upfc_s4347.mp4
/workspace/data/footage_corpus/ncaa_basketball__6rQ2sV4upfc_s90.mp4,OK,54041007,1280,720,721800000/12042029,60000/1001,1/90000,h264,8020,130.037000,0.000000,130.037000,"mov,mp4,m4a,3gp,3g2,mj2",59.9400649176314,59.94005994005994,59.9400649176314,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,720p60,/workspace/data/footage_corpus,ncaa_basketball__6rQ2sV4upfc_s90.mp4
/workspace/data/footage_corpus/ncaa_basketball__7blRl4zVfrY_s1223.mp4,OK,57860776,1280,720,726120000/12114101,60000/1001,1/90000,h264,8068,130.035000,0.000000,130.035000,"mov,mp4,m4a,3gp,3g2,mj2",59.940064888017694,59.94005994005994,59.940064888017694,d9fc9b14e006eff7cb040e240ee188dbd34d2cd655fe79116d47945a06ad8a72,720p60,/workspace/data/footage_corpus,ncaa_basketball__7blRl4zVfrY_s1223.mp4
/workspace/data/footage_corpus/ncaa_basketball__7blRl4zVfrY_s2356.mp4,OK,56478743,1280,720,351450000/5863357,60000/1001,1/90000,h264,7810,130.017000,0.000000,130.017000,"mov,mp4,m4a,3gp,3g2,mj2",59.940065051471365,59.94005994005994,59.940065051471365,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,720p60,/workspace/data/footage_corpus,ncaa_basketball__7blRl4zVfrY_s2356.mp4
/workspace/data/footage_corpus/ncaa_basketball__7blRl4zVfrY_s3489.mp4,OK,56326299,1280,720,353475000/5897141,60000/1001,1/90000,h264,7855,130.032000,0.000000,130.032000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006248112433,59.94005994005994,59.94006248112433,b5d027dbca93a647b4545a8a1e5b9f7da80e078b394f74fd504c5c0e8e7b31ea,720p60,/workspace/data/footage_corpus,ncaa_basketball__7blRl4zVfrY_s3489.mp4
/workspace/data/footage_corpus/ncaa_basketball__7blRl4zVfrY_s4622.mp4,OK,57365595,1280,720,179167500/2989111,60000/1001,1/90000,h264,7963,130.031000,0.000000,130.031000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006244666056,59.94005994005994,59.94006244666056,48cdbeead4a88963828d2012bddd6361600cc1f725be589c010ec69f9f7e411d,720p60,/workspace/data/footage_corpus,ncaa_basketball__7blRl4zVfrY_s4622.mp4
/workspace/data/footage_corpus/ncaa_basketball__7blRl4zVfrY_s90.mp4,OK,57345020,1280,720,356490000/5947441,60000/1001,1/90000,h264,7922,130.037000,0.000000,130.037000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006497920702,59.94005994005994,59.94006497920702,38864a8e2c87e4535209cfe37a3c2913bb321f19e39de735cc310f9b8cf83698,720p60,/workspace/data/footage_corpus,ncaa_basketball__7blRl4zVfrY_s90.mp4
/workspace/data/footage_corpus/ncaa_basketball__FyMWTVsJvv8_s1504.mp4,OK,53641555,1280,720,178875000/2984231,60000/1001,1/90000,h264,7950,130.032000,0.000000,130.032000,"mov,mp4,m4a,3gp,3g2,mj2",59.940064961459086,59.94005994005994,59.940064961459086,559d259fd7d71507ee61d4bc24886a71c071fb196fbd48b93618b0e787f1a3f9,720p60,/workspace/data/footage_corpus,ncaa_basketball__FyMWTVsJvv8_s1504.mp4
/workspace/data/footage_corpus/ncaa_basketball__FyMWTVsJvv8_s2918.mp4,OK,56239809,1280,720,713610000/11905393,60000/1001,1/90000,h264,7929,130.029000,0.000000,130.029000,"mov,mp4,m4a,3gp,3g2,mj2",59.940062457409006,59.94005994005994,59.940062457409006,b7e7601c42f7c162ec6b1c562b2888c81a4ce467ba0cb2d1c31c01a5c1e54978,720p60,/workspace/data/footage_corpus,ncaa_basketball__FyMWTVsJvv8_s2918.mp4
/workspace/data/footage_corpus/ncaa_basketball__FyMWTVsJvv8_s4332.mp4,OK,57043679,1280,720,719640000/12005993,60000/1001,1/90000,h264,7996,130.024000,0.000000,130.024000,"mov,mp4,m4a,3gp,3g2,mj2",59.940064932571595,59.94005994005994,59.940064932571595,378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80,720p60,/workspace/data/footage_corpus,ncaa_basketball__FyMWTVsJvv8_s4332.mp4
/workspace/data/footage_corpus/ncaa_basketball__FyMWTVsJvv8_s90.mp4,OK,58427269,1280,720,726480000/12120107,60000/1001,1/90000,h264,8072,130.019000,0.000000,130.019000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006488556578,59.94005994005994,59.94006488556578,99dcfaa96a4a419dc4df9c1eb80f5494c8b3fa8bd51be462570eb0b80a673957,720p60,/workspace/data/footage_corpus,ncaa_basketball__FyMWTVsJvv8_s90.mp4
/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s1236.mp4,OK,55626245,1280,720,360090000/6007501,60000/1001,1/90000,h264,8002,130.032000,0.000000,130.032000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006492882814,59.94005994005994,59.94006492882814,21ab04dc4cc4ba7cb2c20ce2ec78045eef4729ac35ab7c3dbe6b93f3cff62ed2,720p60,/workspace/data/footage_corpus,ncaa_basketball__Ge4uewCFUFQ_s1236.mp4
/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,OK,56676340,1280,720,3630150/60563,60000/1001,1/90000,h264,8067,130.026000,0.000000,130.026000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006241434539,59.94005994005994,59.94006241434539,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,720p60,/workspace/data/footage_corpus,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4
/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s3528.mp4,OK,56956229,1280,720,44313750/739301,60000/1001,1/90000,h264,7878,130.021000,0.000000,130.021000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006500735154,59.94005994005994,59.94006500735154,0d5e0e4aea944300c7c6015fe780406323f099344e27688498d35ab5b7d22313,720p60,/workspace/data/footage_corpus,ncaa_basketball__Ge4uewCFUFQ_s3528.mp4
/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s4674.mp4,OK,56750617,1280,720,707040000/11795783,60000/1001,1/90000,h264,7856,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006502154202,59.94005994005994,59.94006502154202,081a5b8634af9e6ef013ebb6215c2fcf698308f6e35ca8e045daf1c4a5d69932,720p60,/workspace/data/footage_corpus,ncaa_basketball__Ge4uewCFUFQ_s4674.mp4
/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s90.mp4,OK,57603919,1280,720,28742400/479519,60000/1001,1/90000,h264,7984,130.037000,0.000000,130.037000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006494007537,59.94005994005994,59.94006494007537,b89463951cc4ed27c1fd3bf32c52d012c3ba845322f96143a5f9099e5d5cf83d,720p60,/workspace/data/footage_corpus,ncaa_basketball__Ge4uewCFUFQ_s90.mp4
/workspace/data/footage_corpus/ncaa_basketball__IpR4pT8iN0Y_s1261.mp4,OK,53045191,1280,720,364770000/6085579,60000/1001,1/90000,h264,8106,130.106000,0.000000,130.106000,"mov,mp4,m4a,3gp,3g2,mj2",59.94006486482223,59.94005994005994,59.94006486482223,aca5d098a29e600463699677b0469441fed6520a12307c219c57a0b5f9b07ec8,720p60,/workspace/data/footage_corpus,ncaa_basketball__IpR4pT8iN0Y_s1261.mp4
/workspace/data/footage_corpus/ncaa_basketball__IpR4pT8iN0Y_s2432.mp4,OK,50526631,1280,720,726840000/12126113,60000/1001,1/90000,h264,8076,130.026000,0.000000,130.026000,"mov,mp4,m4a,3gp,3g2,mj2",59.9400648831163,59.94005994005994,59.9400648831163,d2e9618fca2988d0e74654b65178e7b219551eeb90c17275e5f2e5f8a94765fe,720p60,/workspace/data/footage_corpus,ncaa_basketball__IpR4pT8iN0Y_s2432.mp4
