frame,state,raw_rows,unique_players,emitting,section_id
1212,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1215,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1218,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1221,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1224,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1227,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1230,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1233,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1236,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1239,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1242,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1245,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
1248,EVALUATED,0,0,0,acb-6NGcNkDDK9o_s90
1251,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1254,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1257,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1350,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1353,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1356,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1359,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1362,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1365,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1368,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1371,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1374,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1377,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1380,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1383,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1386,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1389,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1392,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1395,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1398,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1401,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1404,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1407,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1410,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1413,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1416,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1419,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1422,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1425,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1428,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1431,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1434,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1437,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1440,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1443,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1446,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1449,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1452,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1455,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1458,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1461,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1464,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1467,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1470,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1473,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1476,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1479,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1482,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1485,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1488,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1491,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1494,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1497,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1500,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1503,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1506,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
1509,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1512,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1515,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1518,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1521,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1524,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1527,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1530,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1533,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1536,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1539,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1542,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1545,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1548,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1551,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1554,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1557,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1560,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1563,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1566,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1569,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
1572,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
