audit_id,rank,x_px,y_px,nearest_target_distance_px,on_any_target
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,79,454,992,355.449012,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,80,1437,988,109.110036,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,81,658,1005,164.137138,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,82,611,992,202.714084,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,83,544,992,267.290105,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,84,261,979,545.206383,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,85,1563,963,122.024588,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,86,466,992,343.639346,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,87,355,1017,457.351069,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,88,160,976,645.640767,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,89,387,992,421.583918,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,90,624,1022,202.14846,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,91,453,977,354.132743,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,92,1715,975,261.354166,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,93,667,970,142.720006,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,94,1588,963,142.003521,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,95,1398,976,116.824655,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,96,429,978,378.059519,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,97,1432,977,100.463924,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,98,376,992,432.46734,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,99,250,979,556.162746,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,100,309,992,498.867718,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,1,1713,995,149.164339,False
