ordinal,file_name,sport,stratum,stratum_start_fraction,stratum_end_fraction,frame_count,source_frame,fps,width,height,decode_status,render_path
23,mlb__mlb_7T-rpI5l0ro.mp4,mlb,1,0.1,0.35,28901,5790,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_7T-rpI5l0ro__s1_f005790.jpg
23,mlb__mlb_7T-rpI5l0ro.mp4,mlb,2,0.35,0.65,28901,16563,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_7T-rpI5l0ro__s2_f016563.jpg
23,mlb__mlb_7T-rpI5l0ro.mp4,mlb,3,0.65,0.9,28901,24736,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_7T-rpI5l0ro__s3_f024736.jpg
24,mlb__mlb_ARtRmUHC7dw.mp4,mlb,1,0.1,0.35,18153,5526,29.97002997,1280,720,decoded,renders/mlb/mlb__mlb_ARtRmUHC7dw__s1_f005526.jpg
24,mlb__mlb_ARtRmUHC7dw.mp4,mlb,2,0.35,0.65,18153,6785,29.97002997,1280,720,decoded,renders/mlb/mlb__mlb_ARtRmUHC7dw__s2_f006785.jpg
24,mlb__mlb_ARtRmUHC7dw.mp4,mlb,3,0.65,0.9,18153,14977,29.97002997,1280,720,decoded,renders/mlb/mlb__mlb_ARtRmUHC7dw__s3_f014977.jpg
25,mlb__mlb_FGtFanovws4.mp4,mlb,1,0.1,0.35,57807,7653,59.94006029,1280,720,decoded,renders/mlb/mlb__mlb_FGtFanovws4__s1_f007653.jpg
25,mlb__mlb_FGtFanovws4.mp4,mlb,2,0.35,0.65,57807,33044,59.94006029,1280,720,decoded,renders/mlb/mlb__mlb_FGtFanovws4__s2_f033044.jpg
25,mlb__mlb_FGtFanovws4.mp4,mlb,3,0.65,0.9,57807,39499,59.94006029,1280,720,decoded,renders/mlb/mlb__mlb_FGtFanovws4__s3_f039499.jpg
26,mlb__mlb_NiSezRTvsew.mp4,mlb,1,0.1,0.35,28921,5026,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_NiSezRTvsew__s1_f005026.jpg
26,mlb__mlb_NiSezRTvsew.mp4,mlb,2,0.35,0.65,28921,12136,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_NiSezRTvsew__s2_f012136.jpg
26,mlb__mlb_NiSezRTvsew.mp4,mlb,3,0.65,0.9,28921,22481,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_NiSezRTvsew__s3_f022481.jpg
27,mlb__mlb_PPj97yvNGOo.mp4,mlb,1,0.1,0.35,36387,5467,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_PPj97yvNGOo__s1_f005467.jpg
