game_id,prefix,sport,status,video_id,offset_s,source_duration,source_resolution,finished_at,eligible,ineligible_reason
0022500621_s4500,nba,nba,tracked,,,131.298,640x360,1788831307,0,no_video_id_or_offset
0022500621_s5400,nba,nba,tracked,,,132.666,640x360,1788831679,0,no_video_id_or_offset
0022500621_s6000,nba,nba,thin,,,134.735,640x360,1788829336,0,no_video_id_or_offset
0022500621_s6600,nba,nba,tracked,,,131.465,640x360,1788831626,0,no_video_id_or_offset
0022500621_s7200,nba,nba,thin,,,133.533,640x360,1788850181,0,no_video_id_or_offset
0022500621_s8100,nba,nba,tracked,,,131.298,640x360,1788851612,0,no_video_id_or_offset
0022500621_s900,nba,nba,tracked,,,133.166,640x360,1788851806,0,no_video_id_or_offset
0022500630_s1500,nba,nba,tracked,,,130.931,640x360,1788826192,0,no_video_id_or_offset
0022500630_s2100,nba,nba,tracked,,,131.031,640x360,1788828949,0,no_video_id_or_offset
0022500630_s2700,nba,nba,tracked,,,154.021,640x360,1788819577,0,no_video_id_or_offset
0022500630_s300,nba,nba,tracked,,,151.084,640x360,1788819577,0,no_video_id_or_offset
0022500630_s3300,nba,nba,tracked,,,130.764,640x360,1788829060,0,no_video_id_or_offset
0022500630_s3900,nba,nba,tracked,,,132.833,640x360,1788828795,0,no_video_id_or_offset
0022500630_s4500,nba,nba,tracked,,,131.164,640x360,1788827853,0,no_video_id_or_offset
0022500630_s5400,nba,nba,tracked,,,130.130,640x360,1788851686,0,no_video_id_or_offset
0022500630_s6000,nba,nba,tracked,,,134.735,640x360,1788851924,0,no_video_id_or_offset
0022500630_s6600,nba,nba,tracked,,,131.465,640x360,1788852111,0,no_video_id_or_offset
09B3g4Z5yFc_s1254,wnba,wnba,tracked,09B3g4Z5yFc,1254,130.500,1920x1080,1789082498,1,
09B3g4Z5yFc_s2418,wnba,wnba,tracked,09B3g4Z5yFc,2418,131.200,1920x1080,1789082518,1,
09B3g4Z5yFc_s3582,wnba,wnba,tracked,09B3g4Z5yFc,3582,133.833,1920x1080,1789082740,1,
09B3g4Z5yFc_s4746,wnba,wnba,tracked,09B3g4Z5yFc,4746,130.533,1920x1080,1789082720,1,
09B3g4Z5yFc_s90,wnba,wnba,tracked,09B3g4Z5yFc,90,132.233,1920x1080,1789082800,1,
0KIBu1jQBL8_s1205,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,1205,133.834,1920x1080,1788865446,1,
0KIBu1jQBL8_s1270,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,1270,134.801,1920x1080,1789068499,1,
0KIBu1jQBL8_s155,ncaa_basketball,ncaa_basketball,tracked,0KIBu1jQBL8,155,130.230,1920x1080,1789068561,1,
