section,frame_index,n_prior_keys_in_section,nearest_prior_gap_frames,n_causal_neighbours_within_0p2s,availability
Ze8frxZxNyk_s2646,1923,7,249,0,MISSING
Ze8frxZxNyk_s2646,2172,8,249,0,MISSING
Ze8frxZxNyk_s2646,2421,9,249,0,MISSING
Ze8frxZxNyk_s2646,2670,10,249,0,MISSING
Ze8frxZxNyk_s2646,2919,11,249,0,MISSING
Ze8frxZxNyk_s2646,3168,12,249,0,MISSING
Ze8frxZxNyk_s2646,3417,13,249,0,MISSING
Ze8frxZxNyk_s2646,3666,14,249,0,MISSING
LPDnemFoqVk_s3306,235,0,,0,MISSING
LPDnemFoqVk_s3306,488,1,253,0,MISSING
LPDnemFoqVk_s3306,741,2,253,0,MISSING
LPDnemFoqVk_s3306,994,3,253,0,MISSING
LPDnemFoqVk_s3306,1247,4,253,0,MISSING
LPDnemFoqVk_s3306,1500,5,253,0,MISSING
LPDnemFoqVk_s3306,1753,6,253,0,MISSING
LPDnemFoqVk_s3306,2006,7,253,0,MISSING
LPDnemFoqVk_s3306,2259,8,253,0,MISSING
LPDnemFoqVk_s3306,2512,9,253,0,MISSING
LPDnemFoqVk_s3306,2765,10,253,0,MISSING
LPDnemFoqVk_s3306,3018,11,253,0,MISSING
LPDnemFoqVk_s3306,3271,12,253,0,MISSING
LPDnemFoqVk_s3306,3524,13,253,0,MISSING
LPDnemFoqVk_s3306,3777,14,253,0,MISSING
WeheQidCPXI_s1389,63,0,,0,MISSING
WeheQidCPXI_s1389,311,1,248,0,MISSING
WeheQidCPXI_s1389,559,2,248,0,MISSING
WeheQidCPXI_s1389,807,3,248,0,MISSING
WeheQidCPXI_s1389,1055,4,248,0,MISSING
WeheQidCPXI_s1389,1303,5,248,0,MISSING
WeheQidCPXI_s1389,1551,6,248,0,MISSING
WeheQidCPXI_s1389,1799,7,248,0,MISSING
WeheQidCPXI_s1389,2047,8,248,0,MISSING
WeheQidCPXI_s1389,2295,9,248,0,MISSING
WeheQidCPXI_s1389,2543,10,248,0,MISSING
WeheQidCPXI_s1389,2791,11,248,0,MISSING
WeheQidCPXI_s1389,3039,12,248,0,MISSING
WeheQidCPXI_s1389,3287,13,248,0,MISSING
WeheQidCPXI_s1389,3535,14,248,0,MISSING
WeheQidCPXI_s1389,3783,15,248,0,MISSING
hOtf1-DI88w_s90,64,0,,0,MISSING
hOtf1-DI88w_s90,565,1,501,0,MISSING
hOtf1-DI88w_s90,1066,2,501,0,MISSING
hOtf1-DI88w_s90,1567,3,501,0,MISSING
hOtf1-DI88w_s90,2068,4,501,0,MISSING
hOtf1-DI88w_s90,2569,5,501,0,MISSING
hOtf1-DI88w_s90,3070,6,501,0,MISSING
hOtf1-DI88w_s90,3571,7,501,0,MISSING
hOtf1-DI88w_s90,4072,8,501,0,MISSING
hOtf1-DI88w_s90,4573,9,501,0,MISSING
hOtf1-DI88w_s90,5074,10,501,0,MISSING
hOtf1-DI88w_s90,5575,11,501,0,MISSING
hOtf1-DI88w_s90,6076,12,501,0,MISSING
hOtf1-DI88w_s90,6577,13,501,0,MISSING
hOtf1-DI88w_s90,7078,14,501,0,MISSING
hOtf1-DI88w_s90,7579,15,501,0,MISSING
Ze8frxZxNyk_s3924,67,0,,0,MISSING
Ze8frxZxNyk_s3924,320,1,253,0,MISSING
Ze8frxZxNyk_s3924,573,2,253,0,MISSING
Ze8frxZxNyk_s3924,826,3,253,0,MISSING
Ze8frxZxNyk_s3924,1079,4,253,0,MISSING
Ze8frxZxNyk_s3924,1332,5,253,0,MISSING
Ze8frxZxNyk_s3924,1585,6,253,0,MISSING
Ze8frxZxNyk_s3924,1838,7,253,0,MISSING
Ze8frxZxNyk_s3924,2091,8,253,0,MISSING
Ze8frxZxNyk_s3924,2344,9,253,0,MISSING
Ze8frxZxNyk_s3924,2597,10,253,0,MISSING
Ze8frxZxNyk_s3924,2850,11,253,0,MISSING
Ze8frxZxNyk_s3924,3103,12,253,0,MISSING
Ze8frxZxNyk_s3924,3356,13,253,0,MISSING
Ze8frxZxNyk_s3924,3609,14,253,0,MISSING
Ze8frxZxNyk_s3924,3862,15,253,0,MISSING
