processed_index,arm1_broadcast_1080_native_source_frame,arm2_broadcast_720_downscaled_source_frame,arm3_amateur_720_native_source_frame,arm1_broadcast_1080_native_boxes,arm2_broadcast_720_downscaled_boxes,arm3_amateur_720_native_boxes
829,22086,22086,2487,6,6,22
830,22089,22089,2490,6,5,22
831,22092,22092,2493,10,10,21
832,22095,22095,2496,6,5,21
833,22098,22098,2499,5,5,23
834,22101,22101,2502,7,7,23
835,22104,22104,2505,5,5,20
836,22107,22107,2508,6,7,21
837,22110,22110,2511,8,9,20
838,22113,22113,2514,11,12,21
839,22116,22116,2517,10,10,19
840,22119,22119,2520,6,6,21
841,22122,22122,2523,8,9,21
842,22125,22125,2526,6,5,20
843,22128,22128,2529,6,6,20
844,22131,22131,2532,9,10,20
845,22134,22134,2535,5,5,21
846,22137,22137,2538,8,8,20
847,22140,22140,2541,7,7,23
848,22143,22143,2544,6,5,23
849,22146,22146,2547,10,11,24
850,22149,22149,2550,7,7,24
851,22152,22152,2553,9,9,22
852,22155,22155,2556,8,7,22
853,22158,22158,2559,10,10,22
854,22161,22161,2562,9,9,23
855,22164,22164,2565,8,9,19
856,22167,22167,2568,9,9,20
857,22170,22170,2571,5,4,20
858,22173,22173,2574,5,6,17
859,22176,22176,2577,4,4,19
860,22179,22179,2580,6,6,17
861,22182,22182,2583,3,3,19
862,22185,22185,2586,7,8,19
863,22188,22188,2589,7,8,19
864,22191,22191,2592,7,7,19
865,22194,22194,2595,6,5,19
866,22197,22197,2598,4,4,20
867,22200,22200,2601,5,5,20
868,22203,22203,2604,4,4,19
869,22206,22206,2607,3,4,20
870,22209,22209,2610,3,3,21
871,22212,22212,2613,5,4,20
872,22215,22215,2616,3,3,19
873,22218,22218,2619,3,3,19
874,22221,22221,2622,2,2,20
875,22224,22224,2625,5,6,18
876,22227,22227,2628,4,5,18
877,22230,22230,2631,4,5,18
878,22233,22233,2634,3,2,18
879,22236,22236,2637,4,4,21
880,22239,22239,2640,5,5,18
881,22242,22242,2643,3,3,21
882,22245,22245,2646,5,5,22
883,22248,22248,2649,5,5,20
884,22251,22251,2652,4,3,19
885,22254,22254,2655,4,4,20
886,22257,22257,2658,7,7,21
887,22260,22260,2661,4,4,20
888,22263,22263,2664,4,4,17
889,22266,22266,2667,1,1,18
890,22269,22269,2670,2,3,18
891,22272,22272,2673,4,4,17
892,22275,22275,2676,5,5,17
893,22278,22278,2679,4,5,18
894,22281,22281,2682,3,3,17
895,22284,22284,2685,4,4,19
896,22287,22287,2688,5,4,19
897,22290,22290,2691,7,6,18
898,22293,22293,2694,6,5,22
899,22296,22296,2697,4,4,18
900,22299,22299,2700,3,2,16
901,22302,22302,2703,5,5,17
902,22305,22305,2706,5,5,21
903,22308,22308,2709,4,4,17
904,22311,22311,2712,4,5,17
905,22314,22314,2715,6,6,19
906,22317,22317,2718,4,4,17
907,22320,22320,2721,3,3,18
908,22323,22323,2724,4,4,15
909,22326,22326,2727,3,3,12
910,22329,22329,2730,3,3,19
911,22332,22332,2733,7,9,19
912,22335,22335,2736,5,5,15
913,22338,22338,2739,6,5,17
914,22341,22341,2742,4,5,15
915,22344,22344,2745,4,4,14
916,22347,22347,2748,6,5,17
917,22350,22350,2751,6,6,18
918,22353,22353,2754,9,7,19
919,22356,22356,2757,7,8,21
920,22359,22359,2760,9,7,19
921,22362,22362,2763,3,4,17
922,22365,22365,2766,5,5,19
923,22368,22368,2769,7,7,18
924,22371,22371,2772,4,3,16
925,22374,22374,2775,8,8,20
926,22377,22377,2778,6,6,17
927,22380,22380,2781,7,6,17
928,22383,22383,2784,8,8,16
929,22386,22386,2787,6,8,14
930,22389,22389,2790,6,7,16
931,22392,22392,2793,7,9,12
932,22395,22395,2796,5,6,13
933,22398,22398,2799,7,8,13
934,22401,22401,2802,7,8,13
935,22404,22404,2805,7,6,14
936,22407,22407,2808,9,8,10
937,22410,22410,2811,7,8,16
938,22413,22413,2814,7,8,14
939,22416,22416,2817,7,7,13
940,22419,22419,2820,8,9,16
941,22422,22422,2823,11,10,14
942,22425,22425,2826,7,6,15
943,22428,22428,2829,9,8,15
944,22431,22431,2832,8,8,17
945,22434,22434,2835,9,9,16
946,22437,22437,2838,10,10,18
947,22440,22440,2841,8,7,17
948,22443,22443,2844,7,7,15
949,22446,22446,2847,6,6,16
950,22449,22449,2850,8,8,16
951,22452,22452,2853,9,9,18
952,22455,22455,2856,7,7,19
953,22458,22458,2859,5,6,15
954,22461,22461,2862,5,5,15
955,22464,22464,2865,7,6,15
956,22467,22467,2868,7,7,14
957,22470,22470,2871,6,6,14
958,22473,22473,2874,8,8,15
959,22476,22476,2877,8,7,17
960,22479,22479,2880,9,8,12
961,22482,22482,2883,6,6,13
962,22485,22485,2886,10,10,15
963,22488,22488,2889,9,8,17
964,22491,22491,2892,8,8,18
965,22494,22494,2895,10,9,17
966,22497,22497,2898,6,7,15
967,22500,22500,2901,6,7,16
968,22503,22503,2904,7,7,16
969,22506,22506,2907,5,5,16
970,22509,22509,2910,7,7,19
971,22512,22512,2913,10,10,17
972,22515,22515,2916,9,9,15
973,22518,22518,2919,9,10,17
974,22521,22521,2922,9,9,20
975,22524,22524,2925,9,9,19
976,22527,22527,2928,8,8,19
977,22530,22530,2931,9,11,18
978,22533,22533,2934,10,10,18
979,22536,22536,2937,7,9,19
980,22539,22539,2940,10,10,17
981,22542,22542,2943,7,7,20
982,22545,22545,2946,9,9,20
983,22548,22548,2949,8,9,24
984,22551,22551,2952,9,9,25
985,22554,22554,2955,11,11,21
986,22557,22557,2958,10,10,25
987,22560,22560,2961,8,9,21
988,22563,22563,2964,9,8,22
989,22566,22566,2967,8,9,19
990,22569,22569,2970,6,6,20
991,22572,22572,2973,6,8,21
992,22575,22575,2976,6,6,21
993,22578,22578,2979,7,5,21
994,22581,22581,2982,6,6,21
995,22584,22584,2985,7,7,19
996,22587,22587,2988,7,7,19
997,22590,22590,2991,4,5,21
998,22593,22593,2994,4,4,19
999,22596,22596,2997,5,3,20
1000,22599,22599,3000,5,5,21
1001,22602,22602,3003,4,4,20
1002,22605,22605,3006,4,5,20
1003,22608,22608,3009,4,4,19
1004,22611,22611,3012,5,5,18
1005,22614,22614,3015,21,19,20
1006,22617,22617,3018,15,14,20
1007,22620,22620,3021,15,14,20
1008,22623,22623,3024,16,16,21
1009,22626,22626,3027,15,14,21
1010,22629,22629,3030,13,13,21
1011,22632,22632,3033,12,13,22
1012,22635,22635,3036,12,12,23
1013,22638,22638,3039,11,12,24
1014,22641,22641,3042,12,12,21
1015,22644,22644,3045,15,16,19
1016,22647,22647,3048,15,15,21
1017,22650,22650,3051,16,14,20
1018,22653,22653,3054,13,13,21
1019,22656,22656,3057,14,14,18
1020,22659,22659,3060,11,10,21
1021,22662,22662,3063,15,15,20
1022,22665,22665,3066,13,13,19
1023,22668,22668,3069,12,11,21
1024,22671,22671,3072,15,15,21
1025,22674,22674,3075,12,12,20
1026,22677,22677,3078,11,10,19
1027,22680,22680,3081,10,9,21
1028,22683,22683,3084,7,7,20
1029,22686,22686,3087,7,7,20
1030,22689,22689,3090,6,5,20
1031,22692,22692,3093,5,7,20
1032,22695,22695,3096,4,6,20
1033,22698,22698,3099,7,6,21
1034,22701,22701,3102,5,5,21
1035,22704,22704,3105,6,6,21
1036,22707,22707,3108,6,6,19
1037,22710,22710,3111,5,5,20
1038,22713,22713,3114,5,6,17
1039,22716,22716,3117,5,5,19
1040,22719,22719,3120,6,6,18
1041,22722,22722,3123,4,5,19
1042,22725,22725,3126,4,4,20
1043,22728,22728,3129,4,4,19
1044,22731,22731,3132,6,6,19
1045,22734,22734,3135,5,6,20
1046,22737,22737,3138,5,5,22
1047,22740,22740,3141,5,5,20
1048,22743,22743,3144,5,5,21
1049,22746,22746,3147,5,5,20
1050,22749,22749,3150,5,5,20
1051,22752,22752,3153,5,5,19
1052,22755,22755,3156,5,5,18
1053,22758,22758,3159,5,5,18
1054,22761,22761,3162,6,6,18
1055,22764,22764,3165,6,6,19
1056,22767,22767,3168,6,6,19
1057,22770,22770,3171,4,4,19
1058,22773,22773,3174,4,4,19
1059,22776,22776,3177,4,4,20
1060,22779,22779,3180,4,4,20
1061,22782,22782,3183,4,4,20
1062,22785,22785,3186,4,4,21
1063,22788,22788,3189,4,4,22
1064,22791,22791,3192,3,3,21
1065,22794,22794,3195,2,2,23
1066,22797,22797,3198,3,2,22
1067,22800,22800,3201,2,2,22
1068,22803,22803,3204,2,2,21
1069,22806,22806,3207,3,3,22
1070,22809,22809,3210,2,2,22
1071,22812,22812,3213,2,2,21
1072,22815,22815,3216,2,2,21
1073,22818,22818,3219,4,4,21
1074,22821,22821,3222,3,3,21
1075,22824,22824,3225,4,3,20
1076,22827,22827,3228,4,4,20
1077,22830,22830,3231,3,3,19
1078,22833,22833,3234,5,5,19
1079,22836,22836,3237,2,2,21
1080,22839,22839,3240,3,3,19
1081,22842,22842,3243,1,2,19
1082,22845,22845,3246,1,1,18
1083,22848,22848,3249,1,0,20
1084,22851,22851,3252,0,0,19
1085,22854,22854,3255,1,1,19
1086,22857,22857,3258,3,3,20
1087,22860,22860,3261,5,5,20
1088,22863,22863,3264,9,8,20
1089,22866,22866,3267,10,8,22
1090,22869,22869,3270,9,7,20
1091,22872,22872,3273,9,9,20
1092,22875,22875,3276,9,9,20
1093,22878,22878,3279,10,10,19
1094,22881,22881,3282,9,9,20
1095,22884,22884,3285,7,7,20
1096,22887,22887,3288,7,7,20
1097,22890,22890,3291,8,8,21
1098,22893,22893,3294,5,6,21
1099,22896,22896,3297,6,5,21
1100,22899,22899,3300,8,7,19
1101,22902,22902,3303,7,6,18
1102,22905,22905,3306,6,6,20
1103,22908,22908,3309,7,8,19
1104,22911,22911,3312,6,6,21
1105,22914,22914,3315,7,8,18
1106,22917,22917,3318,6,6,18
1107,22920,22920,3321,7,6,16
1108,22923,22923,3324,6,6,18
1109,22926,22926,3327,7,6,18
1110,22929,22929,3330,6,5,20
1111,22932,22932,3333,7,7,19
1112,22935,22935,3336,5,5,21
1113,22938,22938,3339,6,6,19
1114,22941,22941,3342,5,5,19
1115,22944,22944,3345,4,5,19
1116,22947,22947,3348,5,6,19
1117,22950,22950,3351,5,5,20
1118,22953,22953,3354,4,4,21
1119,22956,22956,3357,3,3,22
1120,22959,22959,3360,3,3,21
1121,22962,22962,3363,4,5,22
1122,22965,22965,3366,5,4,22
1123,22968,22968,3369,3,3,21
1124,22971,22971,3372,5,5,20
1125,22974,22974,3375,4,3,21
1126,22977,22977,3378,3,2,20
1127,22980,22980,3381,3,3,23
1128,22983,22983,3384,5,5,22
1129,22986,22986,3387,3,3,21
1130,22989,22989,3390,4,5,21
1131,22992,22992,3393,5,5,20
1132,22995,22995,3396,4,4,20
1133,22998,22998,3399,4,4,21
1134,23001,23001,3402,3,3,20
1135,23004,23004,3405,6,6,21
1136,23007,23007,3408,5,6,19
1137,23010,23010,3411,5,5,19
1138,23013,23013,3414,5,5,21
1139,23016,23016,3417,5,5,22
1140,23019,23019,3420,7,6,22
1141,23022,23022,3423,7,6,21
1142,23025,23025,3426,6,6,21
1143,23028,23028,3429,5,5,20
1144,23031,23031,3432,5,6,21
1145,23034,23034,3435,6,5,21
1146,23037,23037,3438,6,7,21
1147,23040,23040,3441,6,6,21
1148,23043,23043,3444,8,7,20
1149,23046,23046,3447,5,7,21
1150,23049,23049,3450,6,7,21
1151,23052,23052,3453,5,4,22
