geometry,sigma_px,draw,probe_index,err_m,err_modulo_m
G2_WIDE,0.00,0,107,9.157568,0.057534
G2_WIDE,0.00,0,108,12.203508,0.057453
G2_WIDE,0.00,0,109,15.249591,0.057466
G2_WIDE,0.00,0,110,15.204203,0.068530
G2_WIDE,0.00,0,111,12.159422,0.067296
G2_WIDE,0.00,0,112,9.114536,0.066252
G2_WIDE,0.00,0,113,6.069575,0.065389
G2_WIDE,0.00,0,114,3.024690,0.064698
G2_WIDE,0.00,0,115,0.064166,0.064166
G2_WIDE,0.00,0,116,3.067268,0.063784
G2_WIDE,0.00,0,117,6.112537,0.063538
G2_WIDE,0.00,0,118,9.158129,0.063415
G2_WIDE,0.00,0,119,12.203898,0.063403
G2_WIDE,0.00,0,120,15.249812,0.063487
G2_WIDE,0.00,0,121,15.202396,0.073700
G2_WIDE,0.00,0,122,12.157784,0.072490
G2_WIDE,0.00,0,123,9.113070,0.071477
G2_WIDE,0.00,0,124,6.068290,0.070650
G2_WIDE,0.00,0,125,3.023624,0.070000
G2_WIDE,0.00,0,126,0.069515,0.069515
G2_WIDE,0.00,0,127,3.068228,0.069183
G2_WIDE,0.00,0,128,6.113280,0.068994
G2_WIDE,0.00,0,129,9.158691,0.068931
G2_WIDE,0.00,0,130,12.204288,0.068982
G2_WIDE,0.00,0,131,15.250033,0.069133
G2_WIDE,0.00,0,132,15.200589,0.078549
G2_WIDE,0.00,0,133,12.156145,0.077355
G2_WIDE,0.00,0,134,9.111603,0.076364
G2_WIDE,0.00,0,135,6.067005,0.075566
G2_WIDE,0.00,0,136,3.022558,0.074950
G2_WIDE,0.00,0,137,0.074506,0.074506
G2_WIDE,0.00,0,138,3.069191,0.074220
G2_WIDE,0.00,0,139,6.114024,0.074080
G2_WIDE,0.00,0,140,9.159254,0.074074
G2_WIDE,0.00,0,141,12.204677,0.074186
G2_WIDE,0.00,0,142,15.250255,0.074404
G2_WIDE,0.00,0,143,15.198781,0.083071
G2_WIDE,0.00,0,144,12.154507,0.081886
G2_WIDE,0.00,0,145,9.110136,0.080909
G2_WIDE,0.00,0,146,6.065718,0.080133
G2_WIDE,0.00,0,147,3.021490,0.079545
G2_WIDE,0.00,0,148,0.079135,0.079135
G2_WIDE,0.00,0,149,3.070150,0.078890
G2_WIDE,0.00,0,150,6.114766,0.078798
G2_WIDE,0.00,0,151,9.159817,0.078844
G2_WIDE,0.00,0,152,12.205068,0.079014
G2_WIDE,0.00,0,153,15.250477,0.079296
G2_WIDE,0.00,0,154,15.196974,0.087259
G2_WIDE,0.00,0,155,12.152867,0.086075
G2_WIDE,0.00,0,156,9.108668,0.085107
G2_WIDE,0.00,0,157,6.064432,0.084346
G2_WIDE,0.00,0,158,3.020420,0.083782
G2_WIDE,0.00,0,159,0.083399,0.083399
G2_WIDE,0.00,0,160,3.071106,0.083191
G2_WIDE,0.00,0,161,6.115508,0.083142
G2_WIDE,0.00,0,162,9.160377,0.083238
G2_WIDE,0.00,0,163,12.205457,0.083465
G2_WIDE,0.00,0,164,15.250698,0.083810
G2_WIDE,0.00,0,165,15.195166,0.091117
G2_WIDE,0.00,0,166,12.151226,0.089925
G2_WIDE,0.00,0,167,9.107199,0.088956
G2_WIDE,0.00,0,168,6.063142,0.088204
G2_WIDE,0.00,0,169,3.019345,0.087656
G2_WIDE,0.00,0,170,0.087298,0.087298
G2_WIDE,0.00,0,171,3.072058,0.087123
G2_WIDE,0.00,0,172,6.116247,0.087114
G2_WIDE,0.00,0,173,9.160936,0.087257
G2_WIDE,0.00,0,174,12.205846,0.087539
G2_WIDE,0.00,0,175,15.250917,0.087942
G3_TIGHT,0.00,0,0,0.035487,0.035487
G3_TIGHT,0.00,0,1,0.033325,0.033325
G3_TIGHT,0.00,0,2,0.032435,0.032435
G3_TIGHT,0.00,0,3,0.032634,0.032634
G3_TIGHT,0.00,0,4,0.033647,0.033647
