geometry,sigma_px,draw,symmetry_class,objective_j,source_element,enumeration_rank,candidate_hypotheses_count,deduplicated_symmetry_images_count
G1_SYNTH_QUAD,0.50,27,0,0.723105732520022,mirror_x,4,115544,11286
G1_SYNTH_QUAD,0.50,27,0,0.723105732520022,mirror_x,7,115544,11286
G1_SYNTH_QUAD,0.50,27,0,0.7218458472783841,identity,3,115544,11286
G1_SYNTH_QUAD,0.50,27,0,0.7218458472783841,identity,5,115544,11286
G1_SYNTH_QUAD,0.50,27,0,0.7218458472783841,identity,6,115544,11286
G1_SYNTH_QUAD,0.50,27,0,0.7218458472783841,identity,8,115544,11286
G1_SYNTH_QUAD,1.00,0,0,0.7461583123135207,identity,2,119532,11446
G1_SYNTH_QUAD,1.00,0,0,0.7461583123135207,mirror_x,3,119532,11446
G1_SYNTH_QUAD,1.00,0,0,0.7461583123135207,mirror_x,5,119532,11446
G1_SYNTH_QUAD,1.00,0,0,0.7461583123135207,identity,8,119532,11446
G1_SYNTH_QUAD,1.00,0,0,0.7449584654228172,identity,1,119532,11446
G1_SYNTH_QUAD,1.00,0,0,0.7449584654228172,identity,4,119532,11446
G1_SYNTH_QUAD,1.00,0,0,0.7449584654228172,identity,6,119532,11446
G1_SYNTH_QUAD,1.00,0,0,0.7449584654228172,mirror_x,7,119532,11446
G1_SYNTH_QUAD,1.00,3,0,0.6775219021131046,mirror_x,3,108836,1685
G1_SYNTH_QUAD,1.00,3,0,0.6775219021131046,mirror_x,7,108836,1685
G1_SYNTH_QUAD,1.00,3,0,0.6730626551949199,identity,1,108836,1685
G1_SYNTH_QUAD,1.00,3,0,0.6730626551949199,mirror_x,2,108836,1685
G1_SYNTH_QUAD,1.00,3,0,0.6730626551949199,identity,4,108836,1685
G1_SYNTH_QUAD,1.00,3,0,0.6730626551949199,mirror_x,5,108836,1685
G1_SYNTH_QUAD,1.00,3,0,0.6730626551949199,identity,6,108836,1685
G1_SYNTH_QUAD,1.00,3,0,0.6730626551949199,identity,8,108836,1685
G1_SYNTH_QUAD,1.00,6,0,0.7165422295805198,identity,1,115836,9640
