clip_id,status,tracking_path,tracking_bytes,ball_path,ball_bytes,player_x_p01,player_x_p99,player_y_p01,player_y_p99,ball_x_p01,ball_x_p99,ball_y_p01,ball_y_p99,ratio_x,ratio_y,source_width,source_height,league,daemon_code_version,ball_frame,anomalous
0022500154,OK,data\tracking\0022500154\tracking_data.csv,5970325,data\tracking\0022500154\ball_tracking.csv,174798,-76.323132,1504.815123,-95.425258,700.984898,4.000000,1359.000000,0.000000,718.000000,0.856978,0.901546,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500156,OK,data\tracking\0022500156\tracking_data.csv,9607752,data\tracking\0022500156\ball_tracking.csv,154838,-67.685654,1491.254562,-56.980690,723.373944,26.000000,1435.790000,23.000000,1570.000000,0.904326,1.982432,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500157,OK,data\tracking\0022500157\tracking_data.csv,11000732,data\tracking\0022500157\ball_tracking.csv,169172,-175.570911,1532.450745,-88.387874,715.268205,20.000000,1898.920000,20.000000,666.730000,1.100056,0.804735,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500158,OK,data\tracking\0022500158\tracking_data.csv,12034464,data\tracking\0022500158\ball_tracking.csv,160832,-15.000000,1380.845014,-80.975740,688.499782,4.000000,1602.460000,3.000000,633.730000,1.145156,0.819688,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500159,OK,data\tracking\0022500159\tracking_data.csv,7283104,data\tracking\0022500159\ball_tracking.csv,173486,-15.000000,1394.689226,-61.010764,692.960250,20.000000,1453.000000,9.980000,1658.000000,1.016536,2.185787,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500160,OK,data\tracking\0022500160\tracking_data.csv,10552609,data\tracking\0022500160\ball_tracking.csv,177512,-16.698287,1424.820572,-56.228514,704.266597,9.000000,1595.640000,3.000000,513.000000,1.100672,0.670616,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500161,OK,data\tracking\0022500161\tracking_data.csv,11720533,data\tracking\0022500161\ball_tracking.csv,153418,-89.029433,1445.678818,-46.116951,696.981674,12.000000,5398.000000,11.320000,2119.360000,3.509462,2.836824,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500162,OK,data\tracking\0022500162\tracking_data.csv,10712992,data\tracking\0022500162\ball_tracking.csv,167710,-78.036123,1439.818921,-46.745133,699.797046,1.000000,1374.450000,13.000000,578.150000,0.904862,0.757024,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500163,OK,data\tracking\0022500163\tracking_data.csv,6699348,data\tracking\0022500163\ball_tracking.csv,147699,-234.279331,1421.369705,-63.396813,676.630135,3.000000,1575.000000,21.000000,546.850000,0.949477,0.710582,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500164,OK,data\tracking\0022500164\tracking_data.csv,10593594,data\tracking\0022500164\ball_tracking.csv,185083,-164.516226,1397.592775,-59.510896,698.404455,8.000000,2697.000000,7.000000,1654.000000,1.721391,2.173066,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500166,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500166\tracking_data.csv,,data\tracking\0022500166\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500171,OK,data\tracking\0022500171\tracking_data.csv,11358830,data\tracking\0022500171\ball_tracking.csv,183712,-60.992931,1506.818345,-39.775541,688.318484,7.000000,1589.020000,4.980000,1168.100000,1.009063,1.597486,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500174,OK,data\tracking\0022500174\tracking_data.csv,8699976,data\tracking\0022500174\ball_tracking.csv,171221,-40.414323,1469.739007,-71.629393,742.364032,9.200000,1647.800000,10.000000,1048.200000,1.085055,1.275440,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
