frame_approx,video_sec,game_clock_sec,period,score_home,score_away,score_margin,shot_clock_est
12677,423,1647,3,57,69,-12,15.0
12707,424,1648,3,57,69,-12,14.0
12737,425,1649,3,57,69,-12,13.0
12767,426,1650,3,57,69,-12,12.0
12797,427,1651,3,59,69,-10,24.0
12827,428,1652,3,59,69,-10,23.0
12857,429,1653,3,59,69,-10,22.0
12887,430,1654,3,59,69,-10,21.0
12917,431,1655,3,59,69,-10,20.0
12947,432,1656,3,59,69,-10,19.0
12977,433,1657,3,59,69,-10,18.0
13006,434,1658,3,59,69,-10,17.0
13036,435,1659,3,59,69,-10,16.0
13066,436,1660,3,59,69,-10,15.0
13096,437,1661,3,59,69,-10,14.0
13126,438,1662,3,59,69,-10,13.0
13156,439,1663,3,59,69,-10,12.0
13186,440,1664,3,59,69,-10,11.0
13216,441,1665,3,59,71,-12,24.0
13246,442,1666,3,59,71,-12,23.0
13276,443,1667,3,59,71,-12,22.0
13306,444,1668,3,59,71,-12,21.0
13336,445,1669,3,59,71,-12,20.0
13366,446,1670,3,59,71,-12,19.0
13396,447,1671,3,59,71,-12,18.0
13426,448,1672,3,59,71,-12,17.0
13456,449,1673,3,59,71,-12,16.0
13486,450,1674,3,59,71,-12,15.0
13516,451,1675,3,59,71,-12,14.0
13546,452,1676,3,59,71,-12,13.0
13576,453,1677,3,59,71,-12,12.0
13606,454,1678,3,59,71,-12,11.0
13636,455,1679,3,59,71,-12,10.0
13666,456,1680,3,59,71,-12,9.0
13696,457,1681,3,59,71,-12,8.0
13726,458,1682,3,59,71,-12,7.0
13756,459,1683,3,59,71,-12,6.0
13786,460,1684,3,59,71,-12,14.0
13816,461,1685,3,59,71,-12,13.0
13846,462,1686,3,59,71,-12,12.0
13876,463,1687,3,59,71,-12,11.0
13906,464,1688,3,59,71,-12,10.0
13936,465,1689,3,59,71,-12,9.0
13966,466,1690,3,59,71,-12,8.0
13995,467,1691,3,59,71,-12,7.0
14025,468,1692,3,59,71,-12,14.0
14055,469,1693,3,59,71,-12,13.0
14085,470,1694,3,59,71,-12,12.0
14115,471,1695,3,62,71,-9,24.0
14145,472,1696,3,62,71,-9,23.0
14175,473,1697,3,62,71,-9,22.0
14205,474,1698,3,62,71,-9,21.0
14235,475,1699,3,62,71,-9,20.0
14265,476,1700,3,62,71,-9,24.0
14295,477,1701,3,62,71,-9,23.0
14325,478,1702,3,62,71,-9,22.0
14355,479,1703,3,62,71,-9,24.0
14385,480,1704,3,62,71,-9,23.0
14415,481,1705,3,62,71,-9,22.0
14445,482,1706,3,62,71,-9,21.0
14475,483,1707,3,62,71,-9,20.0
14505,484,1708,3,62,71,-9,24.0
14535,485,1709,3,62,71,-9,23.0
14565,486,1710,3,62,71,-9,22.0
14595,487,1711,3,62,71,-9,14.0
14625,488,1712,3,62,71,-9,13.0
14655,489,1713,3,62,71,-9,12.0
14685,490,1714,3,62,71,-9,11.0
14715,491,1715,3,62,71,-9,10.0
14745,492,1716,3,62,71,-9,9.0
14775,493,1717,3,62,71,-9,8.0
14805,494,1718,3,62,71,-9,7.0
14835,495,1719,3,62,71,-9,6.0
14865,496,1720,3,62,71,-9,5.0
14895,497,1721,3,62,71,-9,4.0
14925,498,1722,3,62,71,-9,3.0
14955,499,1723,3,62,71,-9,2.0
14985,500,1724,3,62,71,-9,1.0
15014,501,1725,3,62,71,-9,0.0
15044,502,1726,3,62,71,-9,0.0
15074,503,1727,3,62,71,-9,0.0
15104,504,1728,3,65,71,-6,24.0
15134,505,1729,3,65,71,-6,23.0
15164,506,1730,3,65,71,-6,22.0
15194,507,1731,3,65,71,-6,21.0
15224,508,1732,3,65,71,-6,20.0
15254,509,1733,3,65,71,-6,19.0
15284,510,1734,3,65,71,-6,18.0
15314,511,1735,3,65,71,-6,17.0
15344,512,1736,3,65,71,-6,16.0
15374,513,1737,3,65,71,-6,15.0
15404,514,1738,3,65,71,-6,14.0
15434,515,1739,3,65,71,-6,13.0
15464,516,1740,3,65,71,-6,12.0
15494,517,1741,3,65,71,-6,11.0
15524,518,1742,3,65,71,-6,10.0
15554,519,1743,3,65,71,-6,9.0
15584,520,1744,3,65,71,-6,8.0
15614,521,1745,3,65,71,-6,7.0
15644,522,1746,3,65,71,-6,6.0
15674,523,1747,3,65,71,-6,14.0
15704,524,1748,3,65,71,-6,13.0
15734,525,1749,3,65,71,-6,12.0
15764,526,1750,3,65,71,-6,11.0
15794,527,1751,3,65,71,-6,24.0
15824,528,1752,3,65,71,-6,23.0
15854,529,1753,3,65,71,-6,22.0
15884,530,1754,3,65,71,-6,21.0
15914,531,1755,3,65,71,-6,20.0
15944,532,1756,3,65,71,-6,19.0
15974,533,1757,3,65,71,-6,18.0
16003,534,1758,3,65,71,-6,17.0
16033,535,1759,3,65,71,-6,16.0
16063,536,1760,3,65,71,-6,15.0
16093,537,1761,3,65,71,-6,14.0
16123,538,1762,3,65,71,-6,13.0
16153,539,1763,3,65,71,-6,12.0
16183,540,1764,3,65,71,-6,11.0
16213,541,1765,3,65,71,-6,10.0
16243,542,1766,3,65,71,-6,9.0
16273,543,1767,3,65,71,-6,8.0
16303,544,1768,3,65,71,-6,7.0
16333,545,1769,3,65,71,-6,6.0
16363,546,1770,3,65,71,-6,5.0
16393,547,1771,3,65,71,-6,14.0
16423,548,1772,3,65,71,-6,13.0
16453,549,1773,3,65,71,-6,12.0
16483,550,1774,3,65,71,-6,11.0
16513,551,1775,3,65,71,-6,10.0
16543,552,1776,3,65,71,-6,9.0
16573,553,1777,3,65,71,-6,8.0
16603,554,1778,3,65,71,-6,7.0
16633,555,1779,3,65,71,-6,6.0
16663,556,1780,3,65,71,-6,5.0
16693,557,1781,3,65,73,-8,24.0
16723,558,1782,3,65,73,-8,23.0
16753,559,1783,3,65,73,-8,22.0
16783,560,1784,3,65,73,-8,21.0
16813,561,1785,3,65,73,-8,20.0
16843,562,1786,3,65,73,-8,19.0
16873,563,1787,3,65,73,-8,18.0
16903,564,1788,3,65,73,-8,17.0
16933,565,1789,3,65,73,-8,16.0
16963,566,1790,3,65,73,-8,15.0
16992,567,1791,3,65,73,-8,14.0
17022,568,1792,3,65,73,-8,13.0
17052,569,1793,3,65,73,-8,12.0
17082,570,1794,3,65,73,-8,11.0
17112,571,1795,3,65,73,-8,10.0
17142,572,1796,3,65,73,-8,9.0
17172,573,1797,3,65,73,-8,8.0
17202,574,1798,3,65,73,-8,7.0
17232,575,1799,3,65,73,-8,6.0
17262,576,1800,3,65,73,-8,14.0
17292,577,1801,3,65,73,-8,13.0
17322,578,1802,3,65,73,-8,12.0
17352,579,1803,3,65,73,-8,11.0
17382,580,1804,3,65,73,-8,10.0
17412,581,1805,3,65,73,-8,9.0
17442,582,1806,3,65,73,-8,8.0
17472,583,1807,3,65,73,-8,7.0
17502,584,1808,3,65,73,-8,6.0
17532,585,1809,3,65,73,-8,5.0
17562,586,1810,3,65,73,-8,4.0
17592,587,1811,3,65,73,-8,24.0
17622,588,1812,3,65,73,-8,23.0
17652,589,1813,3,65,73,-8,22.0
17682,590,1814,3,65,73,-8,21.0
17712,591,1815,3,65,73,-8,20.0
17742,592,1816,3,65,73,-8,19.0
17772,593,1817,3,65,73,-8,18.0
17802,594,1818,3,65,73,-8,17.0
17832,595,1819,3,65,73,-8,16.0
17862,596,1820,3,65,73,-8,15.0
17892,597,1821,3,65,73,-8,14.0
17922,598,1822,3,65,73,-8,13.0
17952,599,1823,3,65,73,-8,12.0
17982,600,1824,3,65,73,-8,11.0
18011,601,1825,3,65,73,-8,10.0
18041,602,1826,3,65,73,-8,9.0
18071,603,1827,3,65,73,-8,8.0
18101,604,1828,3,65,73,-8,7.0
18131,605,1829,3,65,73,-8,6.0
18161,606,1830,3,65,73,-8,5.0
18191,607,1831,3,65,73,-8,14.0
18221,608,1832,3,65,73,-8,13.0
18251,609,1833,3,65,73,-8,12.0
18281,610,1834,3,65,73,-8,11.0
18311,611,1835,3,65,73,-8,10.0
18341,612,1836,3,65,75,-10,24.0
18371,613,1837,3,65,75,-10,23.0
18401,614,1838,3,65,75,-10,22.0
18431,615,1839,3,65,75,-10,21.0
18461,616,1840,3,65,75,-10,20.0
18491,617,1841,3,65,75,-10,19.0
18521,618,1842,3,65,75,-10,18.0
18551,619,1843,3,65,75,-10,17.0
18581,620,1844,3,65,75,-10,16.0
18611,621,1845,3,65,75,-10,15.0
18641,622,1846,3,65,75,-10,14.0
18671,623,1847,3,65,75,-10,13.0
18701,624,1848,3,65,75,-10,12.0
18731,625,1849,3,65,75,-10,11.0
18761,626,1850,3,65,75,-10,10.0
18791,627,1851,3,65,75,-10,9.0
18821,628,1852,3,65,75,-10,8.0
18851,629,1853,3,65,75,-10,7.0
18881,630,1854,3,65,75,-10,6.0
18911,631,1855,3,65,75,-10,5.0
18941,632,1856,3,65,75,-10,4.0
18971,633,1857,3,67,75,-8,24.0
19000,634,1858,3,67,75,-8,23.0
19030,635,1859,3,67,75,-8,22.0
19060,636,1860,3,67,75,-8,21.0
19090,637,1861,3,67,75,-8,20.0
19120,638,1862,3,67,75,-8,19.0
19150,639,1863,3,67,75,-8,18.0
19180,640,1864,3,67,75,-8,17.0
19210,641,1865,3,67,75,-8,16.0
19240,642,1866,3,67,75,-8,15.0
19270,643,1867,3,67,75,-8,14.0
19300,644,1868,3,67,75,-8,13.0
19330,645,1869,3,67,75,-8,12.0
19360,646,1870,3,67,75,-8,11.0
19390,647,1871,3,67,75,-8,10.0
19420,648,1872,3,67,75,-8,14.0
19450,649,1873,3,67,75,-8,13.0
19480,650,1874,3,67,75,-8,12.0
19510,651,1875,3,67,75,-8,11.0
19540,652,1876,3,67,75,-8,10.0
19570,653,1877,3,67,75,-8,9.0
19600,654,1878,3,67,75,-8,8.0
19630,655,1879,3,67,75,-8,7.0
19660,656,1880,3,67,75,-8,6.0
19690,657,1881,3,67,75,-8,5.0
19720,658,1882,3,67,75,-8,4.0
19750,659,1883,3,67,75,-8,14.0
