source_name,arm,draw_j,endpoint_definition,float_extent_s,rational_extent_s,rational_extent_exact,extent_delta_s,float_within_bar,rational_within_bar,bar_outcome_changed,serialization_explains_change,float_reason,rational_reason
nba__Ktu6yFS9iMo_s4974.mp4,A_legacy_frame_cap_3000,11,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__Ktu6yFS9iMo_s4974.mp4,A_legacy_frame_cap_3000,11,last_admitted,50.033322000000,50.033322222222,4502999/90000,0.000000222222,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__Ktu6yFS9iMo_s4974.mp4,B_g401_fps_frame_cap,11,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__Ktu6yFS9iMo_s4974.mp4,B_g401_fps_frame_cap,11,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__Ktu6yFS9iMo_s4974.mp4,C_proposed_pts_stop,11,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,DEADLINE,DEADLINE
nba__Ktu6yFS9iMo_s4974.mp4,C_proposed_pts_stop,11,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__L7o4UCIIqS4_s1373.mp4,A_legacy_frame_cap_3000,12,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__L7o4UCIIqS4_s1373.mp4,A_legacy_frame_cap_3000,12,last_admitted,50.033322000000,50.033322222222,4502999/90000,0.000000222222,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__L7o4UCIIqS4_s1373.mp4,B_g401_fps_frame_cap,12,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__L7o4UCIIqS4_s1373.mp4,B_g401_fps_frame_cap,12,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__L7o4UCIIqS4_s1373.mp4,C_proposed_pts_stop,12,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,DEADLINE,DEADLINE
nba__L7o4UCIIqS4_s1373.mp4,C_proposed_pts_stop,12,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__L7o4UCIIqS4_s5222.mp4,A_legacy_frame_cap_3000,13,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__L7o4UCIIqS4_s5222.mp4,A_legacy_frame_cap_3000,13,last_admitted,50.033311000000,50.033311111111,2251499/45000,0.000000111111,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__L7o4UCIIqS4_s5222.mp4,B_g401_fps_frame_cap,13,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__L7o4UCIIqS4_s5222.mp4,B_g401_fps_frame_cap,13,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
