source_id,draw_j,source,format_id,ext,resolution,height,fps,protocol,vcodec
SCuv58Dsehg,3,listing,311,mp4,1280x720,720,50.0,m3u8,avc1.640020
SCuv58Dsehg,3,listing,298,mp4,1280x720,720,50.0,https,avc1.640020
SCuv58Dsehg,3,listing,312,mp4,1920x1080,1080,50.0,m3u8,avc1.64002A
SCuv58Dsehg,3,listing,299,mp4,1920x1080,1080,50.0,https,avc1.64002a
SCuv58Dsehg,3,metadata,sb3,mhtml,48x27,27,0.29411764705882354,mhtml,none
SCuv58Dsehg,3,metadata,sb2,mhtml,80x45,45,0.20588235294117646,mhtml,none
SCuv58Dsehg,3,metadata,sb1,mhtml,160x90,90,0.20588235294117646,mhtml,none
SCuv58Dsehg,3,metadata,sb0,mhtml,320x180,180,0.20588235294117646,mhtml,none
SCuv58Dsehg,3,metadata,233,mp4,audio only,,,m3u8_native,none
SCuv58Dsehg,3,metadata,234,mp4,audio only,,,m3u8_native,none
SCuv58Dsehg,3,metadata,139,m4a,audio only,,,https,none
SCuv58Dsehg,3,metadata,140,m4a,audio only,,,https,none
SCuv58Dsehg,3,metadata,251,webm,audio only,,,https,none
SCuv58Dsehg,3,metadata,269,mp4,256x144,144,25.0,m3u8_native,avc1.4D400C
SCuv58Dsehg,3,metadata,160,mp4,256x144,144,25,https,avc1.4d400c
SCuv58Dsehg,3,metadata,230,mp4,640x360,360,25.0,m3u8_native,avc1.4D401E
SCuv58Dsehg,3,metadata,134,mp4,640x360,360,25,https,avc1.4d401e
SCuv58Dsehg,3,metadata,605,mp4,640x360,360,25.0,m3u8_native,vp09.00.21.08
SCuv58Dsehg,3,metadata,243,webm,640x360,360,25,https,vp9
SCuv58Dsehg,3,metadata,311,mp4,1280x720,720,50.0,m3u8_native,avc1.640020
SCuv58Dsehg,3,metadata,298,mp4,1280x720,720,50,https,avc1.640020
SCuv58Dsehg,3,metadata,312,mp4,1920x1080,1080,50.0,m3u8_native,avc1.64002A
SCuv58Dsehg,3,metadata,299,mp4,1920x1080,1080,50,https,avc1.64002a
N-AM_AtzV1s,4,listing,sb2,mhtml,48x27,27,0.0,mhtml,images
N-AM_AtzV1s,4,listing,sb1,mhtml,60x45,45,0.0,mhtml,images
N-AM_AtzV1s,4,listing,sb0,mhtml,120x90,90,0.0,mhtml,images
N-AM_AtzV1s,4,listing,269,mp4,192x144,144,30.0,m3u8,avc1.4D400C
N-AM_AtzV1s,4,listing,160,mp4,192x144,144,30.0,https,avc1.4d400c
N-AM_AtzV1s,4,listing,230,mp4,480x360,360,30.0,m3u8,avc1.4D401E
N-AM_AtzV1s,4,listing,134,mp4,480x360,360,30.0,https,avc1.4d401e
N-AM_AtzV1s,4,listing,605,mp4,480x360,360,30.0,m3u8,vp09.00.21.08
N-AM_AtzV1s,4,listing,243,webm,480x360,360,30.0,https,vp9
N-AM_AtzV1s,4,listing,231,mp4,640x480,480,30.0,m3u8,avc1.4D401E
N-AM_AtzV1s,4,listing,135,mp4,640x480,480,30.0,https,avc1.4d401e
N-AM_AtzV1s,4,metadata,sb2,mhtml,48x27,27,0.013719303059404582,mhtml,none
N-AM_AtzV1s,4,metadata,sb1,mhtml,60x45,45,0.10015091233365345,mhtml,none
N-AM_AtzV1s,4,metadata,sb0,mhtml,120x90,90,0.10015091233365345,mhtml,none
N-AM_AtzV1s,4,metadata,233,mp4,audio only,,,m3u8_native,none
N-AM_AtzV1s,4,metadata,234,mp4,audio only,,,m3u8_native,none
N-AM_AtzV1s,4,metadata,139,m4a,audio only,,,https,none
N-AM_AtzV1s,4,metadata,140,m4a,audio only,,,https,none
N-AM_AtzV1s,4,metadata,251,webm,audio only,,,https,none
N-AM_AtzV1s,4,metadata,269,mp4,192x144,144,30.0,m3u8_native,avc1.4D400C
