ledger_key,rows,sport,status,in_corpus_scan,rows_lt_50,ledger_path,ledger_bytes,ledger_sha256
hOtf1-DI88w_s6680,000000,nba,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
lnb-3_eNM4ikjzY_s1434,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
lnb-oNjFF2XRKgA_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
lnb-ouDVA0vM20g_s1379,004361,basketball,tracked,True,False,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
m7K0J4wzDn4_s2070,000000,nba,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
m7K0J4wzDn4_s4050,000000,nba,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
mia_bkn_2025,000037,nba,tracked,False,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
nba_highlights_gsw,000000,nba,thin,False,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
nbl-YqB41CtbFqA_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
ncaaw-2u7_bVcenTg_s5074,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
phi_tor_2025,000000,nba,thin,False,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
sac_por_2025,000000,nba,thin,False,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
