section_path,sha256,bytes,game_id,ledger_rows,ledger_entry_present,width,height,frame_count,valid_frames,bytes_per_frame,mean_abs_delta,near_identical_share,liveness,error
/workspace/nba-ai-system/data/footage_corpus/basketball__lnb-ouDVA0vM20g_s1379.mp4,8914fc9cf7aba7e461af02cb5d12cc97fd91689ca70844504589d308f2efc17c,66705562,lnb-ouDVA0vM20g,000000,True,001920,001080,003991,000058,16713.996993,28.340513,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__nbl-YqB41CtbFqA_s90.mp4,4fbfc2adb06f45cb78318a00b02a98685d12a9b751dab6363b9da4f00b6d39d8,39379479,nbl-YqB41CtbFqA,000000,True,001920,001080,003363,000058,11709.628011,19.971566,0.421053,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__ncaaw-2u7_bVcenTg_s5074.mp4,648e9547ccaec03a174a68f2f7748e239b75100decce2caadf60f12c423dee2d,94325881,ncaaw-2u7_bVcenTg,000000,True,001920,001080,008060,000058,11702.962903,57.304825,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/nba__0022500081_s2436.mp4,0ec016b7608ad7606e1dbf6d1695692efd455df5079bcdf8c94d97f6bacd1608,33120099,0022500081,000000,True,001280,000720,004021,000060,8236.781646,39.103766,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/nba__0022500081_s357.mp4,079aa75b62764c3a1ecb7951b36a53f8c82e5e9b3c5e450ce488c4529a1d8852,29931165,0022500081,000002,True,001280,000720,004051,000060,7388.586769,46.225058,0.135593,LIVE,
/workspace/nba-ai-system/data/footage_corpus/nba__0022500081_s4812.mp4,03e66b6b172a494f0df5857a9394bbeec15c65868a6db15bcaae03cf9322b997,34065292,0022500081,000000,True,001280,000720,003941,000060,8643.819335,56.474519,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/nba__0022500081_s8673.mp4,1fcbff5ebfc71659096c7c55ce50dc41b0585d91ff6ddea09caf5814e4d36ae4,6943784,0022500081,000000,True,001280,000720,003931,000060,1766.416688,15.757029,0.016949,FROZEN,
/workspace/nba-ai-system/data/footage_corpus/nba__0022500575_s4500.mp4,e236c9ce90e5013ddc18c7dbbabfdc8c6f11479f4e7e7ce27ba278cef2c65d70,8197108,0022500575,000000,True,000640,000360,004043,000057,2027.481573,35.249762,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/nba__0022500575_s9300.mp4,2188de44369c872beb00488649e6d0f641821d1b597f835231d6d0aeb045a01c,3380672,0022500575,000000,True,000640,000360,003899,000059,867.061298,3.199121,0.086207,LIVE,
/workspace/nba-ai-system/data/footage_corpus/nba__0022500592_s2700.mp4,7a781892a9e8c4739112dd218c79a2f2e500d6fce085e53e783d40d44175d82c,9320310,0022500592,000000,True,000640,000360,003953,000059,2357.781432,37.641554,0.000000,LIVE,
