arm,game,game_date,n_ticks,loss_arm_sum,loss_incumbent_sum,loss_market_sum
hot_night,401703392,2024-11-19,279,16.335500571221665,16.798706834749684,17.239317749999998
hot_night,401703393,2024-11-19,258,0.4170491527192913,0.38648616548134807,0.32121324999999995
hot_night,401703394,2024-11-19,265,45.79138452399071,49.68476473965489,49.522312
hot_night,401703395,2024-11-19,263,1.3089128663154797,0.8955813299603012,0.7724084999999996
hot_night,401703396,2024-11-22,268,17.210348355150042,20.34911917284706,19.51954475
hot_night,401703397,2024-11-22,281,6.308193325287721,3.8919586784534927,3.839448499999999
hot_night,401703398,2024-11-22,267,3.5795768773473986,3.7811749371880805,3.4198130000000004
hot_night,401703399,2024-11-22,256,17.153212404137882,17.60150265234515,16.963114250000007
hot_night,401703400,2024-11-22,257,1.5110236895090632,1.2207240613894785,1.0757545000000002
hot_night,401703401,2024-11-22,275,10.37304558517461,7.042994065563364,7.048433
hot_night,401703402,2024-11-22,275,26.70791368301192,28.701568349234236,29.510604999999998
hot_night,401703403,2024-11-22,254,9.875126815126572,9.672482548059937,9.21722525
hot_night,401703419,2024-12-03,271,4.846882896069657,5.796643953051378,5.812179250000001
hot_night,401703420,2024-12-03,266,0.2909486448067291,0.14452742151179201,0.11815824999999995
hot_night,401703421,2024-12-03,265,5.4248034625196135,5.288877811829742,5.36028025
hot_night,401703422,2024-12-03,285,3.457954185768352,3.8003887232105593,3.5373699999999992
hot_night,401703423,2024-12-03,274,9.193662804085799,10.29754552134584,9.762765749999998
hot_night,401703424,2024-12-03,270,1.1557100541250895,0.7022162128805524,0.6014837499999999
hot_night,401703425,2024-12-03,290,50.523912393310326,50.20356198279683,49.649109
hot_night,401703426,2024-12-03,271,4.493920598445648,4.600936780238794,4.166808
hot_night,401703427,2024-12-03,290,29.954581724713496,30.761000245278474,29.904385249999997
hot_night,401703428,2024-12-03,276,23.135788891716977,26.843112849819907,26.16656025
hot_night,401703429,2024-12-03,266,4.347332773244088,3.7204028300167753,3.3440192499999997
hot_night,401704627,2024-10-22,254,2.0306447499999996,2.0306447499999996,2.0306447499999996
hot_night,401704628,2024-10-22,273,13.121142250000002,13.121142250000002,13.121142250000002
hot_night,401704629,2024-10-23,294,34.455813250000006,34.455813250000006,34.455813250000006
hot_night,401704630,2024-10-23,302,13.76374725,13.76374725,13.76374725
hot_night,401704631,2024-10-23,391,37.42813100000001,37.42813100000001,37.42813100000001
hot_night,401704632,2024-10-23,287,6.9119832500000005,6.9119832500000005,6.9119832500000005
hot_night,401704633,2024-10-23,302,5.903910250000001,5.903910250000001,5.903910250000001
hot_night,401704634,2024-10-23,361,83.48192999999998,83.48192999999998,83.48192999999998
hot_night,401704637,2024-10-23,291,31.45559725,31.45559725,31.45559725
hot_night,401704641,2024-10-24,259,19.780706499999997,19.780706499999997,19.780706499999997
hot_night,401704642,2024-10-24,288,46.3038285,46.3038285,46.3038285
hot_night,401704643,2024-10-25,529,3.1619257499999995,3.1619257499999995,3.1619257499999995
hot_night,401704644,2024-10-25,476,35.65361075,35.65361075,35.65361075
hot_night,401704645,2024-10-25,447,7.06612425,7.06612425,7.06612425
hot_night,401704646,2024-10-25,445,2.771936,2.771936,2.771936
hot_night,401704647,2024-10-25,450,6.533717000000002,6.533717000000002,6.533717000000002
hot_night,401704648,2024-10-25,417,28.242942,28.242942,28.242942
hot_night,401704649,2024-10-25,413,52.84125749999999,52.84125749999999,52.84125749999999
hot_night,401704651,2024-10-25,299,47.5961705,47.5961705,47.5961705
hot_night,401704653,2024-10-26,286,51.40392525,51.40392525,51.40392525
hot_night,401704654,2024-10-26,300,6.556089000000001,6.556089000000001,6.556089000000001
hot_night,401704655,2024-10-26,298,6.058558,6.058558,6.058558
hot_night,401704656,2024-10-26,297,2.6644695,2.6644695,2.6644695
hot_night,401704657,2024-10-26,477,2.31145475,2.31145475,2.31145475
hot_night,401704658,2024-10-26,483,6.0064047500000015,6.0064047500000015,6.0064047500000015
hot_night,401704659,2024-10-26,476,0.21115625000000002,0.21115625000000002,0.21115625000000002
hot_night,401704661,2024-10-26,362,22.37299175,22.37299175,22.37299175
hot_night,401704662,2024-10-26,335,20.43638175,20.43638175,20.43638175
hot_night,401704663,2024-10-27,642,79.8941975,79.8941975,79.8941975
hot_night,401704664,2024-10-27,492,46.86603424999999,46.86603424999999,46.86603424999999
hot_night,401704666,2024-10-27,436,8.124440749999998,8.124440749999998,8.124440749999998
hot_night,401704668,2024-10-28,295,26.342301749999997,26.342301749999997,26.342301749999997
hot_night,401704670,2024-10-28,286,9.298053,9.298053,9.298053
hot_night,401704671,2024-10-28,288,7.281311499999999,7.281311499999999,7.281311499999999
hot_night,401704672,2024-10-28,289,51.432874500000004,51.432874500000004,51.432874500000004
hot_night,401704673,2024-10-28,304,42.57170425,42.57170425,42.57170425
hot_night,401704674,2024-10-28,276,84.125658,84.125658,84.125658
hot_night,401704677,2024-10-28,556,34.74362825,34.74362825,34.74362825
hot_night,401704678,2024-10-28,502,1.4373092500000002,1.4373092500000002,1.4373092500000002
hot_night,401704679,2024-10-29,564,42.05903575000001,42.05903575000001,42.05903575000001
hot_night,401704680,2024-10-29,490,38.914356749999996,38.914356749999996,38.914356749999996
hot_night,401704681,2024-10-29,400,3.47719125,3.47719125,3.47719125
hot_night,401704682,2024-10-29,425,44.811172,44.811172,44.811172
hot_night,401704683,2024-10-30,290,9.6770815,9.6770815,9.6770815
hot_night,401704684,2024-10-30,275,2.99668775,2.99668775,2.99668775
hot_night,401704685,2024-10-30,298,30.507611,30.507611,30.507611
hot_night,401704686,2024-10-30,280,24.80884375,24.80884375,24.80884375
hot_night,401704687,2024-10-30,291,58.968579500000004,58.968579500000004,58.968579500000004
hot_night,401704688,2024-10-30,269,31.647425,31.647425,31.647425
hot_night,401704689,2024-10-30,291,68.80612475,68.80612475,68.80612475
hot_night,401704690,2024-10-30,322,56.74231400000001,56.74231400000001,56.74231400000001
hot_night,401704691,2024-10-30,913,0.87621575,0.87621575,0.87621575
