stable_key,game_id,player_id,date,split_id,fold_status,baseline_minutes_crps,baseline_dnp_brier,baseline_dnp_logloss,baseline_pinball_q10,baseline_pinball_q50,baseline_pinball_q90,baseline_inside80,candidate_minutes_crps,candidate_dnp_brier,candidate_dnp_logloss,candidate_pinball_q10,candidate_pinball_q50,candidate_pinball_q90,candidate_inside80
0022300063|1630552,0022300063,1630552,2023-10-25,0,SCORED,29.0,1.0,27.631021115928547,2.9000000000000004,14.5,26.1,0.0,29.0,1.0,27.631021115928547,2.9000000000000004,14.5,26.1,0.0
0022300063|1631109,0022300063,1631109,2023-10-25,0,SCORED,30.0,1.0,27.631021115928547,3.0,15.0,27.0,0.0,30.0,1.0,27.631021115928547,3.0,15.0,27.0,0.0
0022300063|1641706,0022300063,1641706,2023-10-25,0,SCORED,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0,25.0,1.0,27.631021115928547,2.5,12.5,22.5,0.0
0022300063|1641733,0022300063,1641733,2023-10-25,0,SCORED,1.0,1.0,27.631021115928547,0.1,0.5,0.9,0.0,1.0,1.0,27.631021115928547,0.1,0.5,0.9,0.0
0022300064|-4277883,0022300064,-4277883,2023-10-25,0,SCORED,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0
0022300064|-4066410,0022300064,-4066410,2023-10-25,0,SCORED,8.0,1.0,27.631021115928547,0.8,4.0,7.2,0.0,8.0,1.0,27.631021115928547,0.8,4.0,7.2,0.0
0022300064|-2490089,0022300064,-2490089,2023-10-25,0,SCORED,8.0,1.0,27.631021115928547,0.8,4.0,7.2,0.0,8.0,1.0,27.631021115928547,0.8,4.0,7.2,0.0
0022300064|-3428,0022300064,-3428,2023-10-25,0,SCORED,17.0,1.0,27.631021115928547,1.7000000000000002,8.5,15.3,0.0,17.0,1.0,27.631021115928547,1.7000000000000002,8.5,15.3,0.0
0022300064|204456,0022300064,204456,2023-10-25,0,SCORED,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0,6.0,1.0,27.631021115928547,0.6000000000000001,3.0,5.4,0.0
0022300064|1626145,0022300064,1626145,2023-10-25,0,SCORED,28.0,1.0,27.631021115928547,2.8000000000000003,14.0,25.2,0.0,28.0,1.0,27.631021115928547,2.8000000000000003,14.0,25.2,0.0
