checkpoint_game_id,bridge_game_id,status,exclusion_reason
401704977,0022400411,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704978,0022400412,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704979,0022400413,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704980,0022400414,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704981,0022400415,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704982,0022400416,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704983,0022400417,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704984,0022400418,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704985,0022400419,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704986,0022400420,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704987,0022400421,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704988,0022400422,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704989,0022400423,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704990,0022400424,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704991,0022400425,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704992,0022400426,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704993,0022400427,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704994,0022400428,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704995,0022400429,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704996,0022400430,JOINED,
401704997,0022400431,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704998,0022400432,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704999,0022400433,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705000,0022400434,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705001,0022400435,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705002,0022400436,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705003,0022400437,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705004,0022400438,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705005,0022400439,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705006,0022400440,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705007,0022400441,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705008,0022400442,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705009,0022400443,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705010,0022400444,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705011,0022400445,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705012,0022400446,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705013,0022400447,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705014,0022400448,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705015,0022400449,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705016,0022400450,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705017,0022400451,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705018,0022400452,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705019,0022400453,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705020,0022400454,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705021,0022400455,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401705022,0022400456,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
