event_id,reason
0022400955,null_price
0022400956,null_price
0022400957,null_price
0022400958,null_price
0022400959,null_price
0022400960,null_price
0022400961,null_price
0022400962,null_price
0022400963,null_price
0022400964,null_price
0022400965,null_price
0022400966,null_price
0022400967,null_price
0022400968,null_price
0022400969,null_price
0022400970,null_price
0022400971,null_price
0022400972,null_price
0022400973,null_price
0022400974,null_price
0022400975,null_price
0022400976,null_price
0022400977,null_price
0022400978,null_price
0022400979,null_price
0022400980,null_price
0022400981,null_price
0022400982,null_price
0022400983,null_price
0022400984,null_price
0022400985,null_price
0022400986,null_price
0022400987,null_price
0022400988,null_price
0022400989,null_price
0022400990,null_price
0022400991,null_price
0022400992,null_price
0022400993,null_price
0022400994,null_price
0022400995,null_price
0022400996,null_price
0022400997,null_price
0022400998,null_price
0022400999,null_price
0022401000,null_price
0022401001,null_price
0022401002,null_price
0022401003,null_price
0022401004,null_price
0022401005,null_price
0022401006,null_price
0022401007,null_price
0022401008,null_price
0022401009,null_price
0022401010,null_price
0022401011,null_price
0022401012,null_price
0022401013,null_price
0022401014,null_price
0022401015,null_price
0022401016,null_price
0022401017,null_price
0022401018,null_price
0022401019,null_price
0022401020,null_price
0022401021,null_price
0022401022,null_price
0022401023,null_price
0022401024,null_price
0022401025,null_price
0022401026,null_price
0022401027,null_price
0022401028,null_price
0022401029,null_price
0022401030,null_price
0022401031,null_price
0022401032,null_price
0022401033,null_price
0022401034,null_price
0022401035,null_price
0022401036,null_price
0022401037,null_price
0022401038,null_price
0022401039,null_price
0022401040,null_price
0022401041,null_price
0022401042,null_price
0022401043,null_price
0022401044,null_price
0022401045,null_price
0022401046,null_price
0022401047,null_price
0022401048,null_price
0022401049,null_price
0022401050,null_price
0022401051,null_price
0022401052,null_price
0022401053,null_price
0022401054,null_price
0022401055,null_price
0022401056,null_price
0022401057,null_price
0022401058,null_price
0022401059,null_price
0022401060,null_price
0022401061,null_price
0022401062,null_price
0022401063,null_price
0022401064,null_price
0022401065,null_price
0022401066,null_price
0022401067,null_price
0022401068,null_price
0022401069,null_price
0022401070,null_price
0022401071,null_price
0022401072,null_price
0022401073,null_price
0022401074,null_price
0022401075,null_price
0022401076,null_price
0022401077,null_price
0022401078,null_price
0022401079,null_price
0022401080,null_price
0022401081,null_price
0022401082,null_price
0022401083,null_price
0022401084,null_price
0022401085,null_price
0022401086,null_price
0022401087,null_price
0022401088,null_price
0022401089,null_price
0022401090,null_price
0022401091,null_price
0022401092,null_price
0022401093,null_price
0022401094,null_price
0022401095,null_price
0022401096,null_price
0022401097,null_price
0022401098,null_price
0022401099,null_price
0022401100,null_price
0022401101,null_price
0022401102,null_price
0022401103,null_price
0022401104,null_price
0022401105,null_price
0022401106,null_price
0022401107,null_price
0022401108,null_price
0022401109,null_price
0022401110,null_price
0022401111,null_price
0022401112,null_price
0022401113,null_price
0022401114,null_price
0022401115,null_price
0022401116,null_price
0022401117,null_price
0022401118,null_price
0022401119,null_price
0022401120,null_price
0022401121,null_price
0022401122,null_price
0022401123,null_price
0022401124,null_price
0022401125,null_price
0022401126,null_price
0022401127,null_price
0022401128,null_price
0022401129,null_price
0022401130,null_price
0022401131,null_price
0022401132,null_price
0022401133,null_price
0022401134,null_price
0022401135,null_price
0022401136,null_price
0022401137,null_price
0022401138,null_price
0022401139,null_price
0022401140,null_price
0022401141,null_price
0022401142,null_price
0022401143,null_price
0022401144,null_price
0022401145,null_price
0022401146,null_price
0022401147,null_price
0022401148,null_price
0022401149,null_price
0022401150,null_price
0022401151,null_price
0022401152,null_price
0022401153,null_price
0022401154,null_price
0022401155,null_price
0022401156,null_price
0022401157,null_price
0022401158,null_price
0022401159,null_price
0022401160,null_price
0022401161,null_price
0022401162,null_price
0022401163,null_price
0022401164,null_price
0022401165,null_price
0022401166,null_price
0022401167,null_price
0022401168,null_price
0022401169,null_price
0022401170,null_price
0022401171,null_price
0022401172,null_price
0022401173,null_price
0022401174,null_price
0022401175,null_price
0022401176,null_price
0022401177,null_price
0022401178,null_price
0022401179,null_price
0022401180,null_price
0022401181,null_price
0022401182,null_price
0022401183,null_price
0022401184,null_price
0022401185,null_price
0022401186,inplay_close_source
0022401187,null_price
0022401188,inplay_close_source
0022401189,inplay_close_source
0022401190,null_price
0022401191,inplay_close_source
0022401192,inplay_close_source
0022401193,inplay_close_source
0022401194,null_price
0022401195,null_price
0022401196,null_price
0022401197,inplay_close_source
0022401198,null_price
0022401199,inplay_close_source
0022401200,inplay_close_source
0022401205,inplay_close_source
0022401206,inplay_close_source
0022401207,null_price
0022401208,inplay_close_source
0022401209,inplay_close_source
0022401210,null_price
0022401211,inplay_close_source
0022401212,null_price
0022401213,inplay_close_source
0022401214,inplay_close_source
0022401215,inplay_close_source
0022401216,null_price
0022401217,inplay_close_source
0022401218,inplay_close_source
0022401219,null_price
0022401220,null_price
0022401221,inplay_close_source
0022401222,null_price
0022401223,null_price
0022401224,null_price
0022401225,null_price
0022401226,null_price
0022401227,inplay_close_source
0022401228,null_price
0022500001,inplay_close_source
0022500002,null_price
0022500003,null_price
0022500004,null_price
0022500005,inplay_close_source
0022500006,inplay_close_source
0022500007,null_price
0022500008,null_price
0022500014,null_price
0022500015,null_price
0022500016,null_price
0022500017,null_price
0022500018,null_price
0022500019,inplay_close_source
0022500020,null_price
0022500021,null_price
0022500022,null_price
0022500023,null_price
0022500024,null_price
0022500025,null_price
0022500026,null_price
0022500027,null_price
0022500028,inplay_close_source
0022500029,null_price
0022500030,null_price
0022500031,inplay_close_source
0022500032,inplay_close_source
0022500033,inplay_close_source
0022500034,null_price
0022500035,inplay_close_source
0022500036,null_price
0022500037,inplay_close_source
0022500038,null_price
0022500039,inplay_close_source
0022500040,null_price
0022500041,inplay_close_source
0022500042,null_price
0022500044,null_price
0022500045,null_price
0022500046,null_price
0022500047,null_price
0022500048,inplay_close_source
0022500049,null_price
0022500050,inplay_close_source
0022500051,inplay_close_source
0022500052,null_price
0022500053,null_price
0022500054,inplay_close_source
0022500055,null_price
0022500056,null_price
