table,sport,sha256,rows,n_frames,harness_verdict,harness_passed,eligibility,eligibility_reason,modal_stride,modal_pairs,bar_ft,p95_ft,p999_ft,max_ft,fifth_largest_ft,above_bar_count,above_bar_rate_pct,c0_fail,c1_fail,c2_fail,c3_fail,c4_fail,c5_warning,c5_fail
npb_2iFIuWxu6HI,npb,70dec38078cd3aa6a3500bc8055d3496661964ed79cfca4878cd6b4dc2cb441a,41591,9272,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_3PwJwWdTMek,npb,a3c3501a6feb9c07bdde90687599e868332d1614e718e78339f78bbd0b8687ec,62260,9510,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_Arpw32zVTuc,npb,6410f376c95fc62bd0ba78cdc4604951721edef427ca5e8a7c56536f8e9c4665,30965,9235,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_HQfhD5Iwm7U,npb,47ef9c17765bf993c159cc9cdc42b4f491192e29ad2fd32fe58b3b0ddadee581,35142,9216,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_RIwbEjh-zTs,npb,cec32f96b7c938d643b1bee13fc4f1df3c76ab7f692a0cdf05433f8995ffcb77,36367,9242,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_V3FrwLVwCpA,npb,67eee2a23dec1abeb202f0a530ebf32af0fcb66d4a3b7615768bb0e806b68bba,30831,9199,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_XGhDpaeFSKc,npb,f7d12bebfcd1fefd1358e567752350ef27be35c0b9e637a1db735b5e8546f1fc,33729,9038,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_YI146E0gNnA,npb,1d7749c39ffdc9f79895aceeb9b8b5b2de5baf33b8d9c524aeec13d37d28a5e1,42827,8590,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_aEpT4HU_ilg,npb,1f32a350204c04778a38d8e12b04b00ba1f20a0919ecfabfba38f2fed9ce94ff,34836,9002,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_dTLgOoX4nhc,npb,38961f0c688c359afcf48c1478fca03af21a429fb463e128ff6f4d62fe0de52f,34698,8965,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_jm2Ocr-LAtc,npb,bfcd1d0370cedaf2b84dafdf9a198ea355e18eb2fe3b51a2e81c24c2e0642906,36626,9285,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_kqPv-_WwWLk,npb,71b2b42c645d0b02189bd2a93bc26cdaa580547247aa61670459ef8199b15f50,24431,9087,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_ul7Kq_Km7eA,npb,84c4cf136e5e077190384c4c1824f75ce06ecf559d6d3880024f54a04d2d8874,47683,9442,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_wZgoTPoZXKM,npb,c5ed3892666cd5935f40b9a65f59f20d23a215f733675c8aff70b826279495d2,36632,8597,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_-YbZsM26GDI,soccer,4bc9e176bcf671b5898203907585dfe80b543557dee1b25ebfebbcc9b76f44ce,7221,662,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
soccer_6dIn3fUfI6U,soccer,dd79e238462b4b4335cfa1acc4a29992df87f0a87cfcbfb2d93d0f7ec279d19a,96168,8122,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_7fOG8j_ncWY,soccer,d15e4ed578c8d8de9df56d66c82c9b0ad9761bdc3e3a4704e04d3ebdf80e6f00,68211,6573,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_8_DRy2i5-hs,soccer,58e78354d05885dec603fc79a903d910caafab6fe7b858ab4e2d638407f112cb,75954,6818,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_A9ad17VZvs8,soccer,9c0531c3f530e37ad700e8d1efcad52d6c519cfb79c73cccb23233f30f7f9741,6126,907,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_AgspyOj5BPk,soccer,70a0e3435729ca811c691d8f5821c54f3ba355c18276cdd43c8b17c14040bc43,107232,7271,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_Cn26lFZ0_jI,soccer,815686de18954ea13497cc3cfc3aca2af233167a25f318e1c7f370b572c42366,64359,5371,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_DdnvC6-PGYY,soccer,8ef24365cb4938f419876cb1d054025b93484410b44f08bb4f101d6b6d78eccd,34728,3176,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_EKhrdU9bVZA,soccer,4d10c28d262ad323397d74a5e3e50a027d962ff7ca5d3e51b75404e834fa1889,90058,7710,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_GF-WteOINCc,soccer,dc0776addecb82aee33bafb492401f136d4470e1c1f86f171ac297eb2b292530,80980,6765,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_HkN1E3HESS8,soccer,4dc451abf6255c31ff7d2fd66302469384c80e06e9efd4216271c0485a471b67,1632,680,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
soccer_HxBqMbI5kqQ,soccer,9c94f9b03595c8d52e45d8fd4aec03189f65b3cad8df52a048238e402a5a3880,91744,7979,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_JIQnnYy7qYk,soccer,cd4cec1b6fe665e97e3d4c4f61c1c961bbf278d7fe14004c1104766adb8afdd2,88867,6632,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_JLMH7eUeJBY,soccer,bd4d7b1911494d9999c20fa9460036e9185e1f91afabc5d15a0f05a83aa170b4,26361,3656,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
soccer_Pbyn08kfhXY,soccer,3ccefd073bb2ca536305632c4141a7ea2a1add868e136303b290c215070486a1,81222,7699,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_QIpZ1pad73w,soccer,a95f5fb41e9eaa6236db792aa83536daff2e4616ee44c28305090302decbd096,110774,7071,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_Z6NTDyxcODs,soccer,286ab462c87fcffef40bddd260abc190b9ed9a8e601f277079c804f9bc793fae,29785,5059,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
soccer_c1mzmBGHQr4,soccer,259b5b987070d5c2e16b331babb523fc6b31aec1f3de2255c6d2d444429f1292,523,292,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
soccer_cKXZysISV4w,soccer,d4ece195284a301c3a0c001bd0cbffb151d27942a0ee12c6cf90c7129abdfe5d,98261,8333,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_cS4OpYJ0Pps,soccer,8ea54be57ee8260d8aee08ecab15b8209d8c31aafbea9c1df8ee85a74e2a15d6,97339,9743,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_ci4vyd6PsNg,soccer,efed8c21f14f4349f6763c0366c79ae8cc3e4038508f376b256399b73ba9b81a,102639,7523,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
soccer_dnR5C6WLJI4,soccer,19ea906d5c7c7c24ada86b7613348471a1bd1c8c7b720753edc908f3b1b60608,4111,933,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
soccer_kSgNjoaqCpI,soccer,7b8be17437624abad17dedc1898ce9914c4d78e5074bd0be5f0901cde08e53ab,5025,1511,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
soccer_lv2CukQcR5s,soccer,f1fe2d0e5fd5f89f2c595091f84f8d5c6c4580a4eb8dbfe576685cea4950dbde,40624,5076,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
soccer_y0-6FHIaiZA,soccer,db79f2a990c0814d2eb6aa780eb08a2e81f57fc05e7d75017c73b1e2213e98db,11710,1337,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
tennis_01,tennis,5be90ecdc658ae94eb68ed10b21a425af0c369a8fe61832c35045fda9eb33fbd,9547,4510,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
tennis_02,tennis,854d6e1d5de50e333714a6c24a623b4cace433a090d7c84a93196b65cc6c6fb0,2421,1951,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
tennis_03,tennis,9cf2fcab44180e0171f993b5989a935db5e203e7100f4bfa240a1a55384fbeed,5610,3392,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
tennis_04,tennis,4297b826c50896a0406ed9118d48729d426416347a9f421fee647c3041ec6221,7492,3789,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
tennis_05,tennis,15c5b527783c744f17b30af7f47bc830552fbebf9642b838d6239e26484d7a38,4303,2905,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
tennis_06,tennis,69a10378d87fbb805328f53615a813df64e45fe4bae25b8ad35b5d8073ae074e,0,0,INSUFFICIENT_DATA,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
tennis_07,tennis,109a314b7bf816cdbb67ae2dace9faeb871f7d26b6689b151d3b57458a2a0a77,8,4,INSUFFICIENT_DATA,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
tennis_08,tennis,f5b22782558b191d1bd5ec64de505625e0fa3eccdb89e9a852bb5e7da3189921,228,93,FAIL,false,eligible,,2,120,8.000000,1.905946,2.840677,2.849092,2.028941,0,0.000000,false,false,false,false,false,false,false
tennis_09,tennis,50d4d00fca3ec6eb082149e16d7f9169f4e6a73c96b226113a70396613f946ff,4,2,INSUFFICIENT_DATA,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
tennis_10,tennis,69a10378d87fbb805328f53615a813df64e45fe4bae25b8ad35b5d8073ae074e,0,0,INSUFFICIENT_DATA,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
tennis_3x3eEWCZmWQ,tennis,84c788693caa536e4c5db6e639c7aa25233847ae7867728bdd5b5252e17a98bc,266,101,FAIL,false,eligible,,2,116,8.000000,1.105036,20.889417,23.380788,1.167983,1,0.862069,false,true,false,false,true,true,true
tennis_459iho5_AFs,tennis,69a10378d87fbb805328f53615a813df64e45fe4bae25b8ad35b5d8073ae074e,0,0,INSUFFICIENT_DATA,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
tennis_nyYk2nPZAwY,tennis,ecb7bd0139e2a66110eda424ee349658500ec0e5d208d0e578e97a49909c9c68,415,160,FAIL,false,eligible,,2,190,8.000000,1.323486,8.797575,9.792663,2.174531,1,0.526316,false,true,false,false,true,true,true
test720_4MoMewm2j-o,UNKNOWN,93935e4140b863276c1627d05f160c23ca72dca62d1e7584ab98249c62b2158d,29830,5896,,,excluded,unknown_sport_prefix,,,,,,,,,,,,,,,,
wnba_01,wnba,d5d963a9cb9a3a9f6c5d1666a9453be0a8e5fe84f9526fbfedda34678b7f7d00,4855,999,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
wnba_02,wnba,e759d4315d6f8ae56d81c8346ab9533b3554f4591ef66eb64d3038ee84bccdc7,5342,1000,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
wnba_03,wnba,cf98388942f377a473ee0269fa7b31004e9aa0957c8d2e75677e1d7b85644ace,2380,971,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
wnba_04,wnba,dd2a356fbc6d3581669b5306ed79e58cfcfb16804ef77cce42f13878c7941647,4906,997,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
wnba_05,wnba,35f923c610e769c96de798230f7fccb193ebd65e58794b99653da466989cc49a,2230,547,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
wnba_kangps_g1,wnba,e5f1144590cd3f1e37bb04c28deae9ae073b39b01b2ddc8a52d30cde82a46dcf,38424,5730,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
wnba_kangps_g2,wnba,a091ff17a875b40af590ff852069df1f17123efe63e90731e26229d6e2babb50,29850,5987,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
