section_name,arm,mode,gate,measurement,threshold_v1,status_v1,threshold_v2,status_v2,direction
AIMOY6CoQKI_s90,A5_BALL_SHIFT,M1,median_step_distance,20.615528128088304,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s1176,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s1176,A0,M1,median_step_distance,16.1245154965971,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s1176,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s1176,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s1176,A2_ID_MERGE,M0,median_step_distance,1.4142135623730951,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s1176,A2_ID_MERGE,M1,median_step_distance,50.20456146077113,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s1176,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s1176,A5_BALL_SHIFT,M1,median_step_distance,16.1245154965971,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s2262,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s2262,A0,M1,median_step_distance,34.53533039653912,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s2262,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s2262,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s2262,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s2262,A2_ID_MERGE,M1,median_step_distance,2767.9122095904704,8.408436,REJECT,76.995468,REJECT,max
IeGm750cb90_s2262,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s2262,A5_BALL_SHIFT,M1,median_step_distance,34.53533039653912,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s3348,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s3348,A0,M1,median_step_distance,8.531128874149275,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s3348,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s3348,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s3348,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s3348,A2_ID_MERGE,M1,median_step_distance,167.29913329123974,8.408436,REJECT,76.995468,REJECT,max
IeGm750cb90_s3348,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s3348,A5_BALL_SHIFT,M1,median_step_distance,8.531128874149275,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s4434,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s4434,A0,M1,median_step_distance,19.026297590440446,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s4434,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s4434,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s4434,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s4434,A2_ID_MERGE,M1,median_step_distance,283.0017667789373,8.408436,REJECT,76.995468,REJECT,max
IeGm750cb90_s4434,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s4434,A5_BALL_SHIFT,M1,median_step_distance,19.026297590440446,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s5520,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
IeGm750cb90_s5520,A0,M1,median_step_distance,17.41864395764652,8.408436,REJECT,76.995468,PASS,max
IeGm750cb90_s5520,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
