frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
31,0.517,6,green,3136,655,0.0,0.0,0.0,paint,0,,,200.2,none,147888.0,3052.5,950.0,2,0,,0.0,735,183,1205,463,,,0.0,231.0,0.0,0,0,32,0,1.0
32,0.534,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,147888.0,3052.5,950.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,33,0,1.0
32,0.534,4,green,3335,633,0.0,0.0,0.0,paint,0,,,200.2,none,147888.0,3052.5,950.0,2,0,,0.0,789,184,995,460,,,0.0,237.9,0.0,0,0,33,0,1.0
32,0.534,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,147888.0,3052.5,950.0,2,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,33,0,1.0
32,0.534,6,green,3136,655,0.0,0.0,0.0,paint,0,,,200.2,none,147888.0,3052.5,950.0,2,0,,0.0,736,183,1205,463,,,0.0,231.0,0.0,0,0,33,0,1.0
33,0.551,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,147888.0,3052.5,950.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,34,0,1.0
33,0.551,4,green,3335,633,0.0,0.0,0.0,paint,0,,,200.2,none,147888.0,3052.5,950.0,2,0,,0.0,789,184,995,460,,,0.0,237.9,0.0,0,0,34,0,1.0
33,0.551,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,147888.0,3052.5,950.0,2,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,34,0,1.0
33,0.551,6,green,3136,655,0.0,0.0,0.0,paint,0,,,200.2,none,147888.0,3052.5,950.0,2,0,,0.0,736,183,1205,463,,,0.0,231.0,0.0,0,0,34,0,1.0
34,0.567,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,35,0,1.0
34,0.567,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,367786.5,3031.6,770.0,2,0,,0.0,160,184,365,460,,,0.0,860.5,0.0,0,0,35,0,1.0
34,0.567,4,green,3335,633,0.0,0.0,0.0,paint,0,,,200.2,none,367786.5,3031.6,770.0,2,0,,0.0,790,184,995,460,,,0.0,237.9,0.0,0,0,35,0,1.0
34,0.567,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,35,0,1.0
34,0.567,6,green,3136,655,0.0,0.0,0.0,paint,0,,,200.2,none,367786.5,3031.6,770.0,2,0,,0.0,736,183,1205,463,,,0.0,231.0,0.0,0,0,35,0,1.0
35,0.584,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,36,0,1.0
35,0.584,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,367786.5,3031.6,770.0,2,0,,0.0,160,184,365,460,,,0.0,860.5,0.0,0,0,36,0,1.0
35,0.584,4,green,3335,633,0.0,0.0,0.0,paint,0,,,200.2,none,367786.5,3031.6,770.0,2,0,,0.0,790,184,995,460,,,0.0,237.9,0.0,0,0,36,0,1.0
35,0.584,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,36,0,1.0
35,0.584,6,green,3136,655,0.0,0.0,0.0,paint,0,,,200.2,none,367786.5,3031.6,770.0,2,0,,0.0,736,183,1205,463,,,0.0,231.0,0.0,0,0,36,0,1.0
36,0.601,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,37,0,1.0
36,0.601,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,367786.5,3031.6,770.0,2,0,,0.0,160,184,365,460,,,0.0,860.5,0.0,0,0,37,0,1.0
36,0.601,4,green,3335,633,0.0,0.0,0.0,paint,0,,,200.2,none,367786.5,3031.6,770.0,2,0,,0.0,790,184,995,460,,,0.0,237.9,0.0,0,0,37,0,1.0
36,0.601,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,367786.5,3031.6,770.0,2,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,37,0,1.0
